"Símbolo","Seguridad","Presentación ante la SEC","Sector GICS","Sub-industria GICS","Ubicación de la sede","Fecha de incorporación","Clave de índice central","Fundada"
"ULTA","Ulta Beauty","reports","Consumo Discrecional","Specialty Stores","Bolingbrook, Illinois","42478",1403568,"1990"
"UNH","UnitedHealth Group","reports","Cuidado de Salud","Managed Health Care","Minnetonka, Minnesota","34516",731766,"1977"
"UNP","Union Pacific Corporation","reports","Industriales","Ferrocarriles","Omaha, Nebraska","20883",100885,"1862"
"UPS","United Parcel Service","reports","Industriales","Flete Aéreo y Logística","Sandy Springs, Georgia","37459",1090727,"1907"
"URI","United Rentals","reports","Industriales","Trading Companies & Distributors","Stamford, Connecticut","41902",1067701,"1997"
"USB","U.S. Bank","reports","Finanzas","Diversified Banks","Minneapolis, Minnesota",NA,36104,"1968"
"V","Visa Inc.","reports","Tecnología Informática","Procesamiento de Datos y Servicios Externalizados","San Francisco, California","40168",1403161,"1958"
"VFC","VF Corporation","reports","Consumo Discrecional","Apparel, Accessories & Luxury Goods","Denver, Colorado","29036",103379,"1899"
"VICI","Vici Properties","reports","Bienes Raíces","Hotel & Resort REITs","New York City, New York","44720",1705696,"2017"
"VLO","Valero Energy","reports","Energía","Oil & Gas Refining & Marketing","San Antonio, Texas",NA,1035002,"1980"
"VMC","Vulcan Materials Company","reports","Materiales","Materiales de construcción","Birmingham, Alabama","36341",1396009,"1909"
"VRSK","Verisk","reports","Industriales","Servicios de Investigación y Consultoría","Jersey City, New Jersey","42285",1442145,"1971"
"VRSN","Verisign","reports","Tecnología Informática","Servicios y Infraestructura de Internet","Dulles, Virginia","38749",1014473,"1995"
"VRTX","Vertex Pharmaceuticals","reports","Cuidado de Salud","Biotecnología","Cambridge, Massachusetts","41540",875320,"1989"
"VTR","Ventas","reports","Bienes Raíces","Health Care REITs","Chicago, Illinois","39876",740260,"1998"
"VTRS","Viatris","reports","Cuidado de Salud","Farmacéuticos","Pittsburgh, Pennsylvania","38100",1792044,"1961"
"VZ","Verizon","reports","Servicios de Comunicación","Servicios de Telecomunicación Integrado","New York City, New York","30650",732712,"1983 (1877)"
"WAB","Wabtec","reports","Industriales","Maquinaria de Construcción y Camiones Pesados","Pittsburgh, Pennsylvania","43523",943452,"1999 (1869)"
"WAT","Waters Corporation","reports","Cuidado de Salud","Health Care Distributors","Milford, Massachusetts",NA,1000697,"1958"
"WBA","Walgreens Boots Alliance","reports","Productos básicos","Venta Fármaco","Deerfield, Illinois","29220",1618921,"2014"
"WBD","Warner Bros. Discovery","reports","Servicios de Comunicación","Transmisión","New York City, New York","44662",1437107,"2022"
"WDC","Western Digital","reports","Tecnología Informática","Tecnología Hardware, Almacenamiento & Periféricos","San Jose, California","39995",106040,"1970"
"WEC","WEC Energy Group","reports","Utilidades","Electric Utilities","Milwaukee, Wisconsin","39752",783325,"1896"
"WELL","Welltower","reports","Bienes Raíces","Health Care REITs","Toledo, Ohio","39843",766704,"1970"
"WFC","Wells Fargo","reports","Finanzas","Diversified Banks","San Francisco, California","27941",72971,"1852"
"WHR","Whirlpool Corporation","reports","Consumo Discrecional","Household Appliances","Benton Harbor, Michigan",NA,106640,"1911"
"WM","Waste Management","reports","Industriales","Servicios Ambientales y de Comodidades","Houston, Texas",NA,823768,"1968"
"WMB","Williams Companies","reports","Energía","Oil & Gas Storage & Transportation","Tulsa, Oklahoma","27484",107263,"1908"
"WMT","Walmart","reports","Productos básicos","Hipermercados y Súper Centros","Bentonville, Arkansas","30194",104169,"1962"
"WRB","Berkley","reports","Finanzas","Property & Casualty Insurance","Greenwich, Connecticut","43804",11544,"1967"
"WRK","WestRock","reports","Materiales","Empaquetado de Papel","Atlanta, Georgia",NA,1732845,"2015"
"WST","West Pharmaceutical Services","reports","Cuidado de Salud","Health Care Supplies","Exton, Pennsylvania","43973",105770,"1923"
"WTW","Willis Towers Watson","reports","Finanzas","Insurance Brokers","London, United Kingdom","42374",1140536,"2016"
