"Fecha","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
2013-11-01,112.580001831055,113.599998474121,111.279998779297,111.900001525879,927300,85.9900512695312
2013-11-04,112.080001831055,112.470001220703,111.110000610352,111.639999389648,629700,85.7902603149414
2013-11-05,111.190002441406,111.75,110.900001525879,111.430000305176,731900,85.6288986206055
2013-11-06,112,112.440002441406,111.309997558594,112.129997253418,665300,86.1667938232422
2013-11-07,112.389999389648,112.949996948242,111.069999694824,111.139999389648,374400,85.4060363769531
2013-11-08,111.309997558594,114.389999389648,111.309997558594,113.870002746582,1039100,87.5039138793945
2013-11-11,113.51000213623,113.949996948242,113.139999389648,113.51000213623,478400,87.2272567749023
2013-11-12,113.129997253418,113.75,111.120002746582,111.389999389648,851300,85.5981521606445
2013-11-13,111.190002441406,111.75,110.389999389648,111.669998168945,827300,85.8133087158203
2013-11-14,112,112.73999786377,111.519996643066,112.51000213623,658900,86.4588165283203
2013-11-15,112.800003051758,113.410003662109,112.269996643066,113.230003356934,1469700,87.0121002197266
2013-11-18,113.25,114.589996337891,113,113.75,743700,87.4116821289062
2013-11-19,113.830001831055,114.150001525879,112.900001525879,113.529998779297,538500,87.2426300048828
2013-11-20,113.970001220703,114.419998168945,113.089996337891,113.970001220703,550600,87.5807418823242
2013-11-21,114.389999389648,115.910003662109,114.290000915527,115.370002746582,602700,88.6565780639648
2013-11-22,115.379997253418,116.160003662109,114.610000610352,116.120002746582,493700,89.2329406738281
2013-11-25,116.150001525879,117.099998474121,115.819999694824,116.470001220703,493800,89.5018997192383
2013-11-26,116.540000915527,117,116.089996337891,116.160003662109,695600,89.2636642456055
2013-11-27,115.860000610352,116.319999694824,115.430000305176,115.949996948242,535300,89.6424865722656
2013-11-29,115.98999786377,116.349998474121,115.290000915527,115.360000610352,228200,89.1863479614258
2013-12-02,115.069999694824,116.25,114.519996643066,114.669998168945,738300,88.6528854370117
2013-12-03,114.580001831055,115.639999389648,113.360000610352,114.120002746582,805700,88.2277069091797
2013-12-04,113.290000915527,114.769996643066,112.839996337891,113.410003662109,553700,87.6787719726562
2013-12-05,113.230003356934,113.709999084473,112.610000610352,112.730003356934,925200,87.1530532836914
2013-12-06,113.889999389648,114.580001831055,113.519996643066,114.300003051758,994700,88.3668365478516
2013-12-09,114.779998779297,115.400001525879,114.25,114.819999694824,1026500,88.7688903808594
