"Fecha","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
2013-11-01,269.459991455078,271.859985351562,267.459991455078,270.059997558594,242500,225.483947753906
2013-11-04,270.769989013672,272.170013427734,269.790008544922,271.880004882812,295100,227.003555297852
2013-11-05,269.190002441406,271.130004882812,267.660003662109,268.959991455078,350000,224.565582275391
2013-11-06,269.540008544922,272.220001220703,268.329986572266,272.130004882812,258200,228.00065612793
2013-11-07,273,273,263.470001220703,263.679992675781,359500,220.920959472656
2013-11-08,264.420013427734,268.109985351562,264.049987792969,268.109985351562,462200,224.632507324219
2013-11-11,267.799987792969,270.190002441406,267.760009765625,270.019989013672,142900,226.232833862305
2013-11-12,268.779998779297,269.320007324219,266.920013427734,268.239990234375,219600,224.741470336914
2013-11-13,267.130004882812,269.149993896484,262.75,265,598700,222.026901245117
2013-11-14,265,267.320007324219,262.929992675781,265.600006103516,419200,222.529586791992
2013-11-15,263.859985351562,264.369995117188,259.529998779297,260.75,621700,218.466064453125
2013-11-18,259.790008544922,261.559997558594,257.809997558594,258.059997558594,397700,216.212326049805
2013-11-19,258.140014648438,260.299987792969,255.889999389648,256.149993896484,314100,214.61198425293
2013-11-20,257.380004882812,259.5,252.550003051758,253.240005493164,354300,212.173889160156
2013-11-21,253,256.910003662109,252.660003662109,255.220001220703,566300,213.832794189453
2013-11-22,255.860000610352,256.880004882812,255.220001220703,256.390014648438,444600,214.813110351562
2013-11-25,256.890014648438,257.799987792969,255.389999389648,256.859985351562,242500,215.206878662109
2013-11-26,257.119995117188,259.260009765625,255.899993896484,258.130004882812,403100,216.270950317383
2013-11-27,258,259.989990234375,257,258.470001220703,199900,216.555801391602
2013-11-29,259.070007324219,259.959991455078,256.5,257.920013427734,92300,216.094985961914
2013-12-02,257.910003662109,259.970001220703,256.390014648438,258.320007324219,335400,216.430145263672
2013-12-03,257.850006103516,258.950012207031,254.110000610352,254.889999389648,407500,213.556411743164
2013-12-04,254.889999389648,256.279998779297,251,255.050003051758,516800,213.6904296875
2013-12-05,255.160003662109,257.299987792969,254.009994506836,255.169998168945,233500,213.790954589844
2013-12-06,258.739990234375,260,256.109985351562,257.779998779297,321800,215.977676391602
2013-12-09,258.910003662109,259.730010986328,256.369995117188,257.179992675781,308500,215.474945068359
2013-12-10,257.160003662109,259.269989013672,256.570007324219,256.709991455078,275700,215.081146240234
2013-12-11,256.5,258.630004882812,253.399993896484,254.050003051758,310300,212.8525390625
2013-12-12,254,254.800003051758,246.860000610352,252.029998779297,904900,211.160140991211
2013-12-13,251.880004882812,253.339996337891,251.020004272461,251.550003051758,311300,210.758010864258
2013-12-16,252.149993896484,255.279998779297,251.190002441406,253.919998168945,368600,212.743621826172
2013-12-17,255.309997558594,256.839996337891,249.889999389648,250.059997558594,349500,209.509628295898
2013-12-18,250.929992675781,255.100006103516,248.690002441406,254.820007324219,496500,213.497695922852
2013-12-19,255.139999389648,256.709991455078,252.660003662109,253.389999389648,397400,212.299591064453
2013-12-20,251,253.070007324219,247.779998779297,248.339996337891,1036100,208.068511962891
2013-12-23,253,253.070007324219,250.539993286133,252.410003662109,347700,211.478515625
2013-12-24,253.059997558594,254.759994506836,252.5,254.330001831055,139900,213.087158203125
2013-12-26,255.610000610352,256.149993896484,253.880004882812,255.419998168945,193900,214.000411987305
2013-12-27,255.660003662109,257.019989013672,254.570007324219,255.449996948242,169700,214.025527954102
2013-12-30,255.729995727539,256.290008544922,254.720001220703,255.380004882812,168800,213.966857910156
2013-12-31,255.960006713867,256.380004882812,254.25,255.419998168945,240500,214.000411987305
2014-01-02,254.699996948242,255.479995727539,252.820007324219,253.059997558594,285100,212.023086547852
2014-01-03,253.070007324219,254.240005493164,251.899993896484,252.839996337891,204800,211.838790893555
2014-01-06,253.690002441406,253.720001220703,249.789993286133,250.970001220703,323100,210.272048950195
2014-01-07,252.279998779297,253.770004272461,251.169998168945,252.919998168945,381300,211.905792236328
2014-01-08,252.919998168945,253.970001220703,250.820007324219,253.440002441406,368400,212.341461181641
2014-01-09,254.440002441406,256.260009765625,252.559997558594,254.5,421100,213.229568481445
2014-01-10,255.490005493164,267.489990234375,255.380004882812,263.709991455078,928900,220.946090698242
2014-01-13,262.760009765625,264.190002441406,260.899993896484,261.660003662109,915900,219.228485107422
2014-01-14,262.25,264.440002441406,258,264.260009765625,387200,221.406875610352
2014-01-15,263.480010986328,266.179992675781,261.890014648438,263.779998779297,461300,221.00471496582
2014-01-16,263.730010986328,266.299987792969,262.130004882812,265.940002441406,396000,222.814514160156
2014-01-17,266.579986572266,266.959991455078,262.880004882812,264.100006103516,384800,221.272872924805
2014-01-21,263.690002441406,264.989990234375,262.690002441406,264.059997558594,405900,221.239303588867
2014-01-22,265,265.839996337891,261.040008544922,262.029998779297,486500,219.538513183594
2014-01-23,260.359985351562,262.760009765625,256.019989013672,256.660003662109,622000,215.039321899414
2014-01-24,248.600006103516,252.130004882812,240.380004882812,241.850006103516,1658400,202.630950927734
2014-01-27,241.679992675781,243.360000610352,236.899993896484,238.929992675781,824700,200.184509277344
2014-01-28,239.460006713867,239.479995727539,237.330001831055,237.860000610352,641800,199.288024902344
2014-01-29,236.75,240.490005493164,235.889999389648,238.160003662109,495400,199.539352416992
2014-01-30,238.169998168945,239.800003051758,236.919998168945,237.169998168945,402700,198.709869384766
2014-01-31,234.009994506836,236.110000610352,232.259994506836,234.479995727539,538500,196.456024169922
2014-02-03,234.5,234.5,228.190002441406,229.289993286133,702300,192.107681274414
2014-02-04,230.630004882812,231.850006103516,228.770004272461,231.289993286133,634800,193.783386230469
2014-02-05,230.229995727539,233.809997558594,229.970001220703,230.869995117188,612800,193.431457519531
2014-02-06,231.479995727539,234.169998168945,230.330001831055,233.949996948242,449500,196.804824829102
2014-02-07,234.619995117188,236.029998779297,231.630004882812,234,842500,196.846878051758
2014-02-10,233.229995727539,236.720001220703,232.520004272461,234.289993286133,643800,197.0908203125
2014-02-11,231.899993896484,239.009994506836,230.110000610352,237.860000610352,715600,200.093978881836
2014-02-12,238.509994506836,239.610000610352,237.449996948242,238.050003051758,508300,200.253860473633
2014-02-13,237.210006713867,239.720001220703,235.330001831055,239.639999389648,645000,201.591400146484
2014-02-14,242.639999389648,245.960006713867,241,245.669998168945,712700,206.663986206055
2014-02-18,246.160003662109,248.039993286133,245.039993286133,247.759994506836,607900,208.422180175781
2014-02-19,247.300003051758,249.350006103516,246.029998779297,248,625600,208.624084472656
2014-02-20,247.160003662109,250.440002441406,246.830001831055,248.039993286133,593900,208.657684326172
2014-02-21,248.619995117188,250.639999389648,247.869995117188,249.240005493164,546100,209.667175292969
2014-02-24,250.240005493164,252.360000610352,249.580001831055,251.610000610352,712000,211.660858154297
2014-02-25,251.570007324219,252.850006103516,249.839996337891,250.139999389648,624600,210.424194335938
2014-02-26,250.679992675781,252.100006103516,249.389999389648,251.470001220703,635900,211.543106079102
2014-02-27,245.580001831055,252.949996948242,237.259994506836,252.910003662109,267900,212.754455566406
2014-02-28,253.490005493164,255.679992675781,252.929992675781,255.020004272461,667200,214.529434204102
2014-03-03,253.160003662109,253.779998779297,250.800003051758,253.289993286133,489600,213.074111938477
2014-03-04,256,256.480010986328,253.419998168945,254.899993896484,416000,214.428482055664
2014-03-05,255.080001831055,257.649993896484,254.380004882812,256.970001220703,320900,216.169860839844
2014-03-06,257.239990234375,259.380004882812,256.200012207031,257.480010986328,422600,216.598892211914
2014-03-07,258.470001220703,259.329986572266,256.529998779297,256.950012207031,407500,216.153030395508
2014-03-10,253.910003662109,256.690002441406,253.910003662109,255.770004272461,310500,215.160339355469
2014-03-11,257.630004882812,257.630004882812,253.25,253.839996337891,337100,213.536758422852
2014-03-12,250.759994506836,252.440002441406,248.589996337891,251.830001831055,591300,211.845947265625
2014-03-13,253.600006103516,253.679992675781,245.539993286133,245.839996337891,675600,206.806991577148
