"Fecha","MPWR.Open","MPWR.High","MPWR.Low","MPWR.Close","MPWR.Volume","MPWR.Adjusted"
2013-11-01,31.8400001525879,31.9899997711182,31.1299991607666,31.5100002288818,431900,28.7211818695068
2013-11-04,31.4400005340576,31.7700004577637,31.3999996185303,31.7099990844727,349700,28.9034862518311
2013-11-05,31.4300003051758,31.8700008392334,31.2700004577637,31.6900005340576,173400,28.8852596282959
2013-11-06,31.7299995422363,32.0299987792969,31.4200000762939,31.9500007629395,168300,29.1222457885742
2013-11-07,32,32.0699996948242,31.2000007629395,31.2099990844727,274600,28.4477424621582
2013-11-08,31.0499992370605,31.9500007629395,30.8400001525879,31.8999996185303,263300,29.0766735076904
2013-11-11,31.7700004577637,32.7999992370605,31.4899997711182,32.4099998474121,492200,29.5415325164795
2013-11-12,32.189998626709,32.6300010681152,32.189998626709,32.4099998474121,206100,29.5415325164795
2013-11-13,32.1300010681152,33.5099983215332,32.1300010681152,33.2400016784668,471800,30.2980804443359
2013-11-14,33.1100006103516,33.4500007629395,32.3199996948242,32.5699996948242,447000,29.6873664855957
2013-11-15,32.5200004577637,32.6599998474121,32.1100006103516,32.5699996948242,430700,29.6873664855957
2013-11-18,32.5900001525879,32.9900016784668,32.3499984741211,32.5900001525879,320200,29.7055988311768
2013-11-19,32.5699996948242,32.7999992370605,31.5200004577637,31.75,324800,28.9399509429932
2013-11-20,31.9300003051758,32.2400016784668,31.5300006866455,31.7900009155273,208000,28.9764041900635
2013-11-21,31.8700008392334,32.6199989318848,31.7900009155273,32.2099990844727,306400,29.3592281341553
2013-11-22,32.2099990844727,32.3699989318848,32.0299987792969,32.2299995422363,228300,29.377462387085
2013-11-25,32.1800003051758,32.5,31.8099994659424,32.2700004577637,272400,29.4139232635498
2013-11-26,32.2999992370605,32.7999992370605,32.2799987792969,32.7400016784668,265500,29.8423309326172
2013-11-27,32.6699981689453,33.4900016784668,32.5,33.4599990844727,308600,30.498592376709
2013-11-29,33.6599998474121,33.7900009155273,33.2999992370605,33.4000015258789,282300,30.4439182281494
2013-12-02,33.4799995422363,33.5499992370605,32.7099990844727,32.7700004577637,327900,29.8696746826172
2013-12-03,32.6599998474121,33.310001373291,32.3899993896484,32.6100006103516,383000,29.7238330841064
2013-12-04,32.5699996948242,33.5099983215332,32.4199981689453,32.7299995422363,299500,29.8332061767578
2013-12-05,32.8400001525879,33.3800010681152,32.4700012207031,32.7999992370605,213400,29.8970146179199
2013-12-06,33.1500015258789,33.9199981689453,32.9599990844727,33.7999992370605,268000,30.8085098266602
2013-12-09,33.939998626709,33.939998626709,33.3199996948242,33.3899993896484,220100,30.43479347229
2013-12-10,33.4000015258789,33.4799995422363,32.6100006103516,32.9900016784668,286400,30.0701923370361
2013-12-11,33.0900001525879,33.0900001525879,32.0499992370605,32.2700004577637,389400,29.4139232635498
2013-12-12,32.3699989318848,32.439998626709,31.5799999237061,31.6800003051758,334900,28.8761405944824
2013-12-13,31.8299999237061,32.1300010681152,31.5,31.7299995422363,213000,28.9217147827148
2013-12-16,32,32.3199996948242,31.8099994659424,32.1599998474121,347300,29.3136596679688
2013-12-17,32.0499992370605,32.8699989318848,31.9400005340576,32.5099983215332,293500,29.6326751708984
2013-12-18,32.5900001525879,32.9099998474121,32.1800003051758,32.7000007629395,332800,29.8058662414551
2013-12-19,32.6599998474121,32.8199996948242,31.9400005340576,32.6300010681152,355600,29.7420539855957
2013-12-20,32.8300018310547,33.6199989318848,32.3899993896484,33.2099990844727,694300,30.2707233428955
2013-12-23,33.4199981689453,33.8699989318848,33.0400009155273,33.8199996948242,359100,30.8267421722412
2013-12-24,33.7599983215332,33.9799995422363,33.4099998474121,33.7900009155273,174300,30.7993946075439
2013-12-26,33.9300003051758,34,33.5,33.9000015258789,212000,30.8996562957764
2013-12-27,33.9799995422363,34.3400001525879,33.5999984741211,33.8499984741211,238500,30.8540706634521
2013-12-30,33.9099998474121,34.3800010681152,33.8699989318848,34.1500015258789,282300,31.1275253295898
2013-12-31,34.3199996948242,34.7599983215332,34.2299995422363,34.6599998474121,244700,31.592399597168
2014-01-02,34.4900016784668,34.4900016784668,33.4500007629395,34.0299987792969,257600,31.0181541442871
2014-01-03,34.0699996948242,34.5099983215332,33.8199996948242,34.2700004577637,295000,31.2369213104248
2014-01-06,34.4300003051758,34.4700012207031,33.7200012207031,33.75,226100,30.7629222869873
2014-01-07,33.9700012207031,34.0800018310547,33.5699996948242,33.8899993896484,207100,30.8905410766602
2014-01-08,33.9500007629395,34.2900009155273,33.7299995422363,34.2799987792969,399200,31.2460193634033
2014-01-09,34.310001373291,34.310001373291,33.6199989318848,33.7099990844727,157200,30.7264842987061
2014-01-10,33.8199996948242,34.0099983215332,33.5200004577637,33.6500015258789,196200,30.671781539917
2014-01-13,33.5,33.7000007629395,32.9500007629395,33.0699996948242,278100,30.1431159973145
2014-01-14,33.189998626709,33.7799987792969,32.9700012207031,33.7799987792969,327000,30.7902793884277
2014-01-15,33.7700004577637,34.3600006103516,33.7700004577637,34.1100006103516,260700,31.0910625457764
2014-01-16,33.939998626709,34.3899993896484,33.7099990844727,33.9900016784668,313300,30.9816913604736
2014-01-17,33.8199996948242,34.439998626709,33.7700004577637,34.3899993896484,198900,31.3462867736816
2014-01-21,34.5400009155273,34.5800018310547,34.1699981689453,34.4300003051758,147700,31.3827590942383
2014-01-22,34.4500007629395,34.75,34.2099990844727,34.6199989318848,202800,31.55592918396
2014-01-23,34.4199981689453,34.689998626709,34.0299987792969,34.6800003051758,209900,31.6106224060059
2014-01-24,34.5200004577637,34.5499992370605,33.3499984741211,33.6300010681152,208200,30.6535568237305
2014-01-27,33.5900001525879,33.8600006103516,33.1399993896484,33.5200004577637,210500,30.5532875061035
