"Fecha","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume","PCAR.Adjusted"
2013-11-01,37.1866683959961,37.5133323669434,36.9199981689453,37.4799995422363,3829500,26.2008991241455
2013-11-04,37.6066665649414,37.7266654968262,37.406665802002,37.7133331298828,1946700,26.3640193939209
2013-11-05,37.4199981689453,38.5533332824707,37.2666664123535,38.1666679382324,3709650,26.6809177398682
2013-11-06,38.466667175293,38.466667175293,37.8333320617676,37.9266662597656,1425750,26.5131454467773
2013-11-07,37.9799995422363,38.1066665649414,37.2866668701172,37.3600006103516,1822650,26.1170139312744
2013-11-08,37.3400001525879,37.8933334350586,37.2733345031738,37.8933334350586,1859400,26.4898452758789
2013-11-11,37.9000015258789,38.060001373291,37.7599983215332,38,1631700,26.5644149780273
2013-11-12,38.0066680908203,38.2933311462402,37.6133346557617,37.8733329772949,2530050,26.475866317749
2013-11-13,37.3600006103516,37.7266654968262,37.3600006103516,37.7266654968262,2007300,26.4665050506592
2013-11-14,37.8666687011719,38.0200004577637,37.6399993896484,38,1326600,26.6582660675049
2013-11-15,38.026668548584,38.1399993896484,37.8933334350586,38,1592100,26.6582660675049
2013-11-18,38.026668548584,38.2266654968262,37.533332824707,37.5866661071777,1868550,26.3682918548584
2013-11-19,37.3800010681152,37.6666679382324,37,37.0400009155273,2200950,25.9847946166992
2013-11-20,37.2333335876465,37.2333335876465,36.6866683959961,36.8333320617676,1478250,25.8398094177246
2013-11-21,37.0133323669434,37.5999984741211,36.7999992370605,37.5400009155273,1698900,26.3355484008789
2013-11-22,37.6266670227051,37.7666664123535,37.466667175293,37.7599983215332,1360200,26.4898891448975
2013-11-25,37.7666664123535,37.9466667175293,37.6399993896484,37.8199996948242,1848000,26.531982421875
2013-11-26,37.9466667175293,38.093334197998,37.8400001525879,37.966667175293,1646400,26.6348743438721
2013-11-27,38.026668548584,38.2333335876465,37.9000015258789,38.1866683959961,977100,26.789213180542
2013-11-29,38.2866668701172,38.4000015258789,38.1199989318848,38.2066688537598,759300,26.8032474517822
2013-12-02,38.1333312988281,38.2999992370605,38.0133323669434,38.0866661071777,1358400,26.7190456390381
2013-12-03,37.906665802002,38.1199989318848,37.1933326721191,37.533332824707,3006000,26.330883026123
2013-12-04,37.1599998474121,37.5733337402344,36.6733322143555,37.0200004577637,2374650,25.9707508087158
2013-12-05,37.0533332824707,37.3266677856445,36.9133338928223,37.0666656494141,1619550,26.0034961700439
