"Fecha","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
2013-11-01,100.786308288574,101.5263671875,99.5282135009766,99.9074935913086,1232772,78.6670761108398
2013-11-04,100.018501281738,100.740058898926,99.7132263183594,100.61979675293,836154,79.227912902832
2013-11-05,100.314521789551,101.193336486816,99.6669769287109,100.943572998047,695732,79.4828491210938
2013-11-06,101.258094787598,101.850135803223,100.971321105957,101.683624267578,769348,80.0655746459961
2013-11-07,101.55411529541,101.646621704102,99.9259948730469,100.148010253906,1625392,78.8564300537109
2013-11-08,100.138763427734,101.41535949707,100,101.248840332031,962739,79.7232284545898
2013-11-11,101.295097351074,101.646621704102,100.693801879883,100.915817260742,945335,79.4609985351562
2013-11-12,100.925071716309,101.008323669434,99.8242340087891,99.8797378540039,1108349,78.6451873779297
2013-11-13,99.6577224731445,100.286773681641,99.3802032470703,99.9444961547852,1311685,78.6961975097656
2013-11-14,100.240516662598,100.629043579102,99.7132263183594,100.527290344238,1133537,79.1550750732422
2013-11-15,100.851066589355,102.395927429199,100.656799316406,102.303421020508,1134401,80.5536041259766
2013-11-18,102.257171630859,102.617942810059,101.396858215332,101.702125549316,907391,80.0801467895508
2013-11-19,101.702125549316,102.349678039551,101.295097351074,101.840888977051,970846,80.1893920898438
2013-11-20,101.748382568359,102.081405639648,101.063827514648,101.387603759766,931714,79.8324813842773
2013-11-21,101.729881286621,101.905639648438,100.952819824219,101.489364624023,1091486,79.9126129150391
2013-11-22,101.757629394531,103.071228027344,101.063827514648,102.839965820312,1196343,80.9760971069336
2013-11-25,102.839965820312,103.246994018555,101.304351806641,101.498611450195,724702,79.9198989868164
2013-11-26,101.073081970215,101.480110168457,100.573539733887,100.693801879883,1166507,79.2861938476562
2013-11-27,100.878814697266,101.406105041504,100.5087890625,100.943572998047,780914,79.4828491210938
2013-11-29,100.925071716309,101.5263671875,100.444030761719,100.675300598145,305274,79.271614074707
2013-12-02,100.786308288574,100.999076843262,99.4449615478516,99.620719909668,1199586,78.4412536621094
2013-12-03,99.4449615478516,99.4449615478516,98.344123840332,99.1304321289062,1071271,78.0551986694336
2013-12-04,98.982421875,99.7224807739258,98.4736328125,99.3987045288086,784374,78.2664184570312
