"Fecha","AVY.Open","AVY.High","AVY.Low","AVY.Close","AVY.Volume","AVY.Adjusted"
2013-11-01,47.2999992370605,47.5200004577637,47.0499992370605,47.3699989318848,761200,38.8085899353027
2013-11-04,47.5400009155273,47.689998626709,47.310001373291,47.5499992370605,527800,38.9560585021973
2013-11-05,47.2599983215332,47.2900009155273,46.6399993896484,46.9500007629395,833200,38.4645080566406
2013-11-06,47.0800018310547,47.5,46.8800010681152,46.9900016784668,540800,38.4972763061523
2013-11-07,47.0800018310547,47.1699981689453,46.0299987792969,46.1699981689453,863400,37.8254737854004
2013-11-08,46.1599998474121,47.6800003051758,46.0499992370605,47.5699996948242,908100,38.9724311828613
2013-11-11,47.5099983215332,47.8899993896484,47.1300010681152,47.2999992370605,567100,38.7512474060059
2013-11-12,47.1399993896484,47.6399993896484,47.0099983215332,47.4099998474121,551300,38.8413619995117
2013-11-13,47.1599998474121,47.8499984741211,46.8899993896484,47.8499984741211,489000,39.2018394470215
2013-11-14,47.7400016784668,48.1300010681152,47.7000007629395,47.9700012207031,584600,39.3001403808594
2013-11-15,47.8499984741211,48.4500007629395,47.6599998474121,48.2799987792969,561800,39.554126739502
2013-11-18,48.5800018310547,48.9099998474121,48.189998626709,48.2799987792969,675800,39.554126739502
2013-11-19,48.2999992370605,48.5200004577637,47.9799995422363,48.0400009155273,341900,39.3574981689453
2013-11-20,48.1699981689453,48.5499992370605,47.9799995422363,48.0999984741211,393300,39.4066581726074
2013-11-21,48.2799987792969,49.189998626709,48.2799987792969,49.1199989318848,624700,40.2422943115234
2013-11-22,49.1199989318848,49.5200004577637,48.6399993896484,49.3699989318848,610700,40.4471244812012
2013-11-25,49.4099998474121,49.4700012207031,48.9300003051758,48.9599990844727,391400,40.1112251281738
2013-11-26,48.9900016784668,49.4000015258789,48.6599998474121,48.7299995422363,817200,39.9227981567383
2013-11-27,48.9199981689453,49.5099983215332,48.7599983215332,49.0800018310547,490600,40.2095336914062
2013-11-29,49.0499992370605,49.5099983215332,48.7700004577637,48.9000015258789,253000,40.0620651245117
2013-12-02,48.5999984741211,49.5099983215332,48.4199981689453,49.3600006103516,942000,40.6801795959473
2013-12-03,49.25,49.25,48.7200012207031,49.0299987792969,739900,40.4082221984863
2013-12-04,48.9199981689453,49.4900016784668,48.4599990844727,49.0900001525879,1291100,40.4576644897461
2013-12-05,48.810001373291,49.1500015258789,48.1599998474121,48.5499992370605,1298400,40.0126190185547
2013-12-06,49,49.689998626709,48.9500007629395,49.6599998474121,840000,40.9274406433105
2013-12-09,49.7400016784668,49.8899993896484,49.2799987792969,49.3300018310547,782900,40.6554641723633
2013-12-10,49.2200012207031,49.6800003051758,49.0099983215332,49.0099983215332,709100,40.3917236328125
2013-12-11,49.1399993896484,49.3600006103516,48.0299987792969,48.1300010681152,854100,39.6664772033691
2013-12-12,48.0999984741211,48.3199996948242,47.939998626709,48.060001373291,865300,39.6087913513184
2013-12-13,48.1500015258789,48.8300018310547,48.1100006103516,48.6599998474121,677000,40.1032791137695
