"Fecha","SIVBQ.Open","SIVBQ.High","SIVBQ.Low","SIVBQ.Close","SIVBQ.Volume","SIVBQ.Adjusted"
2013-11-01,95.6800003051758,96.2799987792969,94.870002746582,95.1600036621094,202633,95.1600036621094
2013-11-04,95.0899963378906,95.8499984741211,94.5299987792969,95.6399993896484,196444,95.6399993896484
2013-11-05,95.2099990844727,97.3199996948242,94.9300003051758,96.4100036621094,202134,96.4100036621094
2013-11-06,96.629997253418,96.9899978637695,95.8399963378906,96.1800003051758,125008,96.1800003051758
2013-11-07,96.629997253418,96.9700012207031,94.5699996948242,94.7699966430664,164211,94.7699966430664
2013-11-08,94.7200012207031,99.4499969482422,94.7200012207031,99.1699981689453,321591,99.1699981689453
2013-11-11,98.5500030517578,99.0100021362305,97.4400024414062,97.9100036621094,199006,97.9100036621094
2013-11-12,97.4300003051758,98.2300033569336,96.4499969482422,96.9000015258789,234289,96.9000015258789
2013-11-13,96.0999984741211,98.1100006103516,95.870002746582,98,251582,98
2013-11-14,98.25,99.3099975585938,97.4100036621094,98.8600006103516,193664,98.8600006103516
2013-11-15,99.1600036621094,99.1600036621094,96.9000015258789,97.7699966430664,160456,97.7699966430664
2013-11-18,98.0599975585938,99.2300033569336,97.1500015258789,97.8399963378906,265475,97.8399963378906
2013-11-19,97.5400009155273,98.7200012207031,97.2300033569336,98.2799987792969,220445,98.2799987792969
2013-11-20,98.5299987792969,98.8899993896484,97.3399963378906,98.25,200667,98.25
2013-11-21,98.9199981689453,101.209999084473,98.6900024414062,101.110000610352,225568,101.110000610352
2013-11-22,101,102.129997253418,100.150001525879,102.01000213623,149466,102.01000213623
2013-11-25,101.980003356934,102.680000305176,100.730003356934,101.019996643066,164922,101.019996643066
2013-11-26,101.230003356934,102,100.360000610352,101.690002441406,158323,101.690002441406
2013-11-27,102.019996643066,102.199996948242,100.669998168945,101.660003662109,181254,101.660003662109
2013-11-29,101.889999389648,102.110000610352,101.139999389648,101.23999786377,50510,101.23999786377
2013-12-02,101,103.360000610352,100.51000213623,100.870002746582,198660,100.870002746582
2013-12-03,100.639999389648,101.059997558594,98.4899978637695,99.4800033569336,197942,99.4800033569336
2013-12-04,99.3099975585938,101.169998168945,98.2099990844727,99.3099975585938,217422,99.3099975585938
2013-12-05,99.3399963378906,100.819999694824,97,100.75,273495,100.75
2013-12-06,102.019996643066,102.970001220703,101.650001525879,102.580001831055,200621,102.580001831055
2013-12-09,102.660003662109,103,101.419998168945,101.98999786377,241713,101.98999786377
2013-12-10,101.339996337891,102.559997558594,100.459999084473,100.73999786377,193706,100.73999786377
2013-12-11,100.669998168945,101.529998779297,98.5899963378906,98.7600021362305,224588,98.7600021362305
2013-12-12,98.7600021362305,100.550003051758,98.7200012207031,99.9899978637695,218343,99.9899978637695
2013-12-13,100.099998474121,100.910003662109,99.1100006103516,99.9800033569336,241049,99.9800033569336
2013-12-16,100.849998474121,103.459899902344,100.019996643066,102.410003662109,437259,102.410003662109
2013-12-17,102.519996643066,102.769996643066,101.279998779297,101.720001220703,285652,101.720001220703
2013-12-18,102.059997558594,104.080001831055,100.650001525879,103.870002746582,292800,103.870002746582
2013-12-19,103.330001831055,104.360000610352,103.042503356934,103.98999786377,304018,103.98999786377
2013-12-20,104.059997558594,105,103.849998474121,104.01000213623,663048,104.01000213623
2013-12-23,104.389999389648,106.259902954102,103.800003051758,105.949996948242,172629,105.949996948242
2013-12-24,105.970001220703,106.769996643066,105.640998840332,106.099998474121,53728,106.099998474121
2013-12-26,106.400001525879,106.98999786377,105,105.279998779297,170548,105.279998779297
2013-12-27,104.730003356934,105.720001220703,104.559997558594,105.040000915527,139289,105.040000915527
2013-12-30,104.949996948242,105.5,104.315002441406,104.900001525879,185613,104.900001525879
2013-12-31,105.180000305176,105.984001159668,104.5,104.860000610352,137255,104.860000610352
2014-01-02,104.01000213623,105.667503356934,103.040000915527,103.230003356934,278672,103.230003356934
2014-01-03,103.650001525879,104.440002441406,102.529998779297,104.110000610352,249979,104.110000610352
2014-01-06,104.569999694824,104.978996276855,102.845199584961,103.050003051758,187540,103.050003051758
2014-01-07,104.040000915527,105.209999084473,102.599998474121,103.269996643066,326233,103.269996643066
2014-01-08,103.290000915527,105.339996337891,102.120002746582,102.790000915527,527090,102.790000915527
2014-01-09,102.860000610352,104.209999084473,101.800003051758,103.809997558594,267204,103.809997558594
2014-01-10,104.099998474121,104.099998474121,102.419998168945,103.449996948242,219415,103.449996948242
2014-01-13,103.199996948242,103.51000213623,101.764999389648,102.129997253418,189839,102.129997253418
2014-01-14,102.860000610352,103.375,101.650001525879,103.269996643066,247773,103.269996643066
2014-01-15,103.900001525879,104.550003051758,103.330001831055,103.779998779297,181101,103.779998779297
2014-01-16,103.470001220703,104.22989654541,102.419998168945,103.330001831055,261065,103.330001831055
2014-01-17,103.190002441406,104.543998718262,102.389999389648,104.019996643066,197721,104.019996643066
2014-01-21,104.730003356934,106.459999084473,104.730003356934,106.089996337891,217541,106.089996337891
2014-01-22,106.319999694824,111.699996948242,105.144996643066,111.569999694824,581532,111.569999694824
2014-01-23,110.839996337891,110.839996337891,108.580001831055,110.26000213623,483574,110.26000213623
2014-01-24,115,121.919998168945,112.949996948242,113.970001220703,1094854,113.970001220703
2014-01-27,114.699996948242,120.439903259277,111.059997558594,111.180000305176,480841,111.180000305176
2014-01-28,111.650001525879,113.339996337891,110.720001220703,112.110000610352,395045,112.110000610352
2014-01-29,111.300003051758,112.660003662109,110.800003051758,110.910003662109,358268,110.910003662109
2014-01-30,111.709999084473,114.217498779297,110.790000915527,114.059997558594,315791,114.059997558594
2014-01-31,112.959999084473,113.790000915527,111.930000305176,112.230003356934,392747,112.230003356934
2014-02-03,112.629997253418,112.629997253418,107.269996643066,107.870002746582,609258,107.870002746582
2014-02-04,107.930000305176,111.285003662109,106.519996643066,109.809997558594,485493,109.809997558594
2014-02-05,109.389999389648,110.478996276855,108.709999084473,110.279998779297,247121,110.279998779297
2014-02-06,110.370002746582,112.069999694824,109.480003356934,111.809997558594,203294,111.809997558594
