"Fecha","JKHY.Open","JKHY.High","JKHY.Low","JKHY.Close","JKHY.Volume","JKHY.Adjusted"
2013-11-01,54.7999992370605,54.810001373291,54.0999984741211,54.4799995422363,130800,48.1474990844727
2013-11-04,56.9500007629395,56.9500007629395,54.2299995422363,54.810001373291,173100,48.4391403198242
2013-11-05,54.3300018310547,54.6399993896484,53.810001373291,54.2400016784668,204400,47.9354019165039
2013-11-06,54.7999992370605,55.5900001525879,54.1399993896484,55.2599983215332,326400,48.8368339538574
2013-11-07,55.3199996948242,55.8600006103516,54.7999992370605,54.810001373291,383300,48.4391403198242
2013-11-08,54.7299995422363,55.5400009155273,54.7200012207031,55.4900016784668,203000,49.040096282959
2013-11-11,55.5999984741211,55.9500007629395,55.2200012207031,55.6699981689453,229200,49.1991767883301
2013-11-12,55.6800003051758,55.9700012207031,55.2299995422363,55.8899993896484,127700,49.3936004638672
2013-11-13,55.5800018310547,56.2000007629395,55.1300010681152,56.189998626709,199300,49.6587295532227
2013-11-14,56.2599983215332,56.5800018310547,56.0499992370605,56.3199996948242,123300,49.7736206054688
2013-11-15,56.2700004577637,56.7200012207031,56.0200004577637,56.7099990844727,152100,50.1182975769043
2013-11-18,56.8199996948242,57,56.5499992370605,56.8199996948242,248400,50.2154960632324
2013-11-19,56.75,57.25,56.4900016784668,56.7400016784668,264800,50.1448135375977
2013-11-20,56.75,57.2799987792969,56.5299987792969,56.7799987792969,253300,50.1801490783691
2013-11-21,56.7799987792969,57.1199989318848,56.5099983215332,56.9599990844727,180200,50.3392372131348
2013-11-22,56.9599990844727,57.189998626709,56.5800018310547,56.8499984741211,179000,50.2420387268066
2013-11-25,56.9000015258789,57.5099983215332,56.5,56.7400016784668,222600,50.1448135375977
2013-11-26,56.8600006103516,57.25,56.2900009155273,57.1300010681152,247300,50.4894828796387
2013-11-27,57.0800018310547,57.0800018310547,56.5,56.9700012207031,150300,50.5249481201172
2013-11-29,57,57.1100006103516,56.5099983215332,56.7700004577637,93900,50.3475723266602
2013-12-02,56.810001373291,57.4099998474121,56.3800010681152,56.8499984741211,220800,50.4185333251953
2013-12-03,56.6100006103516,56.9599990844727,56.4599990844727,56.7700004577637,160800,50.3475723266602
