"Fecha","BKNG.Open","BKNG.High","BKNG.Low","BKNG.Close","BKNG.Volume","BKNG.Adjusted"
2013-11-01,1056,1056.86999511719,1043.9599609375,1052.5,534100,1052.5
2013-11-04,1057.06994628906,1071.07995605469,1047.07995605469,1070.56994628906,533800,1070.56994628906
2013-11-05,1070.56994628906,1085.39001464844,1060,1082.22998046875,517000,1082.22998046875
2013-11-06,1079.03002929688,1085,1051.31994628906,1058.0400390625,686800,1058.0400390625
2013-11-07,1056.61999511719,1062.59997558594,1020.69000244141,1022.89001464844,1328900,1022.89001464844
2013-11-08,1055.9599609375,1077.14001464844,1041.68005371094,1073.19995117188,1923900,1073.19995117188
2013-11-11,1068.44995117188,1109.5,1067.10998535156,1096.5,896800,1096.5
2013-11-12,1103.02001953125,1106.65002441406,1092.55004882812,1099.48999023438,639200,1099.48999023438
2013-11-13,1097.38000488281,1125.89001464844,1095.07995605469,1124.19995117188,882000,1124.19995117188
2013-11-14,1133,1143.26000976562,1128.93005371094,1137.43994140625,589300,1137.43994140625
2013-11-15,1143.48999023438,1144.76000976562,1131.09997558594,1139.53002929688,706500,1139.53002929688
2013-11-18,1139.5,1145,1120.9599609375,1127.93005371094,614900,1127.93005371094
2013-11-19,1125.02001953125,1133.77001953125,1110,1118.42004394531,539600,1118.42004394531
2013-11-20,1148.30004882812,1163.97998046875,1139.44995117188,1147.08996582031,975200,1147.08996582031
2013-11-21,1157.64001464844,1163.48999023438,1151.06994628906,1159.10998535156,493500,1159.10998535156
2013-11-22,1160,1163.25,1152.82995605469,1158.98999023438,369900,1158.98999023438
2013-11-25,1164.22998046875,1165.57995605469,1156.39001464844,1159.17004394531,361000,1159.17004394531
2013-11-26,1162.94995117188,1182.59997558594,1155.59997558594,1177.97998046875,575400,1177.97998046875
2013-11-27,1182.40002441406,1193.46997070312,1179.01000976562,1187.18994140625,437800,1187.18994140625
2013-11-29,1194.19995117188,1198.75,1190.15002441406,1192.32995605469,327500,1192.32995605469
2013-12-02,1196.09997558594,1196.58996582031,1179.27001953125,1188.5,435500,1188.5
2013-12-03,1181.16003417969,1182.90002441406,1171.11999511719,1176.47998046875,483200,1176.47998046875
2013-12-04,1171.58996582031,1184.98999023438,1166.5400390625,1181.67004394531,462700,1181.67004394531
2013-12-05,1180.68994140625,1180.93994140625,1169.93994140625,1174.39001464844,383700,1174.39001464844
2013-12-06,1189,1189,1172.76000976562,1180.40002441406,417000,1180.40002441406
2013-12-09,1183.06005859375,1187,1174.69995117188,1178.68005371094,482400,1178.68005371094
2013-12-10,1178,1192.26000976562,1175.61999511719,1188.92004394531,438700,1188.92004394531
2013-12-11,1192.58996582031,1198.5,1175.09997558594,1178.10998535156,581900,1178.10998535156
2013-12-12,1174.56005859375,1183.46997070312,1171.02001953125,1175.23999023438,404900,1175.23999023438
2013-12-13,1182.03002929688,1182.05004882812,1169.18005371094,1171.27001953125,485300,1171.27001953125
2013-12-16,1170.59997558594,1178.66003417969,1168,1174.25,430700,1174.25
2013-12-17,1174.08996582031,1175,1156.2099609375,1160.90002441406,593200,1160.90002441406
2013-12-18,1161.43005371094,1188.61999511719,1145,1187.98999023438,878400,1187.98999023438
2013-12-19,1187.90002441406,1194,1183.71997070312,1191.56994628906,602700,1191.56994628906
2013-12-20,1194.75,1196.68994140625,1188.90002441406,1190.94995117188,775800,1190.94995117188
2013-12-23,1194.46997070312,1194.46997070312,1180.0400390625,1187.25,512500,1187.25
2013-12-24,1185.57995605469,1188.40002441406,1179.80004882812,1179.90002441406,254600,1179.90002441406
2013-12-26,1183.19995117188,1189.84997558594,1178.07995605469,1189.84997558594,308100,1189.84997558594
2013-12-27,1191.7099609375,1191.73999023438,1168.66003417969,1170.31005859375,516200,1170.31005859375
2013-12-30,1172.34997558594,1172.34997558594,1151,1152.89001464844,645700,1152.89001464844
2013-12-31,1155.93005371094,1162.40002441406,1154.01000976562,1162.40002441406,444000,1162.40002441406
2014-01-02,1159.96997070312,1161.2900390625,1140,1145.43994140625,653300,1145.43994140625
2014-01-03,1147,1152.68994140625,1131.43994140625,1132.68005371094,622900,1132.68005371094
2014-01-06,1132.28002929688,1144.43994140625,1113.01000976562,1139.53002929688,656600,1139.53002929688
2014-01-07,1146.81994628906,1165.89001464844,1142,1163.06994628906,669400,1163.06994628906
2014-01-08,1163.98999023438,1168.09997558594,1156.51000976562,1157.5,508700,1157.5
2014-01-09,1157.94995117188,1162.82995605469,1144.25,1153.68994140625,474800,1153.68994140625
2014-01-10,1156.41003417969,1156.41003417969,1142.43994140625,1148.83996582031,489700,1148.83996582031
2014-01-13,1142.56994628906,1163.47998046875,1133.64001464844,1139.71997070312,612800,1139.71997070312
2014-01-14,1138.81994628906,1160.90002441406,1133.03002929688,1159.2099609375,624000,1159.2099609375
2014-01-15,1160.09997558594,1174.33996582031,1160.09997558594,1172.85998535156,576400,1172.85998535156
2014-01-16,1170.52001953125,1189.98999023438,1170.52001953125,1184.65002441406,786400,1184.65002441406
2014-01-17,1185.2099609375,1186.85998535156,1167.43005371094,1178.0400390625,610100,1178.0400390625
2014-01-21,1181.5,1206.97998046875,1176.5,1205.94995117188,754700,1205.94995117188
2014-01-22,1207.98999023438,1214.18994140625,1204.46997070312,1213.2900390625,632200,1213.2900390625
2014-01-23,1207,1214.96997070312,1196.15002441406,1208.85998535156,531700,1208.85998535156
2014-01-24,1195,1203.16003417969,1172.64001464844,1179.93005371094,867000,1179.93005371094
2014-01-27,1181.06994628906,1186.98999023438,1138.21997070312,1143.23999023438,1203000,1143.23999023438
