"Fecha","CEG.Open","CEG.High","CEG.Low","CEG.Close","CEG.Volume","CEG.Adjusted"
2022-01-19,38,43,38,42,129900,41.2157249450684
2022-01-20,40.9500007629395,48.3699989318848,40.9500007629395,45,153400,44.1597061157227
2022-01-21,43,49.9500007629395,42.9500007629395,45,329500,44.1597061157227
2022-01-24,44.9199981689453,45,41.8800010681152,42.7999992370605,110000,42.0007858276367
2022-01-25,42.5,44.9199981689453,41.3300018310547,41.8979988098145,23500,41.1156272888184
2022-01-26,45.0099983215332,45.060001373291,42.25,43.2200012207031,90500,42.4129409790039
2022-01-27,47.2599983215332,49.6199989318848,43.75,45.7599983215332,151600,44.9055137634277
2022-01-28,44.5499992370605,47.5999984741211,44.1500015258789,46.75,43600,45.8770217895508
2022-01-31,46,48,46,48,71300,47.1036834716797
2022-02-01,47.5,50,47.0499992370605,49.7799987792969,298800,48.8504409790039
2022-02-02,50.0349998474121,56.2299995422363,49.7999992370605,53.0099983215332,23860900,52.0201301574707
2022-02-03,52.189998626709,56.5699996948242,50.2999992370605,53.6199989318848,8425500,52.6187362670898
2022-02-04,52.5999984741211,54.3300018310547,50.1199989318848,50.1399993896484,6757800,49.2037239074707
2022-02-07,50,50.0400009155273,46,46.0699996948242,9432500,45.209716796875
2022-02-08,45.1300010681152,47.560001373291,44.1699981689453,45.5,7277500,44.6503677368164
2022-02-09,44.75,47.4500007629395,43.8800010681152,47.310001373291,4393100,46.4265632629395
2022-02-10,45.5099983215332,48.5,45.3800010681152,47.0499992370605,2450000,46.1714248657227
2022-02-11,46.7599983215332,48.9099998474121,46.060001373291,48.0900001525879,3456800,47.1920051574707
2022-02-14,48.189998626709,49,46.9900016784668,48.1100006103516,2155000,47.2116241455078
2022-02-15,47.7000007629395,48.4500007629395,47.2000007629395,48,2359800,47.1036834716797
2022-02-16,47.7200012207031,48.4700012207031,46.9500007629395,47.2000007629395,5855300,46.3186187744141
2022-02-17,46.3199996948242,47.0800018310547,45.189998626709,45.2900009155273,3142600,44.4442863464355
2022-02-18,45.1500015258789,45.9000015258789,44.7999992370605,45.4099998474121,2018700,44.5620460510254
2022-02-22,45.4099998474121,45.6800003051758,43.4900016784668,43.5400009155273,2611100,42.7269706726074
2022-02-23,43.689998626709,43.9900016784668,42.1800003051758,43.0900001525879,2791200,42.2853698730469
2022-02-24,43.1500015258789,44.5900001525879,42.2200012207031,44.3199996948242,2447900,43.6351890563965
2022-02-25,44.2999992370605,44.9300003051758,43.7400016784668,43.9099998474121,2040700,43.231517791748
2022-02-28,43.2999992370605,46.6199989318848,42.4599990844727,45.9799995422363,5534900,45.26953125
2022-03-01,45.6199989318848,48.0499992370605,45.3499984741211,47.7900009155273,4212900,47.0515670776367
2022-03-02,48,50.2999992370605,47.3300018310547,49.4599990844727,3517100,48.6957664489746
2022-03-03,49.8199996948242,50.3300018310547,47.5470008850098,49.5200004577637,2072200,48.7548370361328
2022-03-04,49.1699981689453,51.0400009155273,48.25,51,2544600,50.211971282959
2022-03-07,51.060001373291,52.5800018310547,49.8699989318848,51.6500015258789,2726900,50.8519248962402
2022-03-08,51.1800003051758,55.3199996948242,50.8499984741211,52.3199996948242,3873700,51.5115737915039
2022-03-09,52.439998626709,53.6800003051758,50.5900001525879,51.3300018310547,3050600,50.5368728637695
