"Fecha","CPT.Open","CPT.High","CPT.Low","CPT.Close","CPT.Volume","CPT.Adjusted"
2013-11-01,63.3300018310547,63.3300018310547,61.439998626709,61.5200004577637,1326400,41.6146926879883
2013-11-04,61.75,62.560001373291,61.5400009155273,62.3899993896484,558200,42.2031898498535
2013-11-05,62.2099990844727,62.4199981689453,60.8699989318848,60.9700012207031,446100,41.2426452636719
2013-11-06,61.2599983215332,61.939998626709,61.1399993896484,61.6399993896484,391200,41.6958656311035
2013-11-07,61.6100006103516,61.689998626709,60.689998626709,60.9099998474121,412800,41.2020683288574
2013-11-08,60.7999992370605,61,59.3600006103516,59.9799995422363,692700,40.5729751586914
2013-11-11,60.060001373291,60.7999992370605,59.7999992370605,60.4000015258789,404600,40.8570709228516
2013-11-12,60.3800010681152,60.5800018310547,59.5900001525879,60.4000015258789,425600,40.8570709228516
2013-11-13,60.2700004577637,60.7000007629395,60.0200004577637,60.6100006103516,432800,40.9991111755371
2013-11-14,60.7299995422363,61.6300010681152,60.1300010681152,60.189998626709,360400,40.715015411377
2013-11-15,60.2299995422363,60.5,59.7700004577637,59.8600006103516,351800,40.4918022155762
2013-11-18,59.7999992370605,60.0699996948242,59.3899993896484,59.5800018310547,318300,40.3023948669434
2013-11-19,59.4300003051758,60.1500015258789,59.0400009155273,59.3400001525879,418100,40.1400451660156
2013-11-20,59.3400001525879,60.1199989318848,58.2099990844727,58.3699989318848,665800,39.4838981628418
2013-11-21,58.3800010681152,59.2900009155273,58.25,59.0900001525879,440300,39.970947265625
2013-11-22,59.1599998474121,59.2000007629395,58.3400001525879,58.6500015258789,376700,39.6732978820801
2013-11-25,58.6199989318848,58.6500015258789,57.7999992370605,57.8899993896484,463600,39.1592063903809
2013-11-26,57.939998626709,57.939998626709,57.0299987792969,57.5699996948242,748300,38.9427490234375
2013-11-27,57.7700004577637,58.6800003051758,57.6300010681152,58.4700012207031,414200,39.5515441894531
2013-11-29,58.4500007629395,58.6100006103516,57.7999992370605,57.9199981689453,243700,39.179500579834
2013-12-02,57.9900016784668,59.2799987792969,57.5200004577637,58.1300010681152,531600,39.3215522766113
2013-12-03,58.060001373291,58.9900016784668,57.9799995422363,58.7599983215332,494700,39.7477149963379
2013-12-04,58.2400016784668,61.2700004577637,58.2099990844727,60.560001373291,1033300,40.9653091430664
2013-12-05,60.2799987792969,61.1800003051758,59.7799987792969,61.1300010681152,817700,41.3508834838867
2013-12-06,61.1199989318848,61.6599998474121,59.9300003051758,60.1199989318848,530500,40.6676750183105
2013-12-09,58.7000007629395,59.8199996948242,58.5299987792969,59.4000015258789,643400,40.1806297302246
2013-12-10,59.2299995422363,59.8400001525879,59.2299995422363,59.2999992370605,635100,40.1129951477051
2013-12-11,59.439998626709,59.439998626709,57.5499992370605,57.5999984741211,608600,38.9630241394043
