"Fecha","CPRT.Open","CPRT.High","CPRT.Low","CPRT.Close","CPRT.Volume","CPRT.Adjusted"
2013-11-01,4.04125022888184,4.05749988555908,3.99499988555908,4.00124979019165,5952000,4.00124979019165
2013-11-04,4.00374984741211,4.04874992370605,3.99000000953674,4.02124977111816,4460800,4.02124977111816
2013-11-05,4.01249980926514,4.02124977111816,3.94749999046326,3.95125007629395,5663200,3.95125007629395
2013-11-06,3.9612500667572,4.02250003814697,3.94000005722046,3.98000001907349,9879200,3.98000001907349
2013-11-07,3.99000000953674,4,3.89499998092651,3.89499998092651,7404800,3.89499998092651
2013-11-08,3.88750004768372,3.94125008583069,3.88499999046326,3.90374994277954,9904800,3.90374994277954
2013-11-11,3.90249991416931,3.95374989509583,3.90124988555908,3.93624997138977,7943200,3.93624997138977
2013-11-12,3.92125010490417,3.95624995231628,3.92000007629395,3.9449999332428,5388000,3.9449999332428
2013-11-13,3.92750000953674,3.98624992370605,3.90875005722046,3.95000004768372,9955200,3.95000004768372
2013-11-14,3.95624995231628,4.02374982833862,3.94749999046326,4.00250005722046,20643200,4.00250005722046
2013-11-15,4.00124979019165,4.10375022888184,3.99125003814697,4.06750011444092,9812800,4.06750011444092
2013-11-18,4.06750011444092,4.13374996185303,4.05249977111816,4.12375020980835,11140800,4.12375020980835
2013-11-19,4.11250019073486,4.14499998092651,4.05499982833862,4.06500005722046,6180800,4.06500005722046
2013-11-20,4.06624984741211,4.09875011444092,4.05875015258789,4.07250022888184,3437600,4.07250022888184
2013-11-21,4.10249996185303,4.11250019073486,4.06374979019165,4.10750007629395,4078400,4.10750007629395
2013-11-22,4.10750007629395,4.12125015258789,4.08874988555908,4.10500001907349,3500000,4.10500001907349
2013-11-25,4.09875011444092,4.11124992370605,4.05000019073486,4.0625,7968800,4.0625
2013-11-26,4.07000017166138,4.27124977111816,4.03749990463257,4.23624992370605,29204000,4.23624992370605
2013-11-27,4.29874992370605,4.32000017166138,4.24875020980835,4.31374979019165,8620000,4.31374979019165
2013-11-29,4.33750009536743,4.33874988555908,4.30249977111816,4.30375003814697,2496800,4.30375003814697
2013-12-02,4.40500020980835,4.40500020980835,4.30375003814697,4.34124994277954,11426400,4.34124994277954
2013-12-03,4.34250020980835,4.4212498664856,4.31750011444092,4.40374994277954,7632800,4.40374994277954
2013-12-04,4.40000009536743,4.44999980926514,4.38625001907349,4.43249988555908,9720000,4.43249988555908
2013-12-05,4.42749977111816,4.44124984741211,4.38250017166138,4.40875005722046,7344000,4.40875005722046
2013-12-06,4.44374990463257,4.47375011444092,4.4225001335144,4.46999979019165,5973600,4.46999979019165
2013-12-09,4.49375009536743,4.51749992370605,4.44250011444092,4.45625019073486,6335200,4.45625019073486
2013-12-10,4.44624996185303,4.47749996185303,4.41874980926514,4.42000007629395,4201600,4.42000007629395
2013-12-11,4.42999982833862,4.44250011444092,4.37624979019165,4.39874982833862,3995200,4.39874982833862
2013-12-12,4.39624977111816,4.40875005722046,4.3600001335144,4.39249992370605,4588800,4.39249992370605
2013-12-13,4.40875005722046,4.43625020980835,4.38500022888184,4.40749979019165,3144800,4.40749979019165
2013-12-16,4.41499996185303,4.45874977111816,4.40374994277954,4.4524998664856,3046400,4.4524998664856
2013-12-17,4.4537501335144,4.45749998092651,4.41125011444092,4.44000005722046,4168000,4.44000005722046
2013-12-18,4.45125007629395,4.50374984741211,4.41125011444092,4.50250005722046,4522400,4.50250005722046
2013-12-19,4.48999977111816,4.51000022888184,4.45125007629395,4.4537501335144,3952000,4.4537501335144
2013-12-20,4.46750020980835,4.51375007629395,4.43499994277954,4.46124982833862,7904800,4.46124982833862
