"Fecha","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
2013-11-01,74.2600021362305,74.3000030517578,73.5999984741211,73.9300003051758,6373600,46.4633445739746
2013-11-04,74.1600036621094,74.5299987792969,73.6900024414062,74.4899978637695,3461700,46.8152923583984
2013-11-05,74.2399978637695,74.629997253418,73.7200012207031,74.3000030517578,2836200,46.6959114074707
2013-11-06,74.7099990844727,75.370002746582,74.5500030517578,75.1699981689453,2712400,47.2426605224609
2013-11-07,75.5199966430664,76.0100021362305,74.5100021362305,74.8099975585938,4737700,47.016414642334
2013-11-08,74.9400024414062,75.5,74.629997253418,75.3899993896484,3882000,47.3809280395508
2013-11-11,75.4000015258789,75.8199996948242,75.0899963378906,75.620002746582,3104800,47.5254898071289
2013-11-12,75.5999984741211,75.9000015258789,75.2699966430664,75.3300018310547,2408500,47.3432273864746
2013-11-13,75.3000030517578,76.5699996948242,75.2200012207031,76.5199966430664,3490600,48.0910949707031
2013-11-14,76.8899993896484,78.4700012207031,76.6600036621094,78.2600021362305,3362400,49.1846542358398
2013-11-15,78.2399978637695,78.870002746582,78.1699981689453,78.5699996948242,2660300,49.3794822692871
2013-11-18,78.6399993896484,79.2900009155273,78.2399978637695,78.4700012207031,2095500,49.3166351318359
2013-11-19,78.3899993896484,78.620002746582,77.4599990844727,77.6500015258789,2947900,48.8012886047363
2013-11-20,77.629997253418,78.1100006103516,77.0199966430664,77.5100021362305,2700500,48.7132987976074
2013-11-21,77.0800018310547,78.2200012207031,77.0800018310547,77.7600021362305,2569900,49.2516860961914
2013-11-22,77.9800033569336,79.3399963378906,77.7099990844727,79.2900009155273,2354500,50.2207298278809
2013-11-25,78.4199981689453,78.5199966430664,76.2600021362305,76.5500030517578,7441600,48.4852714538574
2013-11-26,76.8000030517578,77.5599975585938,76.3000030517578,76.3399963378906,3745600,48.3522796630859
2013-11-27,76.7399978637695,77.8199996948242,76.5999984741211,77.4599990844727,2782300,49.0616455078125
2013-11-29,77.75,78.1900024414062,77.0400009155273,77.1800003051758,1780100,48.8843154907227
2013-12-02,77.4400024414062,78.0100021362305,76.7699966430664,77.8499984741211,2775600,49.3086585998535
2013-12-03,77.4499969482422,78,76.7600021362305,77.120002746582,3398500,48.8463096618652
2013-12-04,76.9300003051758,77.0100021362305,75.5,76.5599975585938,4103900,48.4916076660156
2013-12-05,76.1999969482422,76.3600006103516,74.5100021362305,75.1500015258789,4283400,47.5985374450684
2013-12-06,76.2200012207031,76.9599990844727,75.7600021362305,76.5500030517578,2320400,48.4852714538574
2013-12-09,77,77.5500030517578,76.3399963378906,76.8000030517578,3342000,48.6436157226562
2013-12-10,76.8300018310547,77.1699981689453,76.629997253418,76.870002746582,1897300,48.6879692077637
