"Fecha","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
2013-11-01,10.8666667938232,11.0600004196167,10.6940002441406,10.8113327026367,107709000,10.8113327026367
2013-11-04,11,11.6926670074463,10.9479999542236,11.6800003051758,196806000,11.6800003051758
2013-11-05,12,12.0953330993652,11.423999786377,11.78733253479,337006500,11.78733253479
2013-11-06,10.3206672668457,10.7153329849243,9.756667137146,10.0773334503174,466075500,10.0773334503174
2013-11-07,9.61266708374023,9.71000003814697,9.17466735839844,9.31799983978271,334270500,9.31799983978271
2013-11-08,9.09866714477539,9.37333297729492,8.82133293151855,9.1966667175293,337168500,9.1966667175293
2013-11-11,9.39999961853027,9.69466686248779,9.14000034332275,9.64666652679443,209964000,9.64666652679443
2013-11-12,9.64599990844727,9.64666652679443,9.07866668701172,9.18666744232178,224778000,9.18666744232178
2013-11-13,9.38933277130127,9.4913330078125,9.08933258056641,9.24666690826416,189874500,9.24666690826416
2013-11-14,9.26133346557617,9.35999965667725,8.94066715240479,9.17333316802979,183055500,9.17333316802979
2013-11-15,9.12333297729492,9.1966667175293,8.95666694641113,9.02999973297119,148503000,9.02999973297119
2013-11-18,9.01799964904785,9.02999973297119,7.97399997711182,8.10533332824707,347073000,8.10533332824707
2013-11-19,7.96199989318848,8.60000038146973,7.94799995422363,8.4060001373291,297243000,8.4060001373291
2013-11-20,8.40533256530762,8.49666690826416,7.93733310699463,8.07400035858154,207744000,8.07400035858154
2013-11-21,8.19266700744629,8.31933307647705,8.01666736602783,8.14000034332275,178557000,8.14000034332275
2013-11-22,8.10533332824707,8.18333339691162,7.86199998855591,8.09200000762939,166450500,8.09200000762939
2013-11-25,8.30000019073486,8.38933277130127,8.02000045776367,8.05599975585938,154009500,8.05599975585938
2013-11-26,7.95866680145264,8.1813325881958,7.73999977111816,8.03333282470703,208282500,8.03333282470703
2013-11-27,8.0873327255249,8.46333312988281,7.96799993515015,8.46266746520996,185514000,8.46266746520996
2013-11-29,8.65133285522461,8.70600032806396,8.46533298492432,8.48533344268799,145743000,8.48533344268799
2013-12-02,8.42333316802979,8.56999969482422,8.26200008392334,8.27799987792969,116268000,8.27799987792969
2013-12-03,8.84533309936523,9.6626672744751,8.77266693115234,9.64666652679443,385236000,9.64666652679443
2013-12-04,9.62133312225342,9.62866687774658,9.14200019836426,9.26333332061768,197215500,9.26333332061768
