"Fecha","SPGI.Open","SPGI.High","SPGI.Low","SPGI.Close","SPGI.Volume","SPGI.Adjusted"
2013-11-01,70.1100006103516,71.2099990844727,70.0599975585938,71.0800018310547,1418800,63.737663269043
2013-11-04,71.370002746582,71.4800033569336,70.8499984741211,71.3199996948242,1233800,63.9528579711914
2013-11-05,71.2600021362305,71.4000015258789,70.6900024414062,71.0299987792969,759200,63.692813873291
2013-11-06,71.3899993896484,71.620002746582,70.6600036621094,70.870002746582,753000,63.5493354797363
2013-11-07,70.870002746582,71.1900024414062,69.8300018310547,69.870002746582,852400,62.6526336669922
2013-11-08,69.9800033569336,71.4199981689453,69.7799987792969,71.4199981689453,987400,64.0425491333008
2013-11-11,71.5199966430664,72,71,71.5299987792969,773700,64.1411514282227
2013-11-12,71.1999969482422,71.5599975585938,70.870002746582,71.1699981689453,907200,63.8183403015137
2013-11-13,70.8899993896484,71.2900009155273,70.370002746582,71.2300033569336,1046300,63.872127532959
2013-11-14,71.629997253418,72.4599990844727,71.4700012207031,72.2900009155273,1195400,64.8226547241211
2013-11-15,72.25,72.6100006103516,71.9100036621094,72.120002746582,1025000,64.6702041625977
2013-11-18,72.4800033569336,73.2099990844727,72.2099990844727,72.8399963378906,1426400,65.3158493041992
2013-11-19,72.6500015258789,73.879997253418,72.4899978637695,73.5599975585938,1141500,65.9614639282227
2013-11-20,73.5,73.9000015258789,72.9800033569336,73.2900009155273,788700,65.7193450927734
2013-11-21,73.6500015258789,74,73.370002746582,73.75,1516000,66.1318206787109
2013-11-22,73.3600006103516,74.4700012207031,73.0500030517578,74.2799987792969,1061300,66.8609466552734
2013-11-25,74.2799987792969,74.4899978637695,73.6999969482422,73.8199996948242,505900,66.4468612670898
2013-11-26,73.8300018310547,74.120002746582,73.5400009155273,73.6999969482422,687700,66.3388519287109
2013-11-27,75.8499984741211,75.8499984741211,73.8199996948242,74.5800018310547,736100,67.130989074707
2013-11-29,74.4300003051758,74.879997253418,74,74.5,523900,67.0589752197266
2013-12-02,74.4000015258789,75.7900009155273,74.1699981689453,74.2799987792969,1422400,66.8609466552734
2013-12-03,73.9700012207031,74.3099975585938,73.2099990844727,73.4000015258789,1369300,66.0688705444336
2013-12-04,72.9700012207031,74.9000015258789,72.4400024414062,73.9400024414062,2478200,66.5548782348633
2013-12-05,73.7300033569336,74.0800018310547,73.1800003051758,73.6999969482422,1262100,66.3388519287109
2013-12-06,74.2600021362305,74.7699966430664,73.7799987792969,74.7300033569336,1301700,67.265998840332
2013-12-09,74.9300003051758,75.3199996948242,74.120002746582,74.2900009155273,1025600,66.8699340820312
2013-12-10,74.0800018310547,74.2799987792969,73.5400009155273,73.8099975585938,685500,66.4378967285156
2013-12-11,74.0199966430664,74.129997253418,71.75,71.9599990844727,1527300,64.7726440429688
2013-12-12,73.370002746582,73.370002746582,71.5899963378906,72.0100021362305,1321200,64.8176803588867
2013-12-13,72.1699981689453,72.6800003051758,72.0500030517578,72.1999969482422,925200,64.9886932373047
2013-12-16,71.1600036621094,73.8899993896484,71.1600036621094,73.6600036621094,1215200,66.3028793334961
2013-12-17,73.5500030517578,73.7699966430664,72.8300018310547,72.8399963378906,896200,65.5647583007812
2013-12-18,73.2200012207031,74.3099975585938,72.0400009155273,74.25,1156600,66.8339385986328
2013-12-19,74.1999969482422,74.2900009155273,73.4000015258789,73.8199996948242,1019800,66.4468612670898
2013-12-20,74.1100006103516,76.1600036621094,73.8000030517578,76,3826600,68.4091339111328
2013-12-23,76.5500030517578,76.7900009155273,75.4800033569336,76.2300033569336,910000,68.6161804199219
2013-12-24,76.5,76.8099975585938,75.8099975585938,76.7399978637695,394000,69.0752563476562
2013-12-26,76.7699966430664,77.4800033569336,76.5599975585938,77.1900024414062,566600,69.4802856445312
2013-12-27,77.1399993896484,77.5899963378906,76.8099975585938,77.4700012207031,722900,69.7323532104492
