"Fecha","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
2013-11-01,41.538890838623,41.5677795410156,40.9722213745117,41.3366661071777,3888900,41.3366661071777
2013-11-04,41.4266662597656,42.7422218322754,41.3611106872559,42.4700012207031,4918500,42.4700012207031
2013-11-05,42.2688903808594,42.4322204589844,41.6366653442383,41.6533317565918,3672000,41.6533317565918
2013-11-06,41.7788887023926,42.0299987792969,41.5711097717285,41.9077796936035,1748700,41.9077796936035
2013-11-07,42.2055549621582,42.2400016784668,41.7588882446289,42.1755561828613,2790000,42.1755561828613
2013-11-08,42.0711097717285,43.406665802002,41.9000015258789,43.3144454956055,3585600,43.3144454956055
2013-11-11,43.4255561828613,44.2222213745117,43.0677795410156,43.9311103820801,4912200,43.9311103820801
2013-11-12,43.5633316040039,44.283332824707,43.5,44.0044441223145,4099500,44.0044441223145
2013-11-13,44,44.1922225952148,43.5233345031738,44.0277786254883,2223900,44.0277786254883
2013-11-14,44.114444732666,44.2222213745117,43.9044456481934,44.1411094665527,1274400,44.1411094665527
2013-11-15,43.7222213745117,44.0900001525879,43.0744438171387,43.8266677856445,3163500,43.8266677856445
2013-11-18,43.8322219848633,44.310001373291,43.3199996948242,43.6633338928223,2664000,43.6633338928223
2013-11-19,43.7055549621582,44.2611122131348,43.4722213745117,43.8422203063965,1286100,43.8422203063965
2013-11-20,43.9622230529785,44.2188873291016,43.6744422912598,43.8344421386719,1253700,43.8344421386719
2013-11-21,43.8077774047852,43.9011116027832,43.135555267334,43.3911094665527,1926000,43.3911094665527
2013-11-22,43.2333335876465,43.5366668701172,43.0022201538086,43.3011093139648,1276200,43.3011093139648
2013-11-25,43.2144432067871,43.3711128234863,42.5677795410156,42.7222213745117,1773900,42.7222213745117
2013-11-26,42.3933334350586,42.6422233581543,41.4822235107422,41.6122207641602,4269600,41.6122207641602
2013-11-27,41.8277778625488,42.0666656494141,41.5666656494141,42.0011100769043,1956600,42.0011100769043
2013-11-29,42.0466651916504,42.1100006103516,41.5866661071777,41.8777770996094,1247400,41.8777770996094
2013-12-02,42.0244445800781,42.0555572509766,41.5977783203125,41.7200012207031,1757700,41.7200012207031
2013-12-03,41.5533332824707,41.723331451416,41.3466682434082,41.4233322143555,2459700,41.4233322143555
2013-12-04,40.8322219848633,41.3866653442383,40.2466659545898,41.1866683959961,6984900,41.1866683959961
2013-12-05,41.2088890075684,41.3277778625488,40.5944442749023,40.8711128234863,2428200,40.8711128234863
2013-12-06,42.304443359375,42.4000015258789,41.521110534668,41.9311103820801,4600800,41.9311103820801
2013-12-09,41.8211097717285,41.9544448852539,41.3888893127441,41.843334197998,3242700,41.843334197998
2013-12-10,41.843334197998,42.3911094665527,41.6777763366699,42.168888092041,2874600,42.168888092041
2013-12-11,42.0688896179199,42.0688896179199,40.5244445800781,40.7355575561523,5111100,40.7355575561523
2013-12-12,40.6044425964355,41.2066688537598,40.5588874816895,40.9222221374512,4348800,40.9222221374512
2013-12-13,40.7522201538086,41.2255554199219,40.2822227478027,40.3266677856445,3812400,40.3266677856445
2013-12-16,40.4411125183105,41.0722236633301,40.2222213745117,40.2533340454102,4601700,40.2533340454102
2013-12-17,40.0955543518066,40.4444427490234,39.0155563354492,39.547779083252,6756300,39.547779083252
2013-12-18,39.6133346557617,40.3122215270996,39.3888893127441,40.1377792358398,4973400,40.1377792358398
2013-12-19,39.9344444274902,40.1711120605469,39.4722213745117,39.9000015258789,3689100,39.9000015258789
2013-12-20,39.9077796936035,40.5522232055664,39.6666679382324,40.4833335876465,9492300,40.4833335876465
2013-12-23,40.5566673278809,41.4544448852539,40.4022216796875,41.2455558776855,4302900,41.2455558776855
2013-12-24,41.2466659545898,41.6111106872559,41.0155563354492,41.2177772521973,1670400,41.2177772521973
2013-12-26,41.3722229003906,41.75,41.1111106872559,41.6422233581543,3574800,41.6422233581543
2013-12-27,41.5844421386719,42.6155548095703,41.4966659545898,42.2211112976074,3785400,42.2211112976074
2013-12-30,42.2155570983887,42.6166687011719,41.9922218322754,42.5633316040039,2938500,42.5633316040039
