"Fecha","NVR.Open","NVR.High","NVR.Low","NVR.Close","NVR.Volume","NVR.Adjusted"
2013-11-01,913.780029296875,924.130004882812,912.700012207031,922.25,36900,922.25
2013-11-04,936.809997558594,939.690002441406,928,932.820007324219,22700,932.820007324219
2013-11-05,917.109985351562,934,913.5,934,23900,934
2013-11-06,935,946.97998046875,930.419982910156,941.75,39600,941.75
2013-11-07,946.109985351562,957.549987792969,924.609985351562,931.840026855469,55900,931.840026855469
2013-11-08,932.900024414062,940,912.179992675781,932.440002441406,50400,932.440002441406
2013-11-11,935.760009765625,935.760009765625,918.619995117188,925.409973144531,25400,925.409973144531
2013-11-12,922.309997558594,926,919.700012207031,924.75,45400,924.75
2013-11-13,924.52001953125,934.760009765625,922,925.530029296875,40800,925.530029296875
2013-11-14,926,939.960021972656,923.049987792969,932.679992675781,38200,932.679992675781
2013-11-15,936.890014648438,944.869995117188,932,940.989990234375,47300,940.989990234375
2013-11-18,942.049987792969,952.25,936.239990234375,943.450012207031,50200,943.450012207031
2013-11-19,940.52001953125,953,933.539978027344,948.950012207031,41100,948.950012207031
2013-11-20,953,964.890014648438,951.210021972656,964.27001953125,57300,964.27001953125
2013-11-21,966.390014648438,980.780029296875,960.909973144531,974.760009765625,30000,974.760009765625
2013-11-22,974,977.599975585938,965.010009765625,973.760009765625,32400,973.760009765625
2013-11-25,968.309997558594,977.989990234375,964.309997558594,975.460021972656,35900,975.460021972656
2013-11-26,976.349975585938,987.77001953125,976.349975585938,984.320007324219,34500,984.320007324219
2013-11-27,988.940002441406,992,958.760009765625,988.059997558594,33000,988.059997558594
2013-11-29,981.359985351562,981.359985351562,967.559997558594,969.97998046875,10200,969.97998046875
2013-12-02,972.900024414062,972.900024414062,956.419982910156,960.119995117188,23600,960.119995117188
2013-12-03,952.5,959.809997558594,945.330017089844,954.080017089844,24800,954.080017089844
2013-12-04,953.460021972656,958,946.47998046875,952.469970703125,26200,952.469970703125
2013-12-05,952.859985351562,962.219970703125,946.530029296875,962.030029296875,22400,962.030029296875
2013-12-06,967.599975585938,975.869995117188,963,972.799987792969,25900,972.799987792969
2013-12-09,968.510009765625,979.159973144531,968.510009765625,979.159973144531,57200,979.159973144531
2013-12-10,980.25,981.309997558594,968,969,65600,969
2013-12-11,962.900024414062,965.159973144531,948,952.989990234375,74300,952.989990234375
2013-12-12,955,962.210021972656,948,955.25,34000,955.25
2013-12-13,957.159973144531,963.929992675781,945,949.25,41200,949.25
2013-12-16,952.950012207031,964.700012207031,952.950012207031,960,52900,960
2013-12-17,956,968.169982910156,951.640014648438,968.169982910156,69800,968.169982910156
2013-12-18,975,999.950012207031,970.840026855469,991.140014648438,70500,991.140014648438
2013-12-19,986.150024414062,995.630004882812,980,987.859985351562,41000,987.859985351562
2013-12-20,988,1003,988,996.650024414062,38100,996.650024414062
2013-12-23,1004,1024.93994140625,1004,1020,23300,1020
2013-12-24,1023.58001708984,1034.01000976562,1014.55999755859,1025.15002441406,17300,1025.15002441406
2013-12-26,1029.75,1033.31994628906,1020.28002929688,1031.94995117188,17000,1031.94995117188
2013-12-27,1026.26000976562,1040.38000488281,1026.26000976562,1040.38000488281,12100,1040.38000488281
2013-12-30,1033.84997558594,1042.55004882812,1025,1032.83996582031,41100,1032.83996582031
2013-12-31,1027.75,1034.93005371094,1016.51000976562,1026.01000976562,30300,1026.01000976562
