"Fecha","SJM.Open","SJM.High","SJM.Low","SJM.Close","SJM.Volume","SJM.Adjusted"
2013-11-01,111.089996337891,111.589996337891,110.410003662109,111.01000213623,310100,84.8265075683594
2013-11-04,111.389999389648,111.589996337891,110.069999694824,110.620002746582,236600,84.5285110473633
2013-11-05,110.150001525879,110.930000305176,109.779998779297,110.690002441406,434600,84.5820083618164
2013-11-06,111.360000610352,111.870002746582,110.940002441406,111.870002746582,327200,85.4836883544922
2013-11-07,111.819999694824,112.050003051758,107.25,107.610000610352,727000,82.2284698486328
2013-11-08,107.459999084473,108.610000610352,106.379997253418,108.610000610352,520600,82.9925842285156
2013-11-11,108.680000305176,109.120002746582,107.279998779297,107.639999389648,427800,82.2513809204102
2013-11-12,107.5,107.51000213623,106.480003356934,107.410003662109,395100,82.0756454467773
2013-11-13,105.459999084473,108.940002441406,105.459999084473,107.930000305176,337500,82.9207382202148
2013-11-14,108.169998168945,109.400001525879,108.01000213623,108.930000305176,320300,83.6890411376953
2013-11-15,109.029998779297,109.730003356934,107.839996337891,109.349998474121,483000,84.0117034912109
2013-11-18,109.730003356934,109.730003356934,108.48999786377,108.910003662109,327800,83.6736755371094
2013-11-19,108.370002746582,108.839996337891,107.730003356934,108.589996337891,313600,83.4278106689453
2013-11-20,101.970001220703,104.440002441406,99.4700012207031,101.48999786377,2903400,77.9729919433594
2013-11-21,100.040000915527,103.959999084473,100.019996643066,103.019996643066,1393100,79.1484909057617
2013-11-22,102.910003662109,104.139999389648,102.910003662109,103.949996948242,680700,79.8629760742188
2013-11-25,104.190002441406,104.809997558594,103.449996948242,104.309997558594,533300,80.1395645141602
2013-11-26,104.309997558594,105.959999084473,104.309997558594,105.620002746582,773300,81.1460113525391
2013-11-27,105.620002746582,106.059997558594,105.209999084473,105.610000610352,451200,81.1383514404297
2013-11-29,105.769996643066,106.029998779297,104.190002441406,104.23999786377,316200,80.0857925415039
2013-12-02,104.5,105.160003662109,103.620002746582,104.449996948242,688900,80.2471237182617
2013-12-03,104.620002746582,105.180000305176,104.019996643066,104.980003356934,1002900,80.6543197631836
2013-12-04,104.199996948242,105.150001525879,103.76000213623,104.75,1125100,80.4776153564453
2013-12-05,103.930000305176,104.120002746582,102.160003662109,102.290000915527,1257600,78.5876388549805
2013-12-06,103.129997253418,104.419998168945,102.819999694824,104.319999694824,856500,80.1472244262695
2013-12-09,104.949996948242,106.199996948242,104.559997558594,104.879997253418,697900,80.5774841308594
2013-12-10,104.639999389648,105.040000915527,102.900001525879,103.199996948242,821700,79.2867584228516
2013-12-11,103.629997253418,104.690002441406,103.190002441406,103.98999786377,887200,79.8937225341797
2013-12-12,103.650001525879,103.819999694824,101.290000915527,101.379997253418,726000,77.8884887695312
2013-12-13,101.51000213623,101.790000915527,100.180000305176,100.410003662109,879600,77.1432647705078
2013-12-16,100.540000915527,102.199996948242,100.540000915527,101.599998474121,533700,78.0575103759766
2013-12-17,101.430000305176,101.849998474121,100.309997558594,101.099998474121,608400,77.6733856201172
2013-12-18,101.019996643066,102.059997558594,100.400001525879,101.860000610352,885900,78.2572860717773
2013-12-19,101.5,102.199996948242,100.660003662109,101.949996948242,567800,78.326416015625
2013-12-20,102.309997558594,103,101.650001525879,102.120002746582,766500,78.4570083618164
2013-12-23,102.5,102.75,101.389999389648,101.639999389648,702900,78.0882339477539
2013-12-24,101.889999389648,103.180000305176,101.589996337891,102.360000610352,244900,78.6414031982422
2013-12-26,102.5,103.099998474121,102.199996948242,102.98999786377,382300,79.1254501342773
2013-12-27,102.940002441406,103.970001220703,102.940002441406,103.180000305176,323400,79.2714080810547
2013-12-30,103,104.059997558594,103,103.650001525879,328000,79.6324996948242
2013-12-31,103.779998779297,104.309997558594,103.319999694824,103.620002746582,436800,79.6094284057617
2014-01-02,103.639999389648,103.650001525879,101.830001831055,102.029998779297,878900,78.3878707885742
2014-01-03,102.050003051758,102.319999694824,101.370002746582,101.51000213623,620900,77.9883728027344
2014-01-06,101.970001220703,101.98999786377,100.610000610352,100.900001525879,776200,77.5197296142578
2014-01-07,102.120002746582,102.470001220703,101.26000213623,101.519996643066,817800,77.9960403442383
2014-01-08,101.290000915527,101.290000915527,97.8899993896484,98.1699981689453,1424200,75.4223022460938
2014-01-09,98.1500015258789,98.3000030517578,97.6699981689453,97.9800033569336,1168300,75.2763366699219
2014-01-10,98,98.7200012207031,97.6999969482422,98.4199981689453,908100,75.614387512207
2014-01-13,98.3300018310547,98.9899978637695,97.120002746582,97.3899993896484,1055300,74.8230514526367
2014-01-14,97.5199966430664,99.5199966430664,97.4199981689453,99.3399963378906,972500,76.321159362793
