"Fecha","ELV.Open","ELV.High","ELV.Low","ELV.Close","ELV.Volume","ELV.Adjusted"
2013-11-01,85.1500015258789,85.6999969482422,84.4599990844727,85.3600006103516,1872700,74.2181930541992
2013-11-04,85.7699966430664,87.0199966430664,85.75,86.8099975585938,1759800,75.478889465332
2013-11-05,86.6900024414062,87.7099990844727,86.1999969482422,87.4100036621094,2391900,76.0005798339844
2013-11-06,87.5,88.370002746582,86.75,87.6999969482422,2629200,76.2527236938477
2013-11-07,87.9700012207031,88.5,86.4300003051758,86.4599990844727,2228600,75.1745910644531
2013-11-08,86.6600036621094,87.6500015258789,86.0800018310547,87.2799987792969,2939000,75.8875427246094
2013-11-11,87.2399978637695,88.3399963378906,87.0100021362305,87.9400024414062,1492100,76.4614028930664
2013-11-12,87.8300018310547,88.0299987792969,87.0500030517578,87.5,2014200,76.0788497924805
2013-11-13,87.2600021362305,88.129997253418,87.0599975585938,88.0199966430664,2699400,76.5309677124023
2013-11-14,88.2200012207031,89.5299987792969,87.6500015258789,89.4899978637695,2901000,77.80908203125
2013-11-15,88.9800033569336,90.2300033569336,88.4300003051758,90.0999984741211,2688500,78.3394775390625
2013-11-18,90.1399993896484,90.9599990844727,90.0299987792969,90.4000015258789,1958200,78.6003036499023
2013-11-19,90.5599975585938,92.870002746582,90.5,92,3972400,79.9914474487305
2013-11-20,92,93.7200012207031,91.9100036621094,92.7600021362305,2451000,80.652229309082
2013-11-21,92.6999969482422,93.4899978637695,91.8499984741211,92.0800018310547,2407900,80.0610275268555
2013-11-22,91.7699966430664,93.1100006103516,91.1399993896484,93.0299987792969,2735400,80.8870239257812
2013-11-25,93,94.2200012207031,92.9800033569336,93.6100006103516,1671300,81.3913192749023
2013-11-26,93.6100006103516,94.3199996948242,93.3099975585938,93.6600036621094,2642900,81.434814453125
2013-11-27,94.0899963378906,94.3300018310547,93.4800033569336,93.620002746582,1304900,81.400016784668
2013-11-29,93.8300018310547,93.9599990844727,92.7300033569336,92.879997253418,1405000,80.7565994262695
