"Fecha","INTU.Open","INTU.High","INTU.Low","INTU.Close","INTU.Volume","INTU.Adjusted"
2013-11-01,71.7699966430664,72,71.1399993896484,71.3300018310547,2376700,65.3568954467773
2013-11-04,71.370002746582,71.4899978637695,70.8099975585938,71.4100036621094,1504800,65.4301910400391
2013-11-05,71.379997253418,71.8499984741211,70.9899978637695,71.7600021362305,1712400,65.7509078979492
2013-11-06,71.6800003051758,72.4499969482422,71.5100021362305,72.2399978637695,1332300,66.1906967163086
2013-11-07,72.3099975585938,72.629997253418,71.6500015258789,71.6800003051758,1195200,65.6775741577148
2013-11-08,71.8600006103516,72.4899978637695,71.8499984741211,72.4800033569336,1862400,66.4105911254883
2013-11-11,72.2600021362305,72.629997253418,71.8099975585938,72.2799987792969,1302700,66.2273025512695
2013-11-12,72.1999969482422,72.4499969482422,71.9499969482422,72.4100036621094,1049900,66.3464584350586
2013-11-13,72.5800018310547,72.9599990844727,71.9400024414062,72.9599990844727,2645900,66.8504028320312
2013-11-14,72.9499969482422,73.2900009155273,72.2699966430664,73.1600036621094,1606200,67.0336532592773
2013-11-15,73.2699966430664,73.7300033569336,72.8600006103516,73.6699981689453,1832400,67.5009231567383
2013-11-18,73.7300033569336,73.9400024414062,73.1500015258789,73.4100036621094,1784300,67.2626953125
2013-11-19,73.5899963378906,73.879997253418,73.0400009155273,73.3600006103516,1130900,67.216911315918
2013-11-20,73.6500015258789,73.6500015258789,72.9800033569336,73.1399993896484,1837900,67.0153198242188
2013-11-21,73.0500030517578,73.3899993896484,72.3300018310547,73.1600036621094,2354600,67.0336532592773
2013-11-22,72.9300003051758,73.1600036621094,70.870002746582,72.0299987792969,4434600,65.9982833862305
2013-11-25,72.3000030517578,72.9899978637695,71.75,72.7300033569336,2521200,66.6396713256836
2013-11-26,72.5699996948242,73.4400024414062,72.5599975585938,72.8399963378906,2014700,66.7404556274414
2013-11-27,73.0599975585938,73.6399993896484,72.9400024414062,73.5400009155273,1445200,67.3818130493164
2013-11-29,73.8000030517578,74.3300018310547,73.7300033569336,74.2300033569336,1377700,68.0140686035156
2013-12-02,74.1600036621094,74.7900009155273,73.870002746582,74.2300033569336,2028200,68.0140686035156
2013-12-03,74.1900024414062,74.7799987792969,73.9199981689453,74.3600006103516,1647100,68.1331253051758
2013-12-04,73.8199996948242,74.5500030517578,73.4700012207031,74.3399963378906,1548700,68.1148071289062
2013-12-05,74.2099990844727,74.379997253418,73.8399963378906,74.0100021362305,1424800,67.8124618530273
2013-12-06,74.7699966430664,75.0299987792969,74.2699966430664,74.9100036621094,1463400,68.6371383666992
2013-12-09,74.870002746582,74.9100036621094,74.120002746582,74.4000015258789,1631900,68.1698226928711
2013-12-10,75.5100021362305,75.620002746582,74.25,75,2112100,68.7195739746094
2013-12-11,75.25,75.5999984741211,74.4599990844727,74.5299987792969,1747400,68.2889251708984
