"Fecha","BIIB.Open","BIIB.High","BIIB.Low","BIIB.Close","BIIB.Volume","BIIB.Adjusted"
2013-11-01,245.570007324219,248.320007324219,239.610000610352,243.100006103516,1593300,243.100006103516
2013-11-04,243.789993286133,245.949996948242,239.850006103516,240.070007324219,942200,240.070007324219
2013-11-05,237.990005493164,244.869995117188,237.990005493164,244.059997558594,995300,244.059997558594
2013-11-06,245.270004272461,245.979995727539,237.630004882812,238.479995727539,1046700,238.479995727539
2013-11-07,239.720001220703,242.889999389648,230.529998779297,231.190002441406,1444900,231.190002441406
2013-11-08,233.119995117188,237.539993286133,230.25,236.690002441406,1095900,236.690002441406
2013-11-11,236.229995727539,237.429992675781,232.360000610352,234.789993286133,770400,234.789993286133
2013-11-12,233.5,235.630004882812,231,235.619995117188,991100,235.619995117188
2013-11-13,233.699996948242,236.429992675781,232.110000610352,236.100006103516,1006000,236.100006103516
2013-11-14,236.5,240.839996337891,236.5,237.580001831055,680900,237.580001831055
2013-11-15,237,245.809997558594,236.800003051758,245.089996337891,1579700,245.089996337891
2013-11-18,244.979995727539,247.399993896484,239.809997558594,241.270004272461,1224200,241.270004272461
2013-11-19,241.970001220703,248.75,240.679992675781,245.460006713867,1203500,245.460006713867
2013-11-20,245.669998168945,249.960006713867,243,246.119995117188,1014400,246.119995117188
2013-11-21,247.300003051758,253.220001220703,245.309997558594,252.429992675781,1399500,252.429992675781
2013-11-22,278,289.970001220703,274.980010986328,285.619995117188,4698000,285.619995117188
2013-11-25,286.540008544922,297.980010986328,284.510009765625,295.880004882812,2727900,295.880004882812
2013-11-26,295.950012207031,297.799987792969,288.579986572266,289.200012207031,1584800,289.200012207031
2013-11-27,292.799987792969,295.890014648438,288.010009765625,293.829986572266,939700,293.829986572266
2013-11-29,290,295.489990234375,290,290.970001220703,514200,290.970001220703
2013-12-02,291.709991455078,298.820007324219,290.519989013672,294.839996337891,1128500,294.839996337891
2013-12-03,294.170013427734,294.25,286.559997558594,287.760009765625,1419500,287.760009765625
2013-12-04,285.899993896484,289.239990234375,282.380004882812,285.820007324219,900200,285.820007324219
2013-12-05,284.950012207031,288.730010986328,282.119995117188,284.920013427734,1159000,284.920013427734
2013-12-06,289.549987792969,292.859985351562,283,290.899993896484,1214500,290.899993896484
2013-12-09,292.989990234375,293.200012207031,284.700012207031,286.179992675781,1190000,286.179992675781
2013-12-10,286.829986572266,288.899993896484,281.279998779297,285.230010986328,937500,285.230010986328
2013-12-11,284.660003662109,286.019989013672,277.190002441406,278.040008544922,1270200,278.040008544922
2013-12-12,278.200012207031,283.829986572266,277.220001220703,277.869995117188,993600,277.869995117188
2013-12-13,278.019989013672,279.410003662109,271.589996337891,275.320007324219,1167300,275.320007324219
2013-12-16,277.220001220703,283.540008544922,273.209991455078,273.600006103516,1178300,273.600006103516
2013-12-17,274.549987792969,276.589996337891,270.269989013672,271.510009765625,1253000,271.510009765625
2013-12-18,272.190002441406,281.25,270.739990234375,280.640014648438,1870500,280.640014648438
2013-12-19,278.880004882812,280.429992675781,275.170013427734,277.209991455078,955800,277.209991455078
2013-12-20,278.459991455078,285.540008544922,275.029998779297,283.339996337891,3027500,283.339996337891
2013-12-23,284.279998779297,285,279.510009765625,281.609985351562,1075900,281.609985351562
