"Fecha","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
2013-11-01,48.580753326416,48.9168128967285,48.4194450378418,48.8159942626953,3399696,46.136833190918
2013-11-04,48.8227157592773,48.9638633728027,48.4328880310059,48.8966484069824,2852769,46.2130470275879
2013-11-05,48.8361587524414,48.9100914001465,48.567310333252,48.7891120910645,2042793,46.1114273071289
2013-11-06,48.9974670410156,49.4679527282715,48.8697662353516,49.0512351989746,2567700,46.3591842651367
2013-11-07,49.1050071716309,49.252872467041,48.1909255981445,48.2648582458496,2636736,45.6159439086914
2013-11-08,48.634521484375,50.1669540405273,48.634521484375,50.1400718688965,6942819,47.3882369995117
2013-11-11,50.1400718688965,50.2543296813965,49.7771263122559,49.978759765625,2616353,47.2357902526855
2013-11-12,49.8913841247559,49.9451560974121,49.3200836181641,49.6695861816406,3380206,46.9435768127441
2013-11-13,49.4612274169922,49.6292572021484,49.3536911010742,49.5754890441895,3859883,46.8546485900879
2013-11-14,49.864501953125,50.3685913085938,49.7435188293457,50.0325317382812,4332716,47.2866020202637
2013-11-15,49.8510589599609,50.2341651916504,49.7704048156738,50.0661354064941,4853010,47.3183631896973
2013-11-18,50.0862998962402,50.4021949768066,49.9922027587891,50.1064643859863,4197174,47.3564796447754
2013-11-19,50.0862998962402,50.2408866882324,49.7502403259277,49.8241729736328,2622750,47.0896873474121
2013-11-20,49.797290802002,50.0795783996582,49.4276237487793,49.5956535339355,3293911,46.8737144470215
2013-11-21,49.871223449707,50.0056457519531,49.6628646850586,49.9585952758789,2688512,47.2167358398438
2013-11-22,50.0190887451172,50.2274436950684,49.8981056213379,50.1736755371094,2884460,47.4200172424316
2013-11-25,50.4089164733887,50.4089164733887,49.978759765625,50.0862998962402,2072401,47.3374176025391
2013-11-26,50.4290809631348,51.0071029663086,50.4089164733887,50.657600402832,5388481,47.877368927002
2013-11-27,50.8928413391113,51.0339889526367,50.529899597168,50.65087890625,2106621,47.8710136413574
2013-11-29,50.6307144165039,50.7718620300293,50.2274436950684,50.2744941711426,1998754,47.5152893066406
2013-12-02,50.1333465576172,50.583667755127,49.978759765625,50.1199073791504,3677474,47.3692016601562
2013-12-03,49.924991607666,50.0392532348633,49.4276237487793,49.5822105407715,3516045,46.8610076904297
2013-12-04,49.3268051147461,49.931713104248,49.0041885375977,49.5082778930664,2778824,46.7911262512207
2013-12-05,49.2259864807129,49.7704048156738,49.0915641784668,49.4948348999023,2830452,46.778434753418
