"Fecha","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
2013-11-01,146.105361938477,147.450607299805,145.380996704102,147.318908691406,1408794,92.4053115844727
2013-11-04,147.582321166992,147.808090209961,145.917221069336,147.808090209961,1148465,92.7121353149414
2013-11-05,146.622772216797,147.05549621582,145.823135375977,146.011291503906,1212245,91.585090637207
2013-11-06,146.745056152344,147.845718383789,146.434616088867,146.904983520508,1104882,92.1456680297852
2013-11-07,147.544677734375,147.714019775391,145.65380859375,146.114776611328,1439940,91.650016784668
2013-11-08,145.145812988281,145.145812988281,142.182495117188,143.941680908203,1566649,90.2869491577148
2013-11-11,144.139236450195,144.628402709961,143.283157348633,143.443084716797,972432,89.9741744995117
2013-11-12,142.822204589844,143.226715087891,140.348068237305,140.921920776367,1601091,88.3927993774414
2013-11-13,139.369705200195,140.809036254883,138.767639160156,140.809036254883,1545602,89.0352096557617
2013-11-14,140.639694213867,143.584197998047,140.620880126953,143.047973632812,1423251,90.4509353637695
2013-11-15,142.530578613281,144.534332275391,142.530578613281,144.430862426758,1718233,91.3253402709961
2013-11-18,144.44026184082,145.023513793945,143.264343261719,143.405456542969,1260187,90.6769866943359
2013-11-19,143.189086914062,144.223892211914,142.116653442383,143.104415893555,1135816,90.4866638183594
2013-11-20,143.160858154297,144.39323425293,140.940734863281,141.157104492188,1137197,89.2553329467773
2013-11-21,141.382873535156,142.041397094727,140.649108886719,141.759170532227,959676,89.6360168457031
2013-11-22,142.060211181641,142.069610595703,140.329254150391,140.714950561523,869215,88.9757614135742
2013-11-25,141.260589599609,141.429916381836,139.821258544922,140.018814086914,964460,88.5355606079102
2013-11-26,140.188140869141,141.712127685547,139.586074829102,141.232360839844,1722698,89.3029098510742
2013-11-27,141.561614990234,142.925674438477,141.138290405273,142.737533569336,1605236,90.2546463012695
2013-11-29,143.010345458984,143.452499389648,140.950134277344,140.968963623047,938523,89.1363525390625
2013-12-02,142.182495117188,142.182495117188,139.774230957031,140.018814086914,1562929,88.5355606079102
2013-12-03,139.595489501953,140.799621582031,139.256820678711,140.04704284668,1204698,88.5534133911133
2013-12-04,138.880523681641,141.07243347168,138.805267333984,140.507995605469,1299411,88.8448791503906
2013-12-05,140.084671020508,142.079025268555,139.416748046875,141.862655639648,1616717,89.7014770507812
2013-12-06,143.029159545898,143.725311279297,142.229537963867,143.697082519531,1363935,90.8613739013672
2013-12-09,143.932266235352,144.703674316406,142.75634765625,144.628402709961,1301006,91.4502792358398
2013-12-10,144.825958251953,145.41862487793,144.007522583008,144.045150756836,1298561,91.0814743041992
2013-12-11,144.280334472656,144.703674316406,141.467544555664,141.523986816406,1670292,89.4873046875
2013-12-12,141.580429077148,141.768585205078,139.567260742188,139.576675415039,1666784,88.2560119628906
2013-12-13,142.831604003906,145.823135375977,142.229537963867,142.643463134766,2636240,90.195198059082
2013-12-16,142.568206787109,143.424270629883,141.420501708984,143.254943847656,1861207,90.5818176269531
2013-12-17,143.000946044922,143.979309082031,142.737533569336,143.555969238281,1619162,90.7721328735352
2013-12-18,143.301971435547,146.509872436523,141.909683227539,145.879592895508,2744135,92.2414169311523
2013-12-19,145.719665527344,145.785507202148,143.697082519531,144.873001098633,1836651,91.6048965454102
2013-12-20,144.571960449219,145.616180419922,144.336776733398,145.540924072266,2509105,92.0272750854492
2013-12-23,146.265289306641,146.622772216797,144.506118774414,144.835372924805,1456416,91.5811386108398
2013-12-24,145.230484008789,145.766693115234,144.176864624023,144.985885620117,462937,91.6763229370117
2013-12-26,145.174041748047,146.265289306641,144.402633666992,145.089370727539,735065,91.7417755126953
2013-12-27,144.167449951172,144.534332275391,143.396041870117,144.139236450195,1190985,91.1409606933594
2013-12-30,144.421447753906,145.719665527344,143.951080322266,144.308563232422,934909,91.2480163574219
2013-12-31,144.336776733398,144.760116577148,142.624649047852,143.142044067383,1657111,90.5104217529297
2014-01-02,143.358413696289,144.186264038086,142.069610595703,143.076202392578,1465346,90.4687881469727
