"Fecha","HSY.Open","HSY.High","HSY.Low","HSY.Close","HSY.Volume","HSY.Adjusted"
2013-11-01,99.3499984741211,99.9899978637695,98.629997253418,99.2099990844727,573100,79.5245513916016
2013-11-04,99.370002746582,99.879997253418,98.4100036621094,98.8499984741211,529800,79.2360000610352
2013-11-05,98.75,99.9700012207031,98.5199966430664,99.5100021362305,721400,79.7650146484375
2013-11-06,99.6500015258789,99.9899978637695,99.1999969482422,99.4300003051758,582100,79.7009048461914
2013-11-07,99.3199996948242,99.5199966430664,96.5899963378906,96.6999969482422,1056500,77.5126113891602
2013-11-08,96.6699981689453,97.5800018310547,96.2300033569336,97.5500030517578,604700,78.1939544677734
2013-11-11,97.5500030517578,97.8199996948242,96.629997253418,96.8099975585938,466000,77.6007690429688
2013-11-12,96.3499984741211,96.9400024414062,96.0400009155273,96.879997253418,521300,77.6568603515625
2013-11-13,96.2200012207031,97.8300018310547,96.129997253418,97.8199996948242,590500,78.4103775024414
2013-11-14,97.9000015258789,98.6800003051758,97.5299987792969,98.6500015258789,448300,79.0756759643555
2013-11-15,98.8199996948242,98.9599990844727,97.7099990844727,98.5599975585938,553600,79.0035247802734
2013-11-18,98.629997253418,98.8499984741211,97.1500015258789,97.5,620900,78.1538772583008
2013-11-19,97.1600036621094,97.1800003051758,96.4000015258789,96.4300003051758,866700,77.2961807250977
2013-11-20,96.379997253418,96.75,94.9100036621094,94.9700012207031,1342900,76.1259002685547
2013-11-21,94.5500030517578,96.0999984741211,94.5100021362305,95.7600021362305,668700,77.1531066894531
2013-11-22,95.9100036621094,96.3000030517578,95.0500030517578,96.2900009155273,771100,77.5801391601562
2013-11-25,96.5,96.9199981689453,95.9100036621094,95.9899978637695,395700,77.3384170532227
2013-11-26,96.3399963378906,97.2699966430664,95.8600006103516,96.9199981689453,967300,78.0877380371094
2013-11-27,97,97.8499984741211,96.5599975585938,97.7200012207031,686800,78.732292175293
2013-11-29,97.6699981689453,98.1600036621094,96.5699996948242,96.8899993896484,323700,78.0635604858398
