"Fecha","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
2013-11-01,166.550003051758,168.970001220703,166.440002441406,168.800003051758,973200,138.74137878418
2013-11-04,169.669998168945,171.979995727539,168.309997558594,169.589996337891,935400,139.390670776367
2013-11-05,169.710006713867,173.320007324219,169.610000610352,171.190002441406,1961700,140.705825805664
2013-11-07,180.25,181.070007324219,172.429992675781,172.809997558594,2559200,142.037338256836
2013-11-08,172.990005493164,173.720001220703,172.320007324219,173.419998168945,1034500,142.538650512695
2013-11-11,173.399993896484,173.5,171.800003051758,172.529998779297,1346500,141.807159423828
2013-11-12,172.160003662109,173.080001831055,171.210006713867,171.490005493164,1194800,140.952407836914
2013-11-18,175.289993286133,175.759994506836,172.649993896484,173.070007324219,730900,142.251052856445
2013-11-19,173.559997558594,174.270004272461,172.5,173.259994506836,558300,142.407196044922
2013-11-20,173.910003662109,174.679992675781,171.809997558594,172,606000,141.371536254883
2013-11-21,172.419998168945,172.929992675781,170.800003051758,171.979995727539,663400,141.355102539062
2013-12-03,173.789993286133,174.839996337891,171.839996337891,173.149993896484,710900,142.316757202148
2013-12-04,172.369995117188,174.199996948242,172.369995117188,173.630004882812,602100,142.711303710938
2013-12-05,172.889999389648,173.839996337891,172.020004272461,173.5,613200,142.6044921875
2013-12-06,174.740005493164,174.740005493164,171.929992675781,172.289993286133,705800,141.609893798828
2013-12-09,172.639999389648,174.520004272461,171.009994506836,171.179992675781,596700,140.697555541992
2013-12-10,170.729995727539,172.520004272461,170.729995727539,171.729995727539,697100,141.14958190918
2013-12-11,172.229995727539,173.139999389648,170.949996948242,171.089996337891,723200,140.623611450195
2013-12-12,170.589996337891,173.389999389648,169.860000610352,173.020004272461,921200,142.209869384766
2014-01-08,175.330001831055,176.139999389648,171.830001831055,172.320007324219,736100,142.000015258789
2014-01-09,173.25,173.259994506836,170.460006713867,172.880004882812,649900,142.46142578125
2014-01-13,173.580001831055,174.160003662109,166.690002441406,167.5,992400,138.028060913086
2014-01-14,167.240005493164,169.139999389648,166.940002441406,167.470001220703,870300,138.003326416016
2014-01-15,168.119995117188,170.039993286133,167.059997558594,168.080001831055,632600,138.505996704102
2014-01-16,166.149993896484,166.389999389648,162.919998168945,163.309997558594,1753100,134.575286865234
