"Fecha","DLTR.Open","DLTR.High","DLTR.Low","DLTR.Close","DLTR.Volume","DLTR.Adjusted"
2013-11-01,58.8800010681152,58.8800010681152,58.0099983215332,58.1699981689453,1213100,58.1699981689453
2013-11-04,58.5200004577637,58.6699981689453,57.9000015258789,57.9599990844727,1917500,57.9599990844727
2013-11-05,58.0299987792969,59.060001373291,57.8499984741211,58.5,1628600,58.5
2013-11-06,59.8499984741211,59.8499984741211,58.25,58.7200012207031,1070400,58.7200012207031
2013-11-07,58.8400001525879,58.8800010681152,57.8699989318848,57.9099998474121,1517800,57.9099998474121
2013-11-08,58.0800018310547,58.7799987792969,57.7599983215332,58.6599998474121,1876300,58.6599998474121
2013-11-11,58.4199981689453,59.3899993896484,58.2000007629395,59.060001373291,1263800,59.060001373291
2013-11-12,58.9199981689453,59.3600006103516,58.7799987792969,59.2900009155273,880800,59.2900009155273
2013-11-13,58.9500007629395,59.7299995422363,58.9500007629395,59.6199989318848,1401600,59.6199989318848
2013-11-14,59.560001373291,60.0200004577637,59.2000007629395,59.810001373291,1315300,59.810001373291
2013-11-15,59.8199996948242,59.9799995422363,59.2400016784668,59.9099998474121,1399300,59.9099998474121
2013-11-18,60.0200004577637,60.1100006103516,58.9700012207031,59.5400009155273,1984000,59.5400009155273
2013-11-19,59.8199996948242,59.8300018310547,59.2000007629395,59.310001373291,1324700,59.310001373291
2013-11-20,59.3800010681152,59.6100006103516,58.6599998474121,58.9199981689453,2053600,58.9199981689453
2013-11-21,55.5,56.9000015258789,55.1500015258789,56.2799987792969,8819100,56.2799987792969
2013-11-22,56.8300018310547,57.5200004577637,56.560001373291,56.8600006103516,4406900,56.8600006103516
2013-11-25,57.0699996948242,57.3600006103516,56.4099998474121,56.5499992370605,2276800,56.5499992370605
2013-11-26,56.689998626709,56.8199996948242,56.0699996948242,56.189998626709,2952000,56.189998626709
2013-11-27,56.3699989318848,56.560001373291,55.7900009155273,55.8300018310547,2038200,55.8300018310547
2013-11-29,55.8600006103516,56.2000007629395,55.5900001525879,55.6500015258789,2571900,55.6500015258789
2013-12-02,55.6300010681152,55.9199981689453,55.3800010681152,55.4900016784668,2421600,55.4900016784668
2013-12-03,55.4500007629395,55.6399993896484,54.939998626709,55.2400016784668,2774700,55.2400016784668
2013-12-04,54.7299995422363,55.5400009155273,54.6699981689453,54.9000015258789,2875200,54.9000015258789
2013-12-05,55.0699996948242,56.25,55.0499992370605,55.25,3055400,55.25
2013-12-06,55.5099983215332,55.7400016784668,55.0200004577637,55.1699981689453,3809700,55.1699981689453
2013-12-09,55.4300003051758,55.7099990844727,55.0999984741211,55.2799987792969,2243900,55.2799987792969
2013-12-10,55.1500015258789,56.0299987792969,55.1100006103516,55.6399993896484,2220800,55.6399993896484
2013-12-11,55.5200004577637,56.3899993896484,55.5099983215332,55.9000015258789,2100100,55.9000015258789
2013-12-12,55.9500007629395,56.2799987792969,55.5800018310547,55.7400016784668,1983500,55.7400016784668
2013-12-13,55.939998626709,56.3199996948242,55.439998626709,55.7200012207031,1218800,55.7200012207031
2013-12-16,55.8899993896484,56.3199996948242,55.8300018310547,56.1100006103516,2280300,56.1100006103516
2013-12-17,56.0299987792969,56.1100006103516,55.5900001525879,55.7099990844727,2119100,55.7099990844727
2013-12-18,55.7599983215332,55.9099998474121,55.0800018310547,55.8199996948242,3047000,55.8199996948242
2013-12-19,55.7400016784668,55.7999992370605,55.0999984741211,55.2999992370605,1809800,55.2999992370605
2013-12-20,55.25,55.6599998474121,55.0800018310547,55.4500007629395,4882900,55.4500007629395
2013-12-23,55.6500015258789,56.1199989318848,55.3600006103516,55.9900016784668,2231400,55.9900016784668
2013-12-24,56,56.75,55.9900016784668,56.4000015258789,1176600,56.4000015258789
2013-12-26,55.75,56.8800010681152,55.75,56.5800018310547,1219100,56.5800018310547
2013-12-27,56.5800018310547,56.7999992370605,55.9500007629395,56.2900009155273,1246400,56.2900009155273
2013-12-30,56.2099990844727,56.4700012207031,56.0900001525879,56.3499984741211,1196200,56.3499984741211
2013-12-31,56.6599998474121,56.7099990844727,56.2799987792969,56.4199981689453,887200,56.4199981689453
2014-01-02,55.9900016784668,56.560001373291,55.9799995422363,56.4000015258789,2424200,56.4000015258789
2014-01-03,56.5499992370605,56.9199981689453,56.3899993896484,56.5699996948242,1694200,56.5699996948242
2014-01-06,56.7400016784668,57.4099998474121,56.5499992370605,56.7599983215332,2780000,56.7599983215332
2014-01-07,56.5499992370605,56.939998626709,56.4799995422363,56.5900001525879,2398200,56.5900001525879
2014-01-08,56.4700012207031,56.7099990844727,56.3300018310547,56.6399993896484,1914300,56.6399993896484
