"Fecha","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
2013-11-01,63.1309623718262,63.4605369567871,62.3677368164062,63.156982421875,661822,54.122989654541
2013-11-04,63.1309623718262,63.6426696777344,62.6019096374512,63.1830024719238,911447,54.1452980041504
2013-11-05,63.0182113647461,63.2697296142578,62.5932350158691,63.1743278503418,665512,54.137866973877
2013-11-06,63.2957496643066,63.6339988708496,63.1136169433594,63.3477897644043,475151,54.2864952087402
2013-11-07,63.3738059997559,63.6426696777344,62.4371223449707,62.5845603942871,1035394,53.6324615478516
2013-11-08,62.5758895874023,63.68603515625,62.2636604309082,63.6773643493652,795109,54.5689353942871
2013-11-11,63.6253242492676,63.7640953063965,63.252384185791,63.3130950927734,362388,54.2567863464355
2013-11-12,62.9921951293945,63.2697296142578,62.7406768798828,62.9401550292969,628039,53.937183380127
2013-11-13,62.7666969299316,63.7987861633301,62.6973114013672,63.7814407348633,613857,54.6581420898438
2013-11-14,63.9635734558105,64.2324371337891,63.7207298278809,64.041633605957,456588,54.8811111450195
2013-11-15,64.1023406982422,65.1517791748047,64.1023406982422,65.1344299316406,668048,55.817569732666
2013-11-18,65.1257553100586,65.3339157104492,63.8855171203613,64.0503005981445,753486,54.8885383605957
2013-11-19,64.032958984375,64.1890716552734,63.5993041992188,63.7554206848145,588261,54.6358261108398
2013-11-20,63.790111541748,63.9722442626953,62.9141387939453,63.0095405578613,504322,53.996654510498
2013-11-21,63.2437133789062,63.3824806213379,63.0095405578613,63.1222915649414,637955,54.0932807922363
2013-11-22,63.2263641357422,63.6079788208008,63.0875968933105,63.2437133789062,1231058,54.1973190307617
2013-11-25,63.3391151428223,63.4345207214355,62.5758895874023,62.7840423583984,696643,53.8034019470215
2013-11-26,62.8707733154297,63.2957496643066,62.8360786437988,62.9921951293945,636225,53.9817848205566
2013-11-27,62.9661750793457,63.581958770752,62.8534278869629,63.3044242858887,769973,54.2493476867676
2013-11-29,63.3217697143555,63.6686897277832,63.1136169433594,63.1916732788086,302663,54.1527290344238
2013-12-02,63.2176933288574,63.7033805847168,63.052906036377,63.148307800293,635418,54.1155662536621
2013-12-03,62.6973114013672,63.156982421875,62.2029495239258,62.7927131652832,920094,53.8108367919922
2013-12-04,62.6799659729004,63.5212478637695,62.385082244873,63.261058807373,1579379,54.2121849060059
2013-12-05,63.0355606079102,63.7207298278809,62.8881187438965,63.4258460998535,928050,54.3534088134766
2013-12-06,64.0676498413086,64.5273208618164,63.694709777832,64.5273208618164,809521,55.2973136901855
2013-12-09,64.5099716186523,64.9262771606445,64.5099716186523,64.9176025390625,623197,55.6317901611328
2013-12-10,64.8915863037109,65.5073699951172,64.7267990112305,65.099739074707,1096503,55.7878684997559
2013-12-11,65.1170883178711,65.2124862670898,64.0763244628906,64.3451843261719,1023172,55.1412315368652
2013-12-12,64.1283645629883,64.1370315551758,63.5646133422852,63.694709777832,758213,54.583812713623
2013-12-13,63.6773643493652,64.1890716552734,63.5039024353027,63.581958770752,846533,54.487190246582
2013-12-16,63.7120552062988,64.1370315551758,63.1309623718262,63.156982421875,1436753,54.122989654541
2013-12-17,63.0095405578613,63.590633392334,62.9054641723633,63.3564605712891,869823,54.2939453125
2013-12-18,63.148307800293,63.3651351928711,62.3677368164062,63.0702514648438,2062256,54.0486793518066
