"Fecha","LH.Open","LH.High","LH.Low","LH.Close","LH.Volume","LH.Adjusted"
2013-11-01,86.7010345458984,86.975944519043,86.0395202636719,86.8900375366211,711320,85.1143569946289
2013-11-04,87.2250823974609,88.3075637817383,87.1048126220703,88.2474212646484,830048,86.4439926147461
2013-11-05,88.1786956787109,88.2474212646484,87.4656372070312,87.9811019897461,714580,86.1831207275391
2013-11-06,87.9381408691406,88.7800674438477,87.5945053100586,88.6254272460938,491208,86.8142776489258
2013-11-07,88.9432983398438,90.3522338867188,88.384880065918,89.6305847167969,1046203,87.7988967895508
2013-11-08,89.3298950195312,90.2233657836914,89.0549850463867,90.1804122924805,591079,88.3374862670898
2013-11-11,89.9054946899414,91.0824737548828,89.9054946899414,90.773193359375,853794,88.9181518554688
2013-11-12,90.5498275756836,90.8333358764648,89.3814392089844,90.567008972168,903497,88.716178894043
2013-11-13,90.524055480957,91.0395202636719,90.0343627929688,90.5755996704102,648697,88.7245941162109
2013-11-14,90.7474212646484,92.3195877075195,90.3350524902344,92.2594528198242,950290,90.3740386962891
2013-11-15,92.1219940185547,92.7835083007812,91.1254272460938,91.3488006591797,893603,89.4819869995117
2013-11-18,91.340202331543,91.8127136230469,89.5017166137695,89.9656372070312,933412,88.1270980834961
2013-11-19,89.5962219238281,90.0257720947266,88.5481109619141,89.3127136230469,820387,87.4875259399414
2013-11-20,89.2353973388672,90.0945053100586,88.840202331543,89.475944519043,466648,87.6474075317383
2013-11-21,89.8109970092773,90.1718215942383,89.475944519043,90.0601348876953,547662,88.2196655273438
2013-11-22,90.0859146118164,90.3608245849609,89.7079010009766,90.3436431884766,359676,88.4973831176758
2013-11-25,90.7388305664062,91.3659820556641,90.5326461791992,90.9278335571289,599809,89.0696258544922
2013-11-26,90.8934707641602,91.0137481689453,90.2233657836914,90.249137878418,867995,88.4048080444336
2013-11-27,90.1202774047852,91.2113418579102,87.044677734375,87.8694152832031,2290752,86.0737075805664
2013-11-29,87.7233657836914,88.797248840332,87.0103073120117,87.5,452214,85.7118453979492
2013-12-02,87.2680435180664,87.293815612793,85.7989654541016,85.9965667724609,1820147,84.239143371582
2013-12-03,85.979377746582,86.3573913574219,85.4982833862305,85.9106521606445,830630,84.1549758911133
2013-12-04,85.3608245849609,85.6357421875,84.0807571411133,85.206184387207,1037590,83.4649047851562
2013-12-05,85.1890029907227,85.7302398681641,84.6735382080078,85.2577285766602,964025,83.5153961181641
2013-12-06,85.8934707641602,86.3917541503906,85.3436431884766,85.9106521606445,990215,84.1549758911133
