"Fecha","AIZ.Open","AIZ.High","AIZ.Low","AIZ.Close","AIZ.Volume","AIZ.Adjusted"
2013-11-01,58.7400016784668,59.2099990844727,58.4799995422363,58.5999984741211,572300,47.8383293151855
2013-11-04,58.7900009155273,59.4700012207031,58.2700004577637,59.4000015258789,442900,48.4914283752441
2013-11-05,59.1800003051758,59.25,58.6699981689453,58.7000007629395,537600,47.9199714660645
2013-11-06,59.0099983215332,59.5900001525879,58.8899993896484,59.5800018310547,366200,48.638370513916
2013-11-07,59.5900001525879,59.7999992370605,58.5,58.5400009155273,619500,47.7893600463867
2013-11-08,58.6300010681152,59.8699989318848,58.5299987792969,59.8400001525879,428100,48.8506164550781
2013-11-11,59.8899993896484,60.2599983215332,59.4199981689453,60.2599983215332,324100,49.1934928894043
2013-11-12,59.939998626709,60.189998626709,59.4300003051758,59.7200012207031,328600,48.7526588439941
2013-11-13,59.6399993896484,61,59.439998626709,61,517300,49.7975921630859
2013-11-14,61.2299995422363,61.6199989318848,60.7299995422363,61.5900001525879,384400,50.2792282104492
2013-11-15,61.4599990844727,61.75,60.6500015258789,61.3499984741211,443000,50.0833129882812
2013-11-18,63.8600006103516,63.8600006103516,61.5999984741211,61.7999992370605,803700,50.4506607055664
2013-11-19,61.9300003051758,61.9799995422363,61.5400009155273,61.7599983215332,424000,50.4180183410645
2013-11-20,61.7400016784668,62.3800010681152,61.1199989318848,61.7999992370605,343000,50.4506607055664
2013-11-21,61.8300018310547,63.0299987792969,60.4599990844727,62.8400001525879,424900,51.2996788024902
2013-11-22,62.939998626709,64.1399993896484,62.810001373291,64.0400009155273,687500,52.2793045043945
2013-11-25,64.1399993896484,64.4499969482422,63.6599998474121,63.9000015258789,293000,52.1650123596191
2013-11-26,63.9500007629395,65.0699996948242,63.9500007629395,64.6600036621094,792200,52.7854347229004
2013-11-27,64.6900024414062,64.8099975585938,64.0899963378906,64.7799987792969,525800,53.0886726379395
2013-11-29,64.9499969482422,65.379997253418,64.4499969482422,64.9400024414062,277800,53.2197952270508
2013-12-02,64.9599990844727,66.2399978637695,64.9400024414062,65.7099990844727,694200,53.8508186340332
