"Fecha","FDS.Open","FDS.High","FDS.Low","FDS.Close","FDS.Volume","FDS.Adjusted"
2013-11-01,109.620002746582,110.160003662109,107.959999084473,108.639999389648,142000,97.5938110351562
2013-11-04,108.690002441406,110.220001220703,108.569999694824,109.300003051758,165500,98.1866912841797
2013-11-05,108.550003051758,110.129997253418,108.099998474121,108.949996948242,235000,97.8722915649414
2013-11-06,109.069999694824,110.190002441406,108.440002441406,109.819999694824,227200,98.6538238525391
2013-11-07,110.230003356934,110.660003662109,108.370002746582,108.629997253418,216200,97.5848236083984
2013-11-08,108.76000213623,110.629997253418,108.76000213623,110.180000305176,145400,98.9771957397461
2013-11-11,110.089996337891,111.330001831055,109.269996643066,110.889999389648,230900,99.6150283813477
2013-11-12,110.519996643066,111.150001525879,109.980003356934,110.459999084473,121600,99.2287445068359
2013-11-13,110.290000915527,111.919998168945,109.300003051758,111.889999389648,186600,100.513336181641
2013-11-14,111.730003356934,114.519996643066,110.910003662109,113.410003662109,363500,101.87882232666
2013-11-15,113.290000915527,113.660003662109,112.25,112.809997558594,310300,101.339836120605
2013-11-18,113.019996643066,113.430000305176,112.25,112.75,116800,101.285911560059
2013-11-19,112.449996948242,113.379997253418,111.900001525879,112.790000915527,197300,101.321853637695
2013-11-20,112.75,113.620002746582,112.019996643066,112.139999389648,226300,100.73796081543
2013-11-21,112.559997558594,114.519996643066,112.529998779297,114.389999389648,176000,102.759147644043
2013-11-22,114.309997558594,115.379997253418,114.199996948242,114.430000305176,175300,102.795104980469
2013-11-25,114.790000915527,115.389999389648,114.160003662109,114.830001831055,237100,103.154457092285
2013-11-26,114.819999694824,114.910003662109,113.569999694824,114.120002746582,169800,102.830055236816
2013-11-27,114.550003051758,114.709999084473,113.25,114.199996948242,165900,102.902137756348
2013-11-29,114.080001831055,114.089996337891,112.98999786377,113,169900,101.820861816406
2013-12-02,113.129997253418,114.449996948242,112.139999389648,113.459999084473,185000,102.2353515625
2013-12-03,113.199996948242,114.26000213623,112.589996337891,113.360000610352,125700,102.145225524902
2013-12-04,113,113.849998474121,112.400001525879,113.48999786377,113200,102.26237487793
2013-12-05,113.360000610352,113.809997558594,112.400001525879,113.430000305176,118400,102.208305358887
2013-12-06,114.040000915527,114.910003662109,112.830001831055,113.940002441406,176400,102.667877197266
2013-12-09,114.26000213623,114.879997253418,113.360000610352,114.559997558594,238100,103.226539611816
2013-12-10,114.190002441406,114.839996337891,113.440002441406,114.48999786377,196900,103.163444519043
