"Fecha","WMT.Open","WMT.High","WMT.Low","WMT.Close","WMT.Volume","WMT.Adjusted"
2013-11-01,76.9700012207031,77.4000015258789,76.5899963378906,77.0699996948242,5116100,62.1609916687012
2013-11-04,77.2200012207031,77.6500015258789,77.1999969482422,77.3300018310547,4704100,62.3707084655762
2013-11-05,76.8099975585938,77.6100006103516,76.7200012207031,77.4199981689453,5085500,62.4432716369629
2013-11-06,77.6399993896484,78.2799987792969,77.3000030517578,78.1600036621094,4829200,63.0401344299316
2013-11-07,78.1900024414062,78.2200012207031,77.2399978637695,77.5100021362305,8347600,62.515869140625
2013-11-08,77.4899978637695,77.9599990844727,76.7900009155273,77.9599990844727,5793800,62.8788223266602
2013-11-11,77.8600006103516,79.0699996948242,77.7900009155273,79.0100021362305,7450500,63.7257041931152
2013-11-12,78.8499984741211,78.9700012207031,78.25,78.7099990844727,5266100,63.4837532043457
2013-11-13,78.4199981689453,78.9899978637695,78.3499984741211,78.9000015258789,8286700,63.6369895935059
2013-11-14,77.75,79.5299987792969,77.6800003051758,79.0800018310547,9302100,63.7821922302246
2013-11-15,78.9300003051758,79.2900009155273,78.75,79.2200012207031,5911100,63.8950805664062
2013-11-18,79.2300033569336,79.3199996948242,78.9100036621094,79.2200012207031,5962700,63.8950805664062
2013-11-19,79.3000030517578,79.3499984741211,78.879997253418,79.25,4455000,63.919261932373
2013-11-20,79.3099975585938,79.3899993896484,78.4899978637695,78.9000015258789,4511300,63.6369895935059
2013-11-21,78.7399978637695,79.1999969482422,78.5500030517578,78.8600006103516,3841000,63.6047210693359
2013-11-22,78.870002746582,79.870002746582,78.75,79.8099975585938,4812100,64.3709564208984
2013-11-25,80.0599975585938,80.5699996948242,79.9100036621094,80.4300003051758,5670400,64.8710174560547
2013-11-26,80.4400024414062,80.6800003051758,80.1100006103516,80.6800003051758,5537800,65.072624206543
2013-11-27,80.5500030517578,81,80.379997253418,80.9300003051758,4813300,65.274284362793
2013-11-29,81.1699981689453,81.3499984741211,80.8199996948242,81.0100021362305,3447200,65.3387832641602
2013-12-02,80.8899993896484,81.2799987792969,80.370002746582,81.1100006103516,6178400,65.4194717407227
2013-12-03,81.2099990844727,81.3300018310547,80.6999969482422,81.2099990844727,7506400,65.5001373291016
2013-12-04,80.6399993896484,81.370002746582,79.9100036621094,80.2200012207031,7641200,65.0782775878906
2013-12-05,79.7200012207031,79.7699966430664,78.870002746582,79.4400024414062,6450000,64.4454727172852
2013-12-06,79.7099990844727,80.2300033569336,79.6399993896484,79.9400024414062,5088100,64.8511123657227
