"Fecha","MCO.Open","MCO.High","MCO.Low","MCO.Close","MCO.Volume","MCO.Adjusted"
2013-11-01,70.6699981689453,71.629997253418,70.629997253418,71.1900024414062,841100,63.7418594360352
2013-11-04,71.5400009155273,72.5599975585938,71.3600006103516,72.4199981689453,712700,64.8431930541992
2013-11-05,72.2099990844727,72.6999969482422,71.6999969482422,72.1100006103516,747900,64.5656204223633
2013-11-06,72.5,72.870002746582,72,72.2799987792969,530500,64.7178649902344
2013-11-07,72.2900009155273,72.7699966430664,71.1800003051758,71.379997253418,846500,63.911979675293
2013-11-08,71.2399978637695,73.1100006103516,71.2300033569336,73.0699996948242,787600,65.4251937866211
2013-11-11,73,73.7300033569336,72.8000030517578,73.4499969482422,635200,65.7654342651367
2013-11-12,73.25,73.25,72.2399978637695,72.8300018310547,849700,65.2103042602539
2013-11-13,72.5299987792969,73.4100036621094,72.0999984741211,73.3300018310547,703700,65.6579666137695
2013-11-14,69.9800033569336,74.0400009155273,69.9800033569336,73.9400024414062,500300,66.2041625976562
2013-11-15,74.2799987792969,75.0699996948242,74.0299987792969,75.0500030517578,873500,67.1980361938477
2013-11-18,74.9300003051758,75.3199996948242,74.0500030517578,74.2300033569336,802600,66.6859588623047
2013-11-19,74.2200012207031,75.120002746582,74.0599975585938,74.5400009155273,1074300,66.9644393920898
2013-11-20,74.6900024414062,74.9899978637695,73.870002746582,74.2600021362305,519700,66.7129287719727
2013-11-21,74.2399978637695,74.9400024414062,74.1399993896484,74.3099975585938,960800,66.7578201293945
2013-11-22,74.4199981689453,75.5199966430664,74.2799987792969,75.4800033569336,1220800,67.8089141845703
2013-11-25,75.5299987792969,75.8899993896484,74.2200012207031,74.4899978637695,746400,66.9195556640625
2013-11-26,74.5199966430664,75.1399993896484,73.5,74.2399978637695,735100,66.6949462890625
2013-11-27,74.3300018310547,74.9000015258789,73.870002746582,74.2300033569336,460700,66.6859588623047
2013-11-29,74.4100036621094,75.3099975585938,73.9700012207031,74.629997253418,581000,67.0453109741211
2013-12-02,74.4100036621094,75.5,74.2399978637695,74.7300033569336,552400,67.1351623535156
2013-12-03,74.3199996948242,75.1399993896484,73.3899993896484,73.7900009155273,613200,66.2907028198242
2013-12-04,73.3199996948242,73.870002746582,71.9599990844727,73.2200012207031,800100,65.7786102294922
2013-12-05,72.6999969482422,73.4599990844727,72.3000030517578,72.3899993896484,1046900,65.0329742431641
2013-12-06,73.4199981689453,74.0100021362305,72.5599975585938,73.9199981689453,532900,66.4075088500977
2013-12-09,74.0100021362305,74.3000030517578,73.0699996948242,73.4199981689453,712100,65.9582672119141
2013-12-10,73.2200012207031,73.8499984741211,72.9100036621094,73.0899963378906,592500,65.6618347167969
2013-12-11,73.3300018310547,73.4400024414062,72.1600036621094,72.2799987792969,714100,64.9341506958008
2013-12-12,72.2600021362305,72.9300003051758,71.6399993896484,71.7099990844727,810500,64.4220733642578
2013-12-13,72.3000030517578,72.8600006103516,71.8000030517578,71.8300018310547,727900,64.529899597168
2013-12-16,73.2200012207031,74.379997253418,72.5899963378906,73.9199981689453,1094900,66.4075088500977
2013-12-17,74.2699966430664,74.370002746582,73.5899963378906,73.629997253418,812800,66.1469497680664
2013-12-18,74.0699996948242,75.1800003051758,73,75.120002746582,1154000,67.4855346679688
2013-12-19,74.6100006103516,75.1800003051758,74.0299987792969,74.1999969482422,719100,66.6590042114258
2013-12-20,74.8000030517578,77.370002746582,74.5999984741211,77.3000030517578,2463800,69.4439544677734
2013-12-23,77.5,77.620002746582,76.5899963378906,77.2399978637695,732300,69.3900375366211
2013-12-24,77.120002746582,77.5699996948242,76.7799987792969,77.4199981689453,221600,69.5517654418945
2013-12-26,77.4100036621094,77.8099975585938,76.7099990844727,77.6800003051758,326700,69.7853622436523
2013-12-27,77.7699966430664,77.9100036621094,77.3099975585938,77.4400024414062,340100,69.5697326660156
2013-12-30,77.4199981689453,78.4599990844727,77.1600036621094,78.2600021362305,655800,70.3064041137695
2013-12-31,78.2699966430664,79.1500015258789,78.1500015258789,78.4700012207031,624800,70.4950637817383
2014-01-02,77.8600006103516,77.9599990844727,76.4199981689453,77.3199996948242,950700,69.4619293212891
2014-01-03,77.2200012207031,78.0699996948242,76.7699966430664,77.8300018310547,905500,69.9200973510742
2014-01-06,78.120002746582,78.7399978637695,77.4300003051758,77.8300018310547,823400,69.9200973510742
2014-01-07,77.879997253418,78.2099990844727,77.4899978637695,77.8899993896484,809200,69.9739990234375
2014-01-08,77.9000015258789,78.0400009155273,75.7200012207031,76.2799987792969,1874900,68.5276260375977
2014-01-09,76.4599990844727,76.5999984741211,75.4800033569336,76.5599975585938,957600,68.7791519165039
2014-01-10,76.6399993896484,77.379997253418,76.4899978637695,76.75,920800,68.9498672485352
2014-01-13,76.6399993896484,76.8600006103516,74.8499984741211,75.0800018310547,676700,67.4495849609375
2014-01-14,75.5,76.4899978637695,75.2799987792969,76.0299987792969,888100,68.3030319213867
2014-01-15,76.2900009155273,76.7399978637695,75.9000015258789,76.4599990844727,875600,68.689323425293
2014-01-16,76.4000015258789,76.6999969482422,75.4700012207031,76.0999984741211,654500,68.3659286499023
2014-01-17,75.5199966430664,76.6500015258789,75.5199966430664,75.75,799700,68.0514678955078
2014-01-21,76.4800033569336,77,75.75,76.2200012207031,544400,68.4737396240234
2014-01-22,76.3499984741211,76.9700012207031,76.0100021362305,76.5899963378906,622600,68.8061294555664
2014-01-23,75.9599990844727,76.1800003051758,75.3899993896484,75.4700012207031,736900,67.7999725341797
2014-01-24,74.2600021362305,75.5,72.9700012207031,72.9700012207031,1097800,65.5540161132812
2014-01-27,72.9599990844727,74.1600036621094,72.6500015258789,73.6699981689453,903300,66.1828994750977
2014-01-28,73.6500015258789,75.1900024414062,73.6500015258789,74.6999969482422,774900,67.1082305908203
2014-01-29,73.8199996948242,74.6800003051758,72.9199981689453,73.2900009155273,843700,65.8414916992188
2014-01-30,73.8600006103516,75.379997253418,73.8600006103516,75.1699981689453,641400,67.5304565429688
