"Fecha","ZBH.Open","ZBH.High","ZBH.Low","ZBH.Close","ZBH.Volume","ZBH.Adjusted"
2013-11-01,85.310676574707,85.5922317504883,84.7572784423828,85.3300933837891,1029485,78.776008605957
2013-11-04,85.3009719848633,86.4466018676758,85.0970840454102,86.291259765625,1546339,79.6633224487305
2013-11-05,85.6504821777344,86.4854354858398,85.5242691040039,86.3495178222656,1301817,79.7171173095703
2013-11-06,86.4077682495117,87.0679626464844,86.2233047485352,86.7961196899414,1293165,80.1294021606445
2013-11-07,86.689323425293,87.0776672363281,85.5436859130859,85.7864074707031,1434275,79.1972579956055
2013-11-08,85.5825271606445,86.0873794555664,85.0291290283203,86.0097122192383,1029794,79.4034042358398
2013-11-11,85.9417495727539,86.9514541625977,85.8349533081055,86.6310653686523,1186354,79.9770278930664
2013-11-12,86.1941757202148,86.708740234375,85.7766952514648,86.6504821777344,1135781,79.9949722290039
2013-11-13,86.4757308959961,87.0388336181641,85.9417495727539,87.0291290283203,765290,80.3445205688477
2013-11-14,86.8640747070312,88.1067962646484,86.7961196899414,87.6699066162109,1100864,80.9360809326172
2013-11-15,87.4077682495117,88.1844635009766,87.4077682495117,87.9514541625977,1596191,81.1959762573242
2013-11-18,87.9611663818359,88.0485458374023,86.6796112060547,86.980583190918,683199,80.2996978759766
2013-11-19,86.8543701171875,87.6601943969727,86.3009719848633,87.3203887939453,683199,80.613410949707
2013-11-20,87.1941757202148,87.3786392211914,86.4951477050781,86.6699066162109,612747,80.0128631591797
2013-11-21,87.0679626464844,87.3300933837891,86.0679626464844,86.5728149414062,1627606,79.9232482910156
2013-11-22,86.7572784423828,86.9902877807617,85.8058242797852,86.6407775878906,1335086,79.9860000610352
2013-11-25,87.3689346313477,87.9223327636719,86.9902877807617,87.1262130737305,1210456,80.4341506958008
2013-11-26,87.1165084838867,88.8543701171875,87.1165084838867,87.9611663818359,1896127,81.2049560546875
2013-11-27,87.8446578979492,88.3009719848633,87.6601943969727,87.980583190918,1351463,81.2228927612305
2013-11-29,87.9417495727539,88.9223327636719,87.6019439697266,88.7475738525391,875603,81.9309921264648
2013-12-02,88.5825271606445,88.8834915161133,88.2038803100586,88.3883514404297,980869,81.5993347167969
2013-12-03,87.9320373535156,88.2524261474609,87.4077682495117,87.9514541625977,950072,81.1959762573242
2013-12-04,87.2330093383789,87.8349533081055,86.9708709716797,87.4466018676758,1059355,80.7299270629883
2013-12-05,87.5048522949219,88.4660186767578,87.4174728393555,87.8155364990234,2155687,81.0705184936523
