"Fecha","TMO.Open","TMO.High","TMO.Low","TMO.Close","TMO.Volume","TMO.Adjusted"
2013-11-01,98.1800003051758,98.4899978637695,97.6399993896484,97.9300003051758,1731200,94.7782974243164
2013-11-04,98.2900009155273,98.2900009155273,97.5,98.0500030517578,1219500,94.8944625854492
2013-11-05,97.5500030517578,97.75,96.8300018310547,97.0899963378906,1406400,93.9653549194336
2013-11-06,97.25,98.4100036621094,97.1699981689453,97.5699996948242,1164100,94.4299163818359
2013-11-07,97.7600021362305,98.0100021362305,96.0899963378906,96.1600036621094,1142000,93.0652770996094
2013-11-08,95.9800033569336,98.2300033569336,95.5199966430664,98.1699981689453,1357200,95.0105972290039
2013-11-11,98.2699966430664,98.4499969482422,97.7900009155273,98.4100036621094,1024700,95.2428817749023
2013-11-12,98.0899963378906,98.4499969482422,97.2799987792969,97.6900024414062,1096500,94.5460205078125
2013-11-13,97.2900009155273,98.8499984741211,96.879997253418,98.8099975585938,2310800,95.6299743652344
2013-11-14,98.8099975585938,100.209999084473,98.4199981689453,100.209999084473,1719800,96.9849395751953
2013-11-15,100.01000213623,101.519996643066,100.01000213623,101.370002746582,1720500,98.1076049804688
2013-11-18,101.389999389648,101.5,100.449996948242,100.769996643066,861100,97.5269165039062
2013-11-19,100.410003662109,101.040000915527,99.9400024414062,100.51000213623,1059600,97.2752838134766
2013-11-20,100.5,101.589996337891,100.470001220703,101.069999694824,1060000,97.8172607421875
2013-11-21,103.120002746582,103.120002746582,101.330001831055,101.819999694824,1317100,98.5431518554688
2013-11-22,101.879997253418,102.199996948242,101.449996948242,101.51000213623,1421300,98.2431030273438
2013-11-25,101.809997558594,102.580001831055,101.5,101.98999786377,1209000,98.7076644897461
2013-11-26,102.220001220703,102.529998779297,101.430000305176,101.449996948242,1467000,98.1850051879883
2013-11-27,101.519996643066,101.669998168945,100.620002746582,101,1579600,97.74951171875
2013-11-29,101.26000213623,101.629997253418,100.680000305176,100.849998474121,854900,97.6043395996094
2013-12-02,101.089996337891,101.48999786377,100.610000610352,100.830001831055,1346400,97.5849914550781
2013-12-03,100.5,101.069999694824,100.150001525879,100.919998168945,1390300,97.6720809936523
2013-12-04,100.5,101.230003356934,99.120002746582,100.220001220703,1101000,96.9946212768555
