"Fecha","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
2013-11-01,156.428268432617,159.971176147461,156.308166503906,159.370681762695,9264813,132.118026733398
2013-11-04,159.670928955078,159.670928955078,157.989547729492,158.710144042969,4690501,131.570434570312
2013-11-05,158.049606323242,159.250579833984,157.689300537109,158.650085449219,4146181,131.52067565918
2013-11-06,158.950332641602,162.012847900391,158.83024597168,161.532455444336,9768450,133.910140991211
2013-11-07,161.772659301758,163.273880004883,159.730972290039,159.730972290039,9915463,132.416687011719
2013-11-08,158.650085449219,162.493240356445,158.529998779297,162.433197021484,6279663,134.656875610352
2013-11-11,162.253051757812,162.373138427734,161.472412109375,162.192993164062,3978119,134.457748413086
2013-11-12,161.652557373047,162.9736328125,160.99201965332,162.433197021484,6254900,134.656875610352
2013-11-13,161.95280456543,163.03369140625,160.631713867188,163.03369140625,5727566,135.154647827148
2013-11-14,163.03369140625,163.333938598633,161.292266845703,162.072906494141,5404665,134.358215332031
2013-11-15,162.192993164062,164.715072631836,161.95280456543,163.333938598633,8609351,135.403610229492
2013-11-18,163.814331054688,165.135406494141,162.793487548828,163.454025268555,6508675,135.503173828125
2013-11-19,162.913589477539,164.11457824707,161.652557373047,162.313095092773,5948785,134.557266235352
2013-11-20,162.072906494141,163.153793334961,161.412353515625,161.89274597168,5043594,134.208831787109
2013-11-21,162.253051757812,162.253051757812,160.691772460938,161.592498779297,5056101,133.959884643555
2013-11-22,161.352310180664,162.673385620117,161.292266845703,162.613342285156,3671620,134.806228637695
2013-11-25,162.9736328125,163.153793334961,160.511627197266,160.511627197266,5384814,133.063842773438
2013-11-26,160.451568603516,161.832702636719,160.451568603516,160.811859130859,6086838,133.312759399414
2013-11-27,161.112106323242,161.532455444336,160.631713867188,161.112106323242,3781513,133.561660766602
2013-11-29,160.631713867188,161.352310180664,159.9111328125,160.091278076172,3564725,132.715377807617
2013-12-02,160.031219482422,160.571670532227,159.490783691406,160.091278076172,5770381,132.715377807617
2013-12-03,159.730972290039,159.730972290039,158.169692993164,159.490783691406,5453158,132.217575073242
2013-12-04,158.169692993164,160.091278076172,157.329010009766,159.971176147461,7485041,132.615829467773
2013-12-05,159.9111328125,159.971176147461,158.229751586914,158.83024597168,4738678,131.669967651367
2013-12-06,160.751815795898,162.012847900391,160.211380004883,161.772659301758,4221086,134.109313964844
2013-12-09,161.712600708008,164.11457824707,161.412353515625,163.273880004883,5116734,135.353790283203
2013-12-10,162.673385620117,164.474868774414,162.553298950195,162.9736328125,5139898,135.104873657227
2013-12-11,162.793487548828,162.913589477539,159.370681762695,159.610885620117,6688078,132.317169189453
2013-12-12,159.130493164062,160.331466674805,159.010391235352,159.370681762695,5155802,132.118026733398
2013-12-13,159.670928955078,161.772659301758,159.190536499023,161.172164916992,6633506,133.611465454102
2013-12-16,161.772659301758,162.673385620117,161.352310180664,162.012847900391,6687845,134.308395385742
2013-12-17,162.733444213867,162.9736328125,161.772659301758,162.313095092773,6100427,134.557266235352
2013-12-18,162.313095092773,164.955261230469,161.172164916992,164.594970703125,9203913,136.449005126953
2013-12-19,163.153793334961,164.534912109375,161.112106323242,164.05451965332,8449049,137.101348876953
2013-12-20,163.754272460938,164.955261230469,162.253051757812,164.294723510742,13015119,137.302017211914
2013-12-23,164.715072631836,165.07536315918,163.754272460938,164.534912109375,4979813,137.502792358398
2013-12-24,164.414825439453,166.09619140625,164.294723510742,165.795959472656,2516218,138.556640625
2013-12-26,166.216293334961,167.897674560547,165.735900878906,167.117034912109,4124165,139.660736083984
2013-12-27,167.17707824707,167.777572631836,166.696685791016,167.117034912109,3162521,139.660736083984
2013-12-30,167.17707824707,168.017776489258,166.936889648438,167.477325439453,3968793,139.961776733398
2013-12-31,167.537384033203,168.678314208984,167.117034912109,168.318023681641,5046975,140.664367675781
2014-01-02,167.297180175781,167.777572631836,164.594970703125,165.135406494141,6903285,138.004653930664
2014-01-03,165.255508422852,165.735900878906,164.594970703125,165.015319824219,4591365,137.904251098633
2014-01-06,166.09619140625,166.516540527344,163.03369140625,163.694229125977,4888755,136.800277709961
2014-01-07,165.015319824219,165.07536315918,163.393981933594,163.874374389648,4117954,136.950775146484
2014-01-08,164.234664916992,164.294723510742,162.853546142578,163.393981933594,4307948,136.549377441406
2014-01-09,164.11457824707,164.294723510742,161.712600708008,163.454025268555,5214287,136.599563598633
2014-01-10,163.273880004883,163.514083862305,161.292266845703,161.89274597168,6466127,135.294723510742
2014-01-13,162.012847900391,162.733444213867,160.211380004883,160.511627197266,5731829,134.140518188477
2014-01-14,161.172164916992,162.132949829102,160.571670532227,161.95280456543,4154241,135.344940185547
2014-01-15,163.03369140625,164.534912109375,162.192993164062,164.174621582031,5306195,137.201721191406
2014-01-16,163.454025268555,163.754272460938,162.613342285156,163.333938598633,5436921,136.499145507812
2014-01-17,161.412353515625,161.652557373047,157.80940246582,159.610885620117,16193477,133.387786865234
2014-01-21,160.511627197266,160.571670532227,156.368225097656,157.869445800781,9981592,131.932464599609
2014-01-22,157.929504394531,157.989547729492,156.067977905273,156.067977905273,8105565,130.42692565918
2014-01-23,156.007919311523,156.007919311523,153.305709838867,155.047134399414,9666634,129.573806762695
2014-01-24,153.545913696289,153.666000366211,149.822860717773,149.822860717773,15921101,125.207870483398
2014-01-27,151.684387207031,151.864532470703,149.522613525391,150.543441772461,10083058,125.81005859375
2014-01-28,152.104721069336,153.846160888672,151.924575805664,152.885360717773,8397408,127.767204284668
2014-01-29,152.164779663086,153.245666503906,151.083892822266,151.864532470703,6599534,126.914100646973
2014-01-30,153.125564575195,153.666000366211,152.104721069336,153.125564575195,5011587,127.967887878418
