"Fecha","WTW.Open","WTW.High","WTW.Low","WTW.Close","WTW.Volume","WTW.Adjusted"
2013-11-01,119.284767150879,119.549667358398,118.49006652832,118.966888427734,593128,99.821418762207
2013-11-04,118.993377685547,119.125831604004,117.562911987305,117.668876647949,402528,98.7322845458984
2013-11-05,116.900665283203,117.960266113281,116.556289672852,116.847679138184,366439,98.0432510375977
2013-11-06,117.086090087891,118.092712402344,117.006622314453,117.589401245117,240279,98.6656265258789
2013-11-07,117.933776855469,118.543045043945,117.192054748535,117.562911987305,262325,98.6433868408203
2013-11-08,117.801322937012,118.437088012695,117.40397644043,118.437088012695,201132,99.3768920898438
2013-11-11,118.516555786133,119.655632019043,118.172187805176,119.178810119629,163608,99.9992446899414
2013-11-12,118.781455993652,119.099334716797,117.721855163574,118.516555786133,119592,99.4435729980469
2013-11-13,117.801322937012,118.675498962402,117.589401245117,118.675498962402,202415,99.5769348144531
2013-11-14,118.75496673584,120.741722106934,118.357612609863,119.973510742188,293053,100.666023254395
2013-11-15,119.920532226562,120.132446289062,118.887420654297,119.867553710938,241487,100.577163696289
2013-11-18,119.867553710938,119.867553710938,118.251655578613,118.49006652832,241373,99.4213104248047
2013-11-19,117.960266113281,118.569534301758,117.13907623291,117.218544006348,180256,98.3544540405273
2013-11-20,118.38410949707,119.046356201172,117.854301452637,118.38410949707,234994,99.3324203491211
2013-11-21,118.86092376709,119.072845458984,118.092712402344,118.807945251465,144167,99.6880416870117
2013-11-22,118.913909912109,119.761589050293,118.251655578613,119.470199584961,351075,100.24373626709
2013-11-25,119.62914276123,119.867553710938,119.046356201172,119.099334716797,150018,99.9325561523438
2013-11-26,118.966888427734,119.258277893066,117.24503326416,117.271522521973,333106,98.3988800048828
2013-11-27,117.218544006348,117.854301452637,117.033111572266,117.827812194824,228123,98.8656539916992
2013-11-29,118.304634094238,119.390731811523,118.145698547363,118.622520446777,144545,99.532470703125
2013-12-02,118.913909912109,120.450332641602,117.536422729492,119.364234924316,389806,100.154808044434
2013-12-03,119.284767150879,120.15894317627,117.748344421387,117.933776855469,159229,98.9545593261719
2013-12-04,117.642387390137,118.119201660156,115.84105682373,117.112579345703,231294,98.2655334472656
2013-12-05,116.582778930664,118.198677062988,116.582778930664,118.092712402344,176896,99.0879440307617
2013-12-06,119.258277893066,119.867553710938,118.569534301758,119.099334716797,113741,99.9325561523438
2013-12-09,119.496688842773,119.62914276123,118.622520446777,119.311256408691,205549,100.110343933105
2013-12-10,119.337745666504,120,118.357612609863,118.940399169922,145262,99.7991943359375
