"Fecha","DD.Open","DD.High","DD.Low","DD.Close","DD.Volume","DD.Adjusted"
2013-11-01,56.3187828063965,56.3472480773926,55.2797966003418,55.4363555908203,3644987,43.1516799926758
2013-11-04,55.635612487793,55.635612487793,54.3119735717773,54.6535568237305,7681748,42.542350769043
2013-11-05,54.5396957397461,55.4221229553223,54.4400672912598,55.1090049743652,3166863,42.8968620300293
2013-11-06,55.2940292358398,56.0768280029297,55.2940292358398,55.877571105957,3489149,43.4951286315918
2013-11-07,56.0483627319336,56.2618522644043,54.9097480773926,55.037841796875,4736418,42.8414878845215
2013-11-08,55.0093765258789,56.461109161377,55.0093765258789,56.461109161377,3831248,43.949348449707
2013-11-11,56.0910606384277,56.7173004150391,55.8206405639648,56.4468765258789,3443339,43.9382591247559
2013-11-12,56.3614807128906,56.5038108825684,55.8348731994629,55.9914321899414,3705130,43.5837478637695
2013-11-13,55.7494773864746,56.4753456115723,55.6213836669922,56.3614807128906,5110416,43.8717918395996
2013-11-14,56.6603698730469,57.1158142089844,56.5038108825684,57.0731163024902,5278479,44.4257431030273
2013-11-15,57.1727447509766,57.3577728271484,56.987720489502,57.2581405639648,4520647,44.569751739502
2013-11-18,57.1585121154785,57.3720054626465,56.6319046020508,56.7457656860352,4947481,44.1709365844727
2013-11-19,56.7884635925293,56.8596267700195,56.2333869934082,56.5038108825684,4226957,43.9825859069824
2013-11-20,56.5892066955566,56.688835144043,55.6640815734863,55.877571105957,4606857,43.4951286315918
2013-11-21,56.0768280029297,56.6034393310547,56.0625953674316,56.4041786193848,4409003,43.9050407409668
2013-11-22,56.2476196289062,56.5038108825684,56.2333869934082,56.4468765258789,3239091,43.9382591247559
2013-11-25,56.5180435180664,56.5180435180664,55.3936576843262,55.5217514038086,4276210,43.218147277832
2013-11-26,55.5502166748047,55.7921752929688,54.9382133483887,55.2086334228516,4136742,42.9744148254395
2013-11-27,55.336727142334,55.9060363769531,55.2797966003418,55.649845123291,5017812,43.3178596496582
2013-11-29,55.9629669189453,56.0341300964355,55.3936576843262,55.5929145812988,2174500,43.2735557556152
2013-12-02,56.0483627319336,57.4289321899414,55.9629669189453,56.9023246765137,10061691,44.292797088623
2013-12-03,56.6603698730469,56.7457656860352,54.738956451416,55.1090049743652,7653152,42.8968620300293
2013-12-04,54.9097480773926,55.8348731994629,54.9097480773926,55.350959777832,6908177,43.0852088928223
2013-12-05,55.2655639648438,55.5217514038086,54.6820220947266,54.9524459838867,4867876,42.7750091552734
2013-12-06,55.6640815734863,56.1479911804199,55.4932861328125,55.8918037414551,4197377,43.5062026977539
2013-12-09,55.9202690124512,58.0836372375488,55.8918037414551,58.0694046020508,9803412,45.201244354248
2013-12-10,57.7989845275879,59.7773284912109,57.6708908081055,59.4642105102539,10832592,46.2869682312012
2013-12-11,59.5923042297363,59.7061653137207,58.2828941345215,58.4252243041992,8233506,45.4782180786133
2013-12-12,58.2828941345215,58.3255958557129,57.300838470459,58.0124740600586,4933850,45.1569290161133
2013-12-13,58.3113632202148,59.3218841552734,57.8986129760742,59.0941581726074,9448806,45.9989242553711
2013-12-16,59.2364883422852,59.7346305847168,58.7383422851562,59.2080230712891,7683364,46.0875396728516
2013-12-17,59.193790435791,60.2043113708496,59.179557800293,60.0619812011719,9949414,46.7522468566895
2013-12-18,60.1900787353516,61.997631072998,60.1331481933594,61.9264678955078,10861047,48.2035865783691
2013-12-19,61.4140892028809,63.4351348876953,61.2859954833984,62.4815406799316,9307371,48.6356468200684
2013-12-20,62.5669364929199,63.0793151855469,62.0687942504883,62.3107490539551,8231468,48.5027236938477
2013-12-23,62.6808013916016,63.3212699890137,62.4388427734375,62.4530754089355,4343590,48.6134948730469
2013-12-24,62.6238708496094,63.2501068115234,62.5384712219238,63.2216415405273,1942921,49.2117538452148
2013-12-26,63.4493637084961,64.0329055786133,63.107780456543,63.8478813171387,4585287,49.6992111206055
2013-12-27,63.3355026245117,63.7767181396484,63.2358741760254,63.4778327941895,4272767,49.766170501709
2013-12-30,63.1931762695312,63.6201591491699,63.0793151855469,63.4778327941895,4195691,49.766170501709
2013-12-31,63.5205307006836,63.6201591491699,62.9796867370605,63.1931762695312,5565073,49.5429992675781
2014-01-02,62.9085235595703,63.1647109985352,62.282283782959,62.4388427734375,4563365,48.9516067504883
2014-01-03,62.6665687561035,62.8800582885742,62.0830268859863,62.1541900634766,3930035,48.7284317016602
2014-01-06,62.3392143249512,62.6238708496094,61.5991134643555,62.0403289794922,5180887,48.6391830444336
2014-01-07,62.282283782959,62.3249816894531,60.8732452392578,61.3571586608887,6989048,48.1035766601562
2014-01-08,61.3571586608887,61.6987457275391,60.9586448669434,61.4283218383789,5331386,48.1593704223633
2014-01-09,61.6987457275391,62.0830268859863,60.6028251647949,60.631290435791,7374287,47.5344886779785
2014-01-10,60.5174293518066,61.143669128418,60.4462661743164,60.7878494262695,4025098,47.6572341918945
2014-01-13,60.4462661743164,60.8590126037598,59.5211410522461,59.6207695007324,4557534,46.7422561645508
2014-01-14,59.791561126709,60.9444122314453,59.7630958557129,60.7024536132812,6558841,47.5902786254883
2014-01-15,60.7309188842773,61.5706481933594,60.7309188842773,61.2717628479004,8602164,48.0366249084473
2014-01-16,61.0298080444336,61.442554473877,60.9444122314453,61.3286933898926,9307231,48.0812530517578
2014-01-17,61.2290649414062,61.8695373535156,61.2005996704102,61.3002281188965,8970260,48.0589447021484
2014-01-21,65.2711486816406,66.4666976928711,64.0186767578125,65.3707809448242,24931887,51.2502288818359
2014-01-22,65.6981353759766,66.6801910400391,64.8014755249023,65.0149612426758,14075687,50.971263885498
2014-01-23,64.3317947387695,65.1145935058594,62.5954055786133,63.648624420166,14089318,49.9000663757324
2014-01-24,62.9369888305664,63.0650825500488,61.6275787353516,61.7841415405273,9488222,48.4383316040039
