"Fecha","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume","EW.Adjusted"
2013-11-01,10.9066667556763,10.9416666030884,10.671667098999,10.7116670608521,9468000,10.7116670608521
2013-11-04,10.7150001525879,10.7283334732056,10.4716672897339,10.5416669845581,14514600,10.5416669845581
2013-11-05,10.539999961853,10.539999961853,10.3616666793823,10.3916673660278,10053000,10.3916673660278
2013-11-06,10.4166669845581,10.5266666412354,10.3783330917358,10.4266672134399,8781000,10.4266672134399
2013-11-07,10.4716672897339,10.6883325576782,10.4350004196167,10.6016674041748,8527800,10.6016674041748
2013-11-08,10.6083326339722,10.7233333587646,10.5533332824707,10.710000038147,5863200,10.710000038147
2013-11-11,10.7250003814697,10.7799997329712,10.6599998474121,10.6766672134399,3226200,10.6766672134399
2013-11-12,10.6366672515869,10.6833333969116,10.5483331680298,10.6066665649414,5747400,10.6066665649414
2013-11-13,10.5516672134399,10.658332824707,10.5500001907349,10.6133327484131,4887000,10.6133327484131
2013-11-14,10.6133327484131,10.7533330917358,10.4883327484131,10.5950002670288,7807200,10.5950002670288
2013-11-15,10.585000038147,10.8316669464111,10.585000038147,10.8316669464111,5394000,10.8316669464111
2013-11-18,10.8216667175293,10.8850002288818,10.6433334350586,10.6616668701172,5788200,10.6616668701172
2013-11-19,10.6616668701172,10.7016668319702,10.585000038147,10.6400003433228,4379400,10.6400003433228
2013-11-20,10.5983333587646,10.6166667938232,10.4250001907349,10.493332862854,10460400,10.493332862854
2013-11-21,10.5366668701172,10.8533334732056,10.5016670227051,10.7866668701172,7941600,10.7866668701172
2013-11-22,10.7866668701172,10.8716669082642,10.7133331298828,10.8100004196167,5953800,10.8100004196167
2013-11-25,10.8083333969116,10.8733329772949,10.6866674423218,10.7916669845581,12087000,10.7916669845581
2013-11-26,10.7916669845581,10.8366670608521,10.7299995422363,10.783332824707,4842600,10.783332824707
2013-11-27,10.8199996948242,10.8966665267944,10.7683334350586,10.8833332061768,3388800,10.8833332061768
2013-11-29,10.9116668701172,10.9883327484131,10.8999996185303,10.921667098999,3738600,10.921667098999
2013-12-02,10.9449996948242,10.9899997711182,10.8649997711182,10.9116668701172,6318000,10.9116668701172
2013-12-03,10.8483333587646,10.8933334350586,10.7783327102661,10.8549995422363,5046000,10.8549995422363
2013-12-04,10.8483333587646,10.8649997711182,10.7533330917358,10.8116674423218,5016000,10.8116674423218
2013-12-05,10.8100004196167,10.914999961853,10.7683334350586,10.868332862854,3710400,10.868332862854
2013-12-06,10.8916673660278,11.085000038147,10.8699998855591,11.0483331680298,5182800,11.0483331680298
2013-12-09,10.4283332824707,10.7216672897339,10.3183326721191,10.4549999237061,35488200,10.4549999237061
2013-12-10,10.3016672134399,10.5050001144409,10.2700004577637,10.421667098999,13524600,10.421667098999
