"Fecha","ARE.Open","ARE.High","ARE.Low","ARE.Close","ARE.Volume","ARE.Adjusted"
2013-11-01,65.8899993896484,67.2600021362305,65.4499969482422,66.4199981689453,317100,48.4925956726074
2013-11-04,66.4199981689453,66.7099990844727,65.620002746582,66.370002746582,385000,48.4560890197754
2013-11-05,66.1100006103516,66.1800003051758,64.8899993896484,65.2699966430664,473300,47.6529960632324
2013-11-06,65.6399993896484,65.6900024414062,64.9800033569336,65.0800018310547,240500,47.5142784118652
2013-11-07,65.2300033569336,65.2900009155273,64.1100006103516,64.4000015258789,289100,47.0178184509277
2013-11-08,64.1100006103516,65.1800003051758,62.5900001525879,63.6699981689453,268200,46.4848556518555
2013-11-11,63.7700004577637,64.1399993896484,63.2700004577637,63.6300010681152,164300,46.4556541442871
2013-11-12,63.5999984741211,63.5999984741211,62.6599998474121,63.0900001525879,179000,46.0613899230957
2013-11-13,62.9700012207031,63.6199989318848,62.5200004577637,63.6100006103516,278400,46.4410438537598
2013-11-14,63.810001373291,64.7300033569336,63.810001373291,64.2399978637695,138000,46.9010047912598
2013-11-15,64.4700012207031,64.9700012207031,63.9000015258789,64.9300003051758,247600,47.4047698974609
2013-11-18,64.9599990844727,65.1699981689453,64.4300003051758,64.629997253418,272100,47.1857261657715
2013-11-19,64.370002746582,64.4100036621094,63.5299987792969,63.939998626709,355200,46.6819686889648
2013-11-20,63.9300003051758,64.4400024414062,63.2200012207031,63.5099983215332,326100,46.3680419921875
2013-11-21,63.7000007629395,64.75,63.3499984741211,64.5800018310547,455300,47.1492347717285
2013-11-22,64.5100021362305,64.7600021362305,63.8400001525879,64.5999984741211,399500,47.1638336181641
2013-11-25,64.75,64.75,64,64.2600021362305,474100,46.9156074523926
2013-11-26,64.5299987792969,64.5999984741211,63.8300018310547,64.0999984741211,386500,46.7987937927246
2013-11-27,64.1699981689453,64.3899993896484,63.689998626709,64.1500015258789,303900,46.8353042602539
2013-11-29,64.2699966430664,64.5500030517578,63.2000007629395,63.2599983215332,216900,46.1855163574219
2013-12-02,63.1699981689453,63.7099990844727,62.3199996948242,63.1500015258789,341100,46.1052093505859
2013-12-03,62.9300003051758,64.0999984741211,62.7599983215332,63.2000007629395,550300,46.1417045593262
2013-12-04,65.7699966430664,66.3000030517578,62.0800018310547,62.3199996948242,563100,45.4992294311523
2013-12-05,62.1399993896484,62.8899993896484,61.8699989318848,62.6500015258789,782800,45.7401657104492
2013-12-06,63.1199989318848,63.6100006103516,62.7799987792969,63.2900009155273,554600,46.2074089050293
2013-12-09,63.3400001525879,63.810001373291,63.0200004577637,63.5999984741211,542100,46.4337463378906
2013-12-10,63.5499992370605,63.9799995422363,63.3300018310547,63.3499984741211,350400,46.2512168884277
2013-12-11,63.5499992370605,64,61.7200012207031,61.8400001525879,401500,45.1487846374512
2013-12-12,61.9000015258789,62.5099983215332,61.1100006103516,61.1199989318848,426200,44.6231269836426
2013-12-13,61.4599990844727,62.2900009155273,61.0800018310547,61.4500007629395,548800,44.8640441894531
2013-12-16,61.7200012207031,62.4199981689453,61.2400016784668,61.6300010681152,414500,44.9954681396484
2013-12-17,61.7799987792969,63.3300018310547,61.5,63.2999992370605,565000,46.214714050293
2013-12-18,63.3300018310547,64.3099975585938,62.4300003051758,64.2699966430664,452100,46.922908782959
2013-12-19,63.8300018310547,64.0199966430664,62.6100006103516,62.6300010681152,362600,45.7255630493164
2013-12-20,62.6100006103516,64.2399978637695,62.4900016784668,64.1999969482422,1018300,46.8717956542969
2013-12-23,64.3000030517578,64.7099990844727,64.0400009155273,64.2200012207031,567500,46.8864059448242
2013-12-24,64.1699981689453,64.6399993896484,63.8800010681152,64.3000030517578,141200,46.9448204040527
2013-12-26,64.3099975585938,64.7699966430664,63.6100006103516,63.9799995422363,293600,46.7111778259277
2013-12-27,63.0800018310547,63.6399993896484,62.6399993896484,63.5699996948242,261900,46.9104270935059
2013-12-30,63.7000007629395,63.9500007629395,63.2099990844727,63.7700004577637,316300,47.0580101013184
2013-12-31,63.6399993896484,64.370002746582,63.4599990844727,63.6199989318848,408700,46.9473152160645
2014-01-02,63.3400001525879,64.1100006103516,62.9300003051758,63.7299995422363,402700,47.0284996032715
2014-01-03,63.7599983215332,64.879997253418,63.5900001525879,64.4000015258789,361200,47.5229072570801
2014-01-06,64.4499969482422,65.0899963378906,64.0599975585938,64.1600036621094,447100,47.345817565918
2014-01-07,64.2300033569336,64.7699966430664,63.75,64.3399963378906,310600,47.4786262512207
2014-01-08,64.3099975585938,64.620002746582,63.6500015258789,64.1999969482422,244600,47.375316619873
2014-01-09,64.5199966430664,64.5500030517578,63.6199989318848,64.120002746582,329100,47.3162879943848
2014-01-10,64.5199966430664,64.8899993896484,63.9900016784668,64.75,394300,47.781177520752
2014-01-13,64.6500015258789,64.9100036621094,64.2099990844727,64.4199981689453,298200,47.5376663208008
