"Fecha","FRT.Open","FRT.High","FRT.Low","FRT.Close","FRT.Volume","FRT.Adjusted"
2013-11-01,108.819999694824,111.98999786377,105.690002441406,108.150001525879,705200,76.898681640625
2013-11-04,108.160003662109,109.220001220703,107.430000305176,108.01000213623,427600,76.7991027832031
2013-11-05,107.269996643066,107.830001831055,106.889999389648,107.080001831055,661100,76.1378631591797
2013-11-06,109.400001525879,109.400001525879,106.629997253418,106.970001220703,287700,76.0596542358398
2013-11-07,107.019996643066,107.709999084473,105.080001831055,105.400001525879,580000,74.9433288574219
2013-11-08,105.040000915527,105.690002441406,102.550003051758,105.029998779297,516800,74.6802368164062
2013-11-11,105.169998168945,105.910003662109,104.470001220703,105.069999694824,263100,74.7086563110352
2013-11-12,105.080001831055,105.080001831055,103.400001525879,104.819999694824,297300,74.5309143066406
2013-11-13,104.48999786377,105.690002441406,102.980003356934,105.639999389648,411000,75.1139678955078
2013-11-14,105.970001220703,107.98999786377,105.889999389648,107.370002746582,389900,76.3440704345703
2013-11-15,107.120002746582,107.910003662109,106.589996337891,107.480003356934,369000,76.4222869873047
2013-11-18,107.730003356934,107.800003051758,106.569999694824,106.660003662109,376500,75.8392333984375
2013-11-19,106.809997558594,106.809997558594,105.519996643066,106,365200,75.3699188232422
2013-11-20,106.01000213623,107.080001831055,104.709999084473,105.269996643066,633500,74.8509063720703
2013-11-21,105.639999389648,106.040000915527,104.779998779297,105.980003356934,374500,75.355712890625
2013-11-22,105.870002746582,106.019996643066,105.040000915527,105.419998168945,210400,74.9575271606445
2013-11-25,105.5,105.599998474121,104.480003356934,104.610000610352,242000,74.3816146850586
2013-11-26,104.419998168945,105.059997558594,104.209999084473,104.389999389648,634100,74.2251663208008
2013-11-27,104.900001525879,105.050003051758,103.849998474121,104.910003662109,269500,74.5949249267578
2013-11-29,105.25,105.26000213623,103.279998779297,103.519996643066,173800,73.6065673828125
2013-12-02,103.25,104.580001831055,102.410003662109,103.139999389648,415100,73.3363723754883
2013-12-03,103.01000213623,104.099998474121,102.779998779297,103.790000915527,367600,73.7985382080078
2013-12-04,104.01000213623,104.23999786377,101.98999786377,103.319999694824,332900,73.46435546875
2013-12-05,103.01000213623,103.870002746582,102.23999786377,103.800003051758,387100,73.8056716918945
2013-12-06,104.339996337891,104.519996643066,103.480003356934,104.040000915527,320600,73.9763107299805
2013-12-09,103.540000915527,104.129997253418,103.300003051758,103.980003356934,489100,73.9336318969727
2013-12-10,104,104.180000305176,103.209999084473,103.720001220703,352800,73.7487716674805
2013-12-11,103.569999694824,103.569999694824,100.830001831055,101.029998779297,462800,71.8360900878906
2013-12-12,101.169998168945,102.059997558594,100.269996643066,100.419998168945,420200,71.4023590087891
2013-12-13,100.930000305176,102.26000213623,99.8300018310547,100.300003051758,322900,71.3170394897461
2013-12-16,100.76000213623,100.879997253418,100.25,100.370002746582,396200,71.3668060302734
2013-12-17,101.120002746582,101.379997253418,100.480003356934,101,463600,71.8147659301758
2013-12-18,101,103.059997558594,99.8499984741211,102.699996948242,634000,73.0235366821289
2013-12-19,102.349998474121,102.349998474121,100.190002441406,100.839996337891,473600,71.7009963989258
2013-12-20,101.110000610352,102,100.959999084473,101.830001831055,546200,72.404914855957
2013-12-23,102.300003051758,102.48999786377,101.480003356934,101.720001220703,471700,72.3267059326172
2013-12-24,101.779998779297,102.51000213623,101.669998168945,102.150001525879,212500,72.632438659668
2013-12-26,102.529998779297,103.120002746582,101.25,101.959999084473,277400,72.4973526000977
2013-12-27,101.910003662109,102.150001525879,100.970001220703,101.690002441406,260200,72.3053665161133
2013-12-30,100.779998779297,101.639999389648,100.699996948242,101.370002746582,276700,72.6349792480469
2013-12-31,101.26000213623,101.699996948242,100.959999084473,101.410003662109,418600,72.6636505126953
2014-01-02,101.379997253418,101.839996337891,100.370002746582,100.900001525879,501800,72.298210144043
2014-01-03,101.129997253418,102.279998779297,100.970001220703,101.930000305176,374000,73.0362319946289
2014-01-06,103.050003051758,103.580001831055,102.269996643066,103.26000213623,698700,73.9892272949219
2014-01-07,103.339996337891,104.360000610352,101.800003051758,103.970001220703,529000,74.4979400634766
2014-01-08,103.709999084473,103.919998168945,102.069999694824,103.470001220703,460300,74.1396942138672
2014-01-09,103.639999389648,103.669998168945,102.199996948242,103.319999694824,276400,74.0322189331055
2014-01-10,103.660003662109,104.800003051758,103.180000305176,104.779998779297,366900,75.0783462524414
2014-01-13,104.389999389648,104.550003051758,103.680000305176,104.269996643066,759900,74.7129135131836
2014-01-14,104.330001831055,105.389999389648,103.900001525879,105.160003662109,668700,75.3506240844727
2014-01-15,105.970001220703,106.300003051758,104.660003662109,104.720001220703,546400,75.0353698730469
2014-01-16,104.769996643066,105.419998168945,104.389999389648,104.5,525300,74.8777160644531
2014-01-17,104.76000213623,104.819999694824,103.720001220703,103.720001220703,708000,74.3188400268555
2014-01-21,104.430000305176,105.050003051758,104.199996948242,104.940002441406,460200,75.193000793457
2014-01-22,105.400001525879,106.779998779297,105.400001525879,106.720001220703,681100,76.4684295654297
2014-01-23,106.110000610352,107.73999786377,106.050003051758,107.709999084473,642700,77.1777801513672
2014-01-24,107.5,107.839996337891,106.639999389648,107.080001831055,747100,76.7263717651367
2014-01-27,107.110000610352,107.620002746582,105.769996643066,106.550003051758,556600,76.3466033935547
2014-01-28,106.550003051758,108.330001831055,106.550003051758,108.279998779297,607100,77.5862121582031
2014-01-29,111.449996948242,111.449996948242,107.339996337891,108.160003662109,534800,77.5002517700195
2014-01-30,108.559997558594,109.610000610352,108.150001525879,108.379997253418,534100,77.6578674316406
2014-01-31,107.5,109.629997253418,107.5,109,529800,78.1021270751953
