"Fecha","EIX.Open","EIX.High","EIX.Low","EIX.Close","EIX.Volume","EIX.Adjusted"
2013-11-01,49.189998626709,49.5499992370605,49.0400009155273,49.4700012207031,1474700,34.474723815918
2013-11-04,49.560001373291,49.6800003051758,49.0499992370605,49.5699996948242,1266700,34.5444183349609
2013-11-05,49.4500007629395,49.7700004577637,49.1399993896484,49.2599983215332,1712500,34.3283882141113
2013-11-06,49.2799987792969,49.7000007629395,49.2000007629395,49.6199989318848,1451800,34.5792579650879
2013-11-07,49.6500015258789,49.8499984741211,49.2900009155273,49.4700012207031,1565600,34.474723815918
2013-11-08,49.2900009155273,49.3300018310547,48.1399993896484,49.0499992370605,2606200,34.1820335388184
2013-11-11,49.0699996948242,49.310001373291,48.7099990844727,48.9799995422363,755900,34.133243560791
2013-11-12,48.75,49.0200004577637,48.0699996948242,48.2299995422363,2146300,33.610595703125
2013-11-13,47.9500007629395,48.3699989318848,47.6300010681152,48.0699996948242,2591500,33.4990921020508
2013-11-14,48.1599998474121,48.6699981689453,47.8400001525879,48.5900001525879,1841200,33.8614807128906
2013-11-15,48.2999992370605,49.1800003051758,48.2999992370605,49.1699981689453,1941700,34.2656707763672
2013-11-18,49.189998626709,49.2000007629395,48.7000007629395,48.8899993896484,1285100,34.0705375671387
2013-11-19,48.8899993896484,48.9799995422363,48.3300018310547,48.3800010681152,2071800,33.7151336669922
2013-11-20,48.4799995422363,48.5299987792969,47.4700012207031,47.5200004577637,1447700,33.1158180236816
2013-11-21,47.5900001525879,47.7200012207031,47.1800003051758,47.310001373291,2669300,32.9694595336914
2013-11-22,47.1100006103516,47.1100006103516,45.939998626709,46,7138500,32.0565490722656
2013-11-25,46.1300010681152,46.2299995422363,45.5099983215332,45.5299987792969,4881900,31.7290096282959
2013-11-26,45.6199989318848,45.7799987792969,45.2700004577637,45.4099998474121,3877000,31.6453838348389
2013-11-27,45.439998626709,46.0299987792969,45.4199981689453,45.8300018310547,3083700,31.938081741333
2013-11-29,45.7299995422363,46.3499984741211,45.7299995422363,46.2099990844727,1418300,32.2028923034668
2013-12-02,46.2099990844727,46.5099983215332,46,46.1100006103516,3088000,32.1332015991211
