"Fecha","EQIX.Open","EQIX.High","EQIX.Low","EQIX.Close","EQIX.Volume","EQIX.Adjusted"
2013-11-01,161,166.440002441406,160.880004882812,166.169998168945,883100,129.609420776367
2013-11-04,166.699996948242,166.850006103516,163.419998168945,164.009994506836,962600,127.924667358398
2013-11-05,163.029998779297,163.690002441406,161.270004272461,161.270004272461,1314800,125.787521362305
2013-11-06,162.639999389648,163.600006103516,160.470001220703,163.259994506836,1522700,127.33967590332
2013-11-07,163.669998168945,164.240005493164,159.339996337891,159.75,750100,124.601943969727
2013-11-08,160.729995727539,161.100006103516,154.5,155.940002441406,1943200,121.630218505859
2013-11-11,155.850006103516,158.690002441406,155.080001831055,157.220001220703,941800,122.628593444824
2013-11-12,156.270004272461,157.210006713867,154.5,155.179992675781,1468100,121.037445068359
2013-11-13,154.169998168945,157.949996948242,152.820007324219,157.830001831055,1327800,123.10440826416
2013-11-14,158,164.899993896484,156.490005493164,162.240005493164,1489700,126.544143676758
2013-11-15,164.869995117188,172.580001831055,163.699996948242,167.610000610352,2948800,130.732650756836
2013-11-18,168.130004882812,169.309997558594,163.880004882812,164.139999389648,1144200,128.026123046875
2013-11-19,164.460006713867,165.270004272461,161.149993896484,161.580001831055,667500,126.029335021973
2013-11-20,161.589996337891,163.210006713867,159.429992675781,160.619995117188,1120800,125.280563354492
2013-11-21,161.009994506836,162.570007324219,159.119995117188,160.630004882812,918600,125.288345336914
2013-11-22,160.389999389648,160.669998168945,157.759994506836,160.309997558594,792400,125.038757324219
2013-11-25,160.229995727539,163.850006103516,159.029998779297,162.25,904000,126.551895141602
2013-11-26,161.979995727539,163.5,161.119995117188,162.529998779297,502600,126.770309448242
2013-11-27,163.080001831055,163.080001831055,160.5,160.619995117188,611600,125.280563354492
2013-11-29,161.339996337891,162.149993896484,160.429992675781,160.699996948242,261700,125.342948913574
2013-12-02,161.100006103516,162.100006103516,159.389999389648,159.550003051758,596700,124.445983886719
2013-12-03,157.210006713867,159.679992675781,155.830001831055,159.389999389648,1100700,124.32120513916
2013-12-04,158.339996337891,162.470001220703,157.940002441406,161.789993286133,988200,126.19312286377
2013-12-05,165.970001220703,168.770004272461,164.160003662109,167.429992675781,1756400,130.592178344727
2013-12-06,169.190002441406,169.190002441406,164.809997558594,165.479995727539,1023600,129.071243286133
2013-12-09,165.380004882812,168.880004882812,165.179992675781,168.360000610352,791800,131.317596435547
2013-12-10,166.820007324219,169.399993896484,166.089996337891,168.580001831055,935400,131.489196777344
2013-12-11,169.360000610352,170.619995117188,167.449996948242,167.729995727539,731200,130.826202392578
2013-12-12,167.320007324219,169.759994506836,165.979995727539,168,642600,131.036804199219
2013-12-13,168.059997558594,169.520004272461,167.470001220703,168.789993286133,533800,131.652969360352
2013-12-16,169.270004272461,170.119995117188,167.550003051758,169.740005493164,626000,132.393981933594
2013-12-17,168.669998168945,169.809997558594,166.589996337891,169.020004272461,809600,131.832412719727
2013-12-18,169.410003662109,170.729995727539,167.440002441406,170.419998168945,875000,132.924362182617
