"Fecha","ETN.Open","ETN.High","ETN.Low","ETN.Close","ETN.Volume","ETN.Adjusted"
2013-11-01,70.5500030517578,71.129997253418,69.7300033569336,70.6699981689453,2956900,54.4521942138672
2013-11-04,70.9499969482422,71.1600036621094,70.2600021362305,70.620002746582,1760100,54.4136619567871
2013-11-05,70.3000030517578,70.5400009155273,69.6999969482422,70.0599975585938,2595500,53.9821739196777
2013-11-06,70.4199981689453,70.9599990844727,69.9599990844727,70.2099990844727,1948900,54.0977592468262
2013-11-07,70.4499969482422,70.7099990844727,68.7900009155273,68.9199981689453,2627800,53.1037788391113
2013-11-08,69.0400009155273,70.6399993896484,69,70.5999984741211,2350200,54.3982429504395
2013-11-11,70.6600036621094,71.2699966430664,70.4800033569336,70.9899978637695,1686200,54.6987571716309
2013-11-12,70.9000015258789,72.0899963378906,70.5899963378906,71.9000015258789,3317200,55.3999290466309
2013-11-13,71.4199981689453,72.4499969482422,71.4100036621094,72.4499969482422,1925800,55.8236885070801
2013-11-14,72.4800033569336,72.7399978637695,72.0299987792969,72.3000030517578,1935600,55.708137512207
2013-11-15,72.4599990844727,72.5299987792969,72.129997253418,72.3000030517578,2417900,55.708137512207
2013-11-18,72.4300003051758,72.7300033569336,71.8300018310547,72.0699996948242,2415500,55.5308990478516
2013-11-19,72.0699996948242,72.25,71.0599975585938,71.2900009155273,2163500,54.9299163818359
2013-11-20,71.3000030517578,72.0400009155273,70.75,70.8899993896484,1926500,54.621711730957
2013-11-21,71.4499969482422,72.7200012207031,71.3899993896484,72.5400009155273,2263000,55.8930511474609
2013-11-22,72.3300018310547,73.1900024414062,72.0500030517578,73,2214000,56.2474899291992
2013-11-25,73.0699996948242,73.4400024414062,72.5100021362305,72.7699966430664,2114300,56.0702781677246
2013-11-26,72.8000030517578,73.129997253418,72.5699996948242,72.8300018310547,1903800,56.1164970397949
2013-11-27,72.9100036621094,73.4000015258789,72.6800003051758,72.8499984741211,1129800,56.1319046020508
2013-11-29,72.7200012207031,73.0699996948242,72.4000015258789,72.6600036621094,1083400,55.9855117797852
2013-12-02,72.6600036621094,73.2300033569336,71.7300033569336,71.8899993896484,1936400,55.392219543457
2013-12-03,72.0800018310547,72.2099990844727,70.8600006103516,71.1600036621094,2457000,54.8297348022461
2013-12-04,70.8000030517578,71.6999969482422,70.0899963378906,70.3000030517578,3904700,54.1671142578125
2013-12-05,70.1600036621094,71.6999969482422,70.120002746582,71.3199996948242,2449400,54.9530143737793
2013-12-06,72.3099975585938,73,71.7099990844727,72.4199981689453,2221500,55.8005828857422
2013-12-09,72.2600021362305,72.7099990844727,71.8000030517578,72.3000030517578,2215500,55.708137512207
2013-12-10,72.1600036621094,72.7399978637695,71.7900009155273,72.0899963378906,2106900,55.5463066101074
2013-12-11,72.0899963378906,72.4100036621094,70.7600021362305,70.9599990844727,1833600,54.6756286621094
2013-12-12,70.6699981689453,71.25,70.3600006103516,70.5699996948242,1638700,54.3751373291016
2013-12-13,70.8499984741211,71.1600036621094,70.4100036621094,70.9700012207031,2078900,54.6833534240723
2013-12-16,72.0800018310547,73.0500030517578,71.9300003051758,72.870002746582,3110900,56.1473236083984
2013-12-17,72.8600006103516,73.7200012207031,72.4400024414062,73.4499969482422,3607500,56.5942230224609
2013-12-18,73.4499969482422,75,72.9199981689453,75,3080200,57.7885246276855
2013-12-19,74.4800033569336,74.5999984741211,73.8099975585938,74.4800033569336,2104800,57.3878440856934
2013-12-20,74.8300018310547,76.2200012207031,74.7699966430664,75.7200012207031,3619200,58.3432922363281
2013-12-23,76.0800018310547,76.1999969482422,74.9000015258789,75.4400024414062,2352100,58.1275444030762
2013-12-24,75.3399963378906,76.0999984741211,75.1699981689453,75.7300033569336,610100,58.3509750366211
