"Fecha","PXD.Open","PXD.High","PXD.Low","PXD.Close","PXD.Volume","PXD.Adjusted"
2013-11-01,205.199996948242,206.889999389648,200.100006103516,205.289993286133,1779500,162.873931884766
2013-11-04,207.220001220703,214.259994506836,206.539993286133,213.410003662109,2365400,169.31623840332
2013-11-05,219.820007324219,221.199996948242,208.119995117188,210.360000610352,3661100,166.896438598633
2013-11-06,210.699996948242,211.740005493164,197.100006103516,198.550003051758,3672900,157.526596069336
2013-11-07,199.130004882812,200.300003051758,184.059997558594,186.160003662109,6129700,147.696502685547
2013-11-08,185.910003662109,193.449996948242,185.880004882812,189.830001831055,2721100,150.60823059082
2013-11-11,189.429992675781,191.399993896484,187.5,188.380004882812,1577200,149.457824707031
2013-11-12,188.399993896484,190.449996948242,181.779998779297,182.75,2465500,144.991088867188
2013-11-13,186.149993896484,195.979995727539,185.350006103516,195.440002441406,3116700,155.059158325195
2013-11-14,195,196.789993286133,191.259994506836,195.360000610352,1735300,154.995681762695
2013-11-15,196.259994506836,196.490005493164,192.619995117188,194.550003051758,1042600,154.353012084961
2013-11-18,195.029998779297,195.5,184.880004882812,186.039993286133,2084300,147.601287841797
2013-11-19,186.809997558594,186.850006103516,181.649993896484,183.399993896484,2672300,145.506759643555
2013-11-20,184.970001220703,187.529998779297,181.740005493164,183.130004882812,1494900,145.292572021484
2013-11-21,182.839996337891,189.119995117188,181.110000610352,186.720001220703,1779900,148.140823364258
2013-11-22,186.729995727539,187.440002441406,182.470001220703,186.679992675781,1112800,148.109069824219
2013-11-25,182.360000610352,183.460006713867,175.289993286133,181.039993286133,3135100,143.634368896484
2013-11-26,181.839996337891,188.190002441406,179.5,183.539993286133,2410500,145.617828369141
2013-11-27,181.410003662109,184.25,177.559997558594,178.910003662109,1428200,141.944442749023
2013-11-29,176.25,180,172.600006103516,177.75,1418900,141.024169921875
2013-12-02,178,178.839996337891,174.919998168945,178.110000610352,1511500,141.309783935547
2013-12-03,180.419998168945,183.649993896484,178.119995117188,181.399993896484,2484700,143.919998168945
2013-12-04,180.509994506836,185.990005493164,180.5,185.270004272461,1486700,146.990386962891
2013-12-05,184.029998779297,186.699996948242,182.880004882812,184.440002441406,1213400,146.331893920898
2013-12-06,185.550003051758,186.020004272461,176.300003051758,177.210006713867,2213600,140.595733642578
2013-12-09,177.619995117188,180.630004882812,174.350006103516,177.440002441406,1933300,140.778198242188
2013-12-10,177.679992675781,183.75,176.899993896484,178.660003662109,1486700,141.74609375
2013-12-11,177.580001831055,179.610000610352,175.449996948242,176.429992675781,1556800,139.976913452148
2013-12-12,177.270004272461,180.130004882812,176.75,179.080001831055,1037600,142.079345703125
2013-12-13,179.149993896484,180.259994506836,175.529998779297,179.75,1160500,142.610916137695
