"Fecha","TDG.Open","TDG.High","TDG.Low","TDG.Close","TDG.Volume","TDG.Adjusted"
2013-11-01,145.410003662109,147.570007324219,145.410003662109,147.350006103516,373700,93.9356536865234
2013-11-04,147.970001220703,149.080001831055,147.289993286133,148.720001220703,316800,94.8090286254883
2013-11-05,148.449996948242,148.449996948242,146.559997558594,147.720001220703,286900,94.1715240478516
2013-11-06,147.710006713867,148.919998168945,147.399993896484,148.759994506836,257000,94.8345184326172
2013-11-07,149.279998779297,149.839996337891,145.710006713867,146.119995117188,351700,93.1515274047852
2013-11-08,145.839996337891,147.600006103516,145.839996337891,147.270004272461,332200,93.8846588134766
2013-11-11,147.740005493164,148.649993896484,146.940002441406,147.229995727539,300800,93.8591461181641
2013-11-12,147.139999389648,148.089996337891,146.300003051758,147.740005493164,311900,94.1842651367188
2013-11-13,147.389999389648,149.589996337891,146.619995117188,149.149993896484,320400,95.0831527709961
2013-11-14,149.580001831055,149.580001831055,143.539993286133,145.850006103516,806900,92.9794006347656
2013-11-15,146.75,149.830001831055,146.75,148.449996948242,642800,94.6369018554688
2013-11-18,149.149993896484,149.979995727539,146.809997558594,147.110000610352,610900,93.7826538085938
2013-11-19,147.289993286133,147.350006103516,144.559997558594,145.100006103516,266200,92.5012817382812
2013-11-20,145.440002441406,145.440002441406,143.190002441406,143.369995117188,299400,91.3983993530273
2013-11-21,143.559997558594,145.839996337891,143.449996948242,145.050003051758,214900,92.4693984985352
2013-11-22,145.289993286133,149.100006103516,145,148.5,635200,94.6687774658203
2013-11-25,148.949996948242,153.520004272461,148.229995727539,151.539993286133,650100,96.6067657470703
2013-11-26,151.699996948242,156.990005493164,151.490005493164,156.059997558594,712800,99.4882736206055
2013-11-27,155.940002441406,158.100006103516,155.570007324219,157.919998168945,1039400,100.674034118652
2013-11-29,158.639999389648,159.199996948242,156.520004272461,156.520004272461,184400,99.7815322875977
2013-12-02,156.839996337891,157.770004272461,154.080001831055,154.960006713867,481300,98.7870407104492
2013-12-03,155.029998779297,157.860000610352,154.880004882812,155.190002441406,364900,98.9336547851562
2013-12-04,154.690002441406,156.289993286133,153.240005493164,154.169998168945,595800,98.2834091186523
2013-12-05,154.339996337891,154.979995727539,153.479995727539,154.059997558594,255900,98.2132797241211
2013-12-06,154.759994506836,156.199996948242,153.869995117188,156.080001831055,315400,99.5010375976562
2013-12-09,155.630004882812,156.270004272461,154.389999389648,154.779998779297,351300,98.6722717285156
2013-12-10,154.270004272461,156.110000610352,154.080001831055,155.509994506836,354700,99.1376495361328
2013-12-11,155.539993286133,156.850006103516,155.169998168945,156.25,388900,99.6094131469727
2013-12-12,155.860000610352,157.320007324219,154.300003051758,156.630004882812,293500,99.8516464233398
2013-12-13,157.089996337891,157.089996337891,154.199996948242,156.289993286133,388700,99.634895324707
2013-12-16,156.600006103516,156.759994506836,155.509994506836,156.259994506836,317800,99.6157608032227
2013-12-17,156.190002441406,158.139999389648,153.869995117188,154.770004272461,405400,98.6659088134766
2013-12-18,155,155.669998168945,153.100006103516,154.570007324219,524800,98.5383987426758
2013-12-19,154.179992675781,157.039993286133,154.179992675781,156.639999389648,284500,99.858024597168
