"Fecha","CVS.Open","CVS.High","CVS.Low","CVS.Close","CVS.Volume","CVS.Adjusted"
2013-11-01,62.4199981689453,62.9000015258789,62.4199981689453,62.5900001525879,5112300,49.0392189025879
2013-11-04,62.7099990844727,62.8400001525879,61.9300003051758,61.9799995422363,6774100,48.561279296875
2013-11-05,63.4799995422363,64.4400024414062,62.6100006103516,63.2200012207031,10424900,49.5328216552734
2013-11-06,63.7799987792969,63.9700012207031,63.5,63.8699989318848,6826300,50.0420989990234
2013-11-07,63.8400001525879,64,63.2900009155273,63.5400009155273,6027200,49.7835388183594
2013-11-08,63.5400009155273,63.9000015258789,63.2900009155273,63.7799987792969,6221000,49.9715805053711
2013-11-11,63.8699989318848,64.1600036621094,63.7400016784668,63.9300003051758,2994100,50.0890998840332
2013-11-12,63.7400016784668,64.0400009155273,63.5499992370605,63.9599990844727,4380700,50.1126098632812
2013-11-13,64.4400024414062,64.4899978637695,63.6800003051758,64.379997253418,4085000,50.4416732788086
2013-11-14,64.4300003051758,65.4499969482422,64.2799987792969,65.2699966430664,4630900,51.138988494873
2013-11-15,65.1100006103516,65.6999969482422,65.0400009155273,65.620002746582,3816100,51.4132308959961
2013-11-18,65.5999984741211,65.6900024414062,65.2399978637695,65.4400024414062,4680200,51.2721977233887
2013-11-19,65.5400009155273,65.75,65.1600036621094,65.2200012207031,4042200,51.0998229980469
2013-11-20,65.3399963378906,65.7399978637695,65.1500015258789,65.4199981689453,3642300,51.2565116882324
2013-11-21,65.4300003051758,66.1800003051758,65.4000015258789,66.0899963378906,4072100,51.7814559936523
2013-11-22,65.9800033569336,66.7099990844727,65.9800033569336,66.6800003051758,4491400,52.2437362670898
2013-11-25,66.7099990844727,66.9899978637695,66.5599975585938,66.7799987792969,3546600,52.3220710754395
2013-11-26,66.6600036621094,67.1999969482422,66.0599975585938,66.0899963378906,5557500,51.7814559936523
2013-11-27,66.379997253418,66.9599990844727,66.2200012207031,66.7600021362305,4943600,52.3064193725586
2013-11-29,67.0899963378906,67.6399993896484,66.9000015258789,66.9599990844727,3940100,52.4631080627441
2013-12-02,67.0999984741211,67.5,66.2399978637695,66.6500015258789,4813000,52.2202301025391
2013-12-03,66.0800018310547,66.9499969482422,66.0599975585938,66.75,4513400,52.2985763549805
2013-12-04,66.4800033569336,66.6600036621094,65.4499969482422,66.120002746582,5261300,51.8049774169922
2013-12-05,66.0599975585938,66.5299987792969,65.7699966430664,65.870002746582,4088300,51.6091079711914
2013-12-06,66.3199996948242,66.9700012207031,66.2699966430664,66.75,4028600,52.2985763549805
2013-12-09,66.879997253418,67.0899963378906,66.2099990844727,66.7300033569336,5023400,52.2829132080078
2013-12-10,66.5999984741211,68.5999984741211,66.2300033569336,67.9899978637695,9875700,53.2701148986816
2013-12-11,68.0199966430664,68.7300033569336,67.9300003051758,68.1399993896484,7210300,53.387638092041
2013-12-12,68.2799987792969,68.3000030517578,67.4800033569336,67.5699996948242,4907400,52.9410400390625
2013-12-13,67.7200012207031,67.9000015258789,67,67.3099975585938,3883000,52.7373352050781
2013-12-16,67.6500015258789,68.3600006103516,67.4400024414062,67.7900009155273,4879600,53.1134147644043
2013-12-17,67.8499984741211,67.9100036621094,66.7699966430664,66.8099975585938,5943300,52.3455848693848
2013-12-18,67.120002746582,69.6900024414062,67.120002746582,69.6900024414062,10322500,54.6020622253418
2013-12-19,69.6399993896484,70.4100036621094,69.379997253418,70.1399993896484,5950000,54.9546203613281
2013-12-20,69.9499969482422,70.870002746582,69.7699966430664,70.0599975585938,14986500,54.8919525146484
