"Fecha","NDAQ.Open","NDAQ.High","NDAQ.Low","NDAQ.Close","NDAQ.Volume","NDAQ.Adjusted"
2013-11-01,11.8066673278809,11.8533334732056,11.6700000762939,11.7666673660278,3770100,9.974196434021
2013-11-04,11.8266668319702,11.8366670608521,11.7333326339722,11.8199996948242,1737900,10.0194044113159
2013-11-05,11.7299995422363,11.8766670227051,11.6933326721191,11.7733325958252,2194200,9.97984790802002
2013-11-06,11.8166666030884,11.8900003433228,11.7866668701172,11.8333330154419,1783200,10.030707359314
2013-11-07,11.8866672515869,11.9466667175293,11.6899995803833,11.7066669464111,1931700,9.92333602905273
2013-11-08,11.75,12.0033330917358,11.710000038147,11.9766674041748,2895300,10.1522064208984
2013-11-11,11.9433326721191,12.0666666030884,11.8400001525879,11.9700002670288,2388600,10.1465530395508
2013-11-12,11.966667175293,12.0833330154419,11.8866672515869,11.9499998092651,2247300,10.129599571228
2013-11-13,11.8500003814697,12.0600004196167,11.8366670608521,12.0600004196167,1975800,10.2228450775146
2013-11-14,12.1133327484131,12.4099998474121,12.0299997329712,12.3999996185303,4788000,10.5110483169556
2013-11-15,12.3966665267944,12.3999996185303,12.2600002288818,12.3599996566772,5027100,10.477144241333
2013-11-18,12.3900003433228,12.539999961853,12.289999961853,12.533332824707,4201800,10.6240720748901
2013-11-19,12.3333330154419,12.8666667938232,12.3000001907349,12.7366666793823,6402900,10.7964315414429
2013-11-20,12.716667175293,12.8866672515869,12.6733331680298,12.8266668319702,5186100,10.8727216720581
2013-11-21,12.9133329391479,13,12.8533334732056,12.9733333587646,4430400,10.9970474243164
2013-11-22,13,13.2266674041748,12.9733333587646,13.203332901001,4725300,11.1920070648193
2013-11-25,13.203332901001,13.2766666412354,13.0866670608521,13.1000003814697,4119000,11.1044187545776
2013-11-26,13.0866670608521,13.1400003433228,12.9266672134399,12.9300003051758,2941200,10.9603137969971
2013-11-27,12.9433326721191,13.0266666412354,12.8199996948242,12.8800001144409,2897100,10.9179286956787
2013-11-29,12.9300003051758,13.2233333587646,12.8633327484131,13.0966672897339,2600700,11.1015911102295
2013-12-02,13.1566667556763,13.546667098999,13.0966672897339,13.1333332061768,5028000,11.1326704025269
2013-12-03,13.0733327865601,13.1700000762939,12.8999996185303,13.0100002288818,3419100,11.0281257629395
2013-12-04,12.9966669082642,13.460000038147,12.9133329391479,13.3166666030884,7255200,11.2880764007568
2013-12-05,13.1933326721191,13.2933330535889,12.9399995803833,12.953332901001,4959300,10.9800891876221
2013-12-06,13.0900001525879,13.1133327484131,12.7366666793823,12.960000038147,6066300,10.9857406616211
2013-12-09,13.0033330917358,13.039999961853,12.9033327102661,12.9700002670288,3607200,10.9942178726196
2013-12-10,12.9399995803833,13.0033330917358,12.8166666030884,12.9633331298828,3248700,10.9885702133179
2013-12-11,12.9266672134399,13,12.8733329772949,12.9033327102661,3417300,10.9743890762329
2013-12-12,12.9133329391479,13.006667137146,12.8433332443237,12.9300003051758,4359000,10.9970741271973
