"Fecha","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume","ALGN.Adjusted"
2013-11-01,56.9599990844727,57.3600006103516,56.2400016784668,56.75,710500,56.75
2013-11-04,57.1699981689453,58.9500007629395,56.9300003051758,58.0299987792969,1523300,58.0299987792969
2013-11-05,57.7799987792969,58.2799987792969,56.2000007629395,56.6500015258789,906000,56.6500015258789
2013-11-06,57.189998626709,57.75,56.310001373291,57.0900001525879,664100,57.0900001525879
2013-11-07,57.2200012207031,57.9099998474121,56.4500007629395,56.6300010681152,649800,56.6300010681152
2013-11-08,56.7099990844727,58.439998626709,56.7000007629395,58.2400016784668,814400,58.2400016784668
2013-11-11,58.4099998474121,59.7999992370605,57.7700004577637,58.5900001525879,869700,58.5900001525879
2013-11-12,58.5200004577637,58.7000007629395,57.810001373291,58.5,548800,58.5
2013-11-13,58,58.8899993896484,57.6599998474121,58.3800010681152,877300,58.3800010681152
2013-11-14,55.6300010681152,55.9500007629395,54.0499992370605,54.6800003051758,3970500,54.6800003051758
2013-11-15,54.9099998474121,55.5299987792969,54.9000015258789,55.4099998474121,1381000,55.4099998474121
2013-11-18,55.8199996948242,55.9900016784668,53.6399993896484,54,1155800,54
2013-11-19,53.8699989318848,53.9799995422363,51.8199996948242,52.439998626709,1972200,52.439998626709
2013-11-20,52.7799987792969,53.1699981689453,52.4500007629395,52.689998626709,795700,52.689998626709
2013-11-21,52.7799987792969,53.9300003051758,52.6800003051758,53.8899993896484,767500,53.8899993896484
2013-11-22,54.0099983215332,54.8300018310547,53.7999992370605,54.1500015258789,728100,54.1500015258789
2013-11-25,54.2000007629395,54.8800010681152,52.8699989318848,53.5800018310547,826300,53.5800018310547
2013-11-26,53.6699981689453,54.1300010681152,53.0999984741211,53.9300003051758,637500,53.9300003051758
2013-11-27,53.8800010681152,54.9199981689453,53.6300010681152,54.7599983215332,584400,54.7599983215332
2013-11-29,54.8899993896484,55.3300018310547,54.4199981689453,54.6399993896484,311500,54.6399993896484
2013-12-02,54.7999992370605,55.5,54.0499992370605,55.1100006103516,547400,55.1100006103516
2013-12-03,54.8899993896484,55.3899993896484,54.6399993896484,55.1699981689453,660200,55.1699981689453
2013-12-04,54.75,55.25,53.939998626709,54.6500015258789,558700,54.6500015258789
2013-12-05,54.5400009155273,54.5699996948242,53.8300018310547,54.5299987792969,520900,54.5299987792969
2013-12-06,54.9099998474121,55.7900009155273,54.1599998474121,55.4599990844727,453300,55.4599990844727
2013-12-09,55.7400016784668,56.1699981689453,55.1300010681152,55.75,852900,55.75
2013-12-10,55.5099983215332,55.7000007629395,54.7400016784668,54.8699989318848,720300,54.8699989318848
2013-12-11,55.1300010681152,55.3800010681152,53.5,53.6800003051758,579300,53.6800003051758
2013-12-12,53.4799995422363,54.4300003051758,52.7400016784668,54.1199989318848,881100,54.1199989318848
2013-12-13,54.3699989318848,54.8499984741211,54.0200004577637,54.2000007629395,374700,54.2000007629395
2013-12-16,54.5900001525879,55.6100006103516,54.4500007629395,55.5800018310547,656400,55.5800018310547
2013-12-17,55.7000007629395,56.2400016784668,55.1100006103516,56,847500,56
2013-12-18,56.1399993896484,57.2099990844727,55.75,57.1599998474121,1236200,57.1599998474121
2013-12-19,57.2200012207031,57.5200004577637,56.0699996948242,56.4700012207031,810600,56.4700012207031
