"Fecha","ZBRA.Open","ZBRA.High","ZBRA.Low","ZBRA.Close","ZBRA.Volume","ZBRA.Adjusted"
2013-11-01,48.4500007629395,48.6100006103516,47.8600006103516,48.2799987792969,121000,48.2799987792969
2013-11-04,48.3199996948242,49,48.2000007629395,48.5,150300,48.5
2013-11-05,52.5499992370605,53.6599998474121,52,52.8199996948242,765900,52.8199996948242
2013-11-06,52.9799995422363,53.4300003051758,51.5299987792969,51.5499992370605,483600,51.5499992370605
2013-11-07,51.5299987792969,51.7700004577637,50.5200004577637,50.7200012207031,515600,50.7200012207031
2013-11-08,50.6699981689453,51.1699981689453,50.1699981689453,50.6199989318848,359100,50.6199989318848
2013-11-11,50.75,50.7900009155273,50.1500015258789,50.4000015258789,196500,50.4000015258789
2013-11-12,50.4199981689453,51.1800003051758,50.189998626709,51.1300010681152,144500,51.1300010681152
2013-11-13,50.7700004577637,51.0999984741211,50.5699996948242,51.0800018310547,136800,51.0800018310547
2013-11-14,50.9599990844727,51.2999992370605,50.6699981689453,51.2700004577637,109300,51.2700004577637
2013-11-15,51.4099998474121,51.689998626709,51.2000007629395,51.5400009155273,207900,51.5400009155273
2013-11-18,51.4500007629395,51.8499984741211,51.310001373291,51.4500007629395,181900,51.4500007629395
2013-11-19,51.560001373291,52.1599998474121,51.3800010681152,51.5,161800,51.5
2013-11-20,51.7299995422363,52.3400001525879,51.3600006103516,52.0099983215332,223600,52.0099983215332
2013-11-21,52.1500015258789,52.1500015258789,51.6300010681152,51.75,149600,51.75
2013-11-22,51.7099990844727,51.9300003051758,51.4799995422363,51.8899993896484,106000,51.8899993896484
2013-11-25,52,52.3400001525879,51.6199989318848,52.2700004577637,90100,52.2700004577637
2013-11-26,52.189998626709,52.3400001525879,51.7599983215332,52.1100006103516,125600,52.1100006103516
2013-11-27,52.1500015258789,52.25,51.7700004577637,52.1699981689453,72300,52.1699981689453
2013-11-29,52.1699981689453,52.3199996948242,51.7900009155273,51.8400001525879,60000,51.8400001525879
2013-12-02,51.939998626709,52.5699996948242,51.310001373291,52.189998626709,189800,52.189998626709
2013-12-03,52.2000007629395,52.5999984741211,51.9900016784668,52.2299995422363,229200,52.2299995422363
2013-12-04,51.9799995422363,52.1100006103516,50.9099998474121,51.560001373291,215700,51.560001373291
