"Fecha","MTD.Open","MTD.High","MTD.Low","MTD.Close","MTD.Volume","MTD.Adjusted"
2013-11-01,247.449996948242,249.059997558594,245.839996337891,247.589996337891,54900,247.589996337891
2013-11-04,248.330001831055,248.460006713867,246.360000610352,247.130004882812,86700,247.130004882812
2013-11-05,246.479995727539,249.199996948242,245.070007324219,246.610000610352,75200,246.610000610352
2013-11-06,247.789993286133,249.460006713867,246.089996337891,247.520004272461,58400,247.520004272461
2013-11-07,247.789993286133,250.029998779297,243.429992675781,244.990005493164,140000,244.990005493164
2013-11-08,236.220001220703,242.289993286133,235.520004272461,239,431400,239
2013-11-11,238.110000610352,240.490005493164,236.529998779297,240.360000610352,166400,240.360000610352
2013-11-12,239.669998168945,241.539993286133,237.830001831055,240.25,218100,240.25
2013-11-13,239.339996337891,240.800003051758,237.559997558594,240.279998779297,252300,240.279998779297
2013-11-14,239.600006103516,244.199996948242,239.199996948242,243.619995117188,170800,243.619995117188
2013-11-15,243.669998168945,248.940002441406,243.669998168945,247.490005493164,180700,247.490005493164
2013-11-18,247.350006103516,248.919998168945,243.429992675781,244.789993286133,148400,244.789993286133
2013-11-19,244.070007324219,248.410003662109,242.800003051758,248.339996337891,247000,248.339996337891
2013-11-20,247.720001220703,249.520004272461,246.759994506836,248.399993896484,161300,248.399993896484
2013-11-21,249.350006103516,253.309997558594,247.970001220703,253.270004272461,124600,253.270004272461
2013-11-22,254.100006103516,255,251.240005493164,252.929992675781,192500,252.929992675781
2013-11-25,253.800003051758,253.800003051758,248.669998168945,250.220001220703,296200,250.220001220703
2013-11-26,250.490005493164,251.360000610352,248.330001831055,248.330001831055,1335500,248.330001831055
2013-11-27,248.529998779297,249.949996948242,246.020004272461,247.029998779297,203900,247.029998779297
2013-11-29,248.240005493164,249.559997558594,246.149993896484,246.570007324219,71000,246.570007324219
2013-12-02,247.970001220703,249.610000610352,245.300003051758,246.679992675781,151900,246.679992675781
2013-12-03,245.279998779297,247.029998779297,243.520004272461,244.830001831055,152600,244.830001831055
2013-12-04,243.570007324219,246.529998779297,242.029998779297,245.039993286133,108000,245.039993286133
2013-12-05,236.850006103516,246.210006713867,235.860000610352,245.970001220703,165900,245.970001220703
2013-12-06,247.240005493164,248.990005493164,245.910003662109,247.119995117188,194500,247.119995117188
2013-12-09,246.690002441406,247.300003051758,245.259994506836,245.440002441406,178900,245.440002441406
2013-12-10,244.660003662109,246.100006103516,242.320007324219,243.399993896484,230200,243.399993896484
2013-12-11,243.259994506836,244.589996337891,239.020004272461,239.320007324219,157800,239.320007324219
2013-12-12,239.389999389648,240.720001220703,238.059997558594,240.029998779297,84600,240.029998779297
2013-12-13,240.289993286133,242.619995117188,239.919998168945,241.020004272461,109500,241.020004272461
