"Fecha","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
2013-11-01,50.6120529174805,51.0004692077637,50.5696792602539,50.7297554016113,1201334,38.1356048583984
2013-11-04,51.0122413635254,51.5371932983398,50.878059387207,51.4665718078613,2468938,38.6895065307617
2013-11-05,51.478343963623,51.878532409668,51.1111106872559,51.730224609375,2596802,38.8876953125
2013-11-06,52.4105453491211,53.1026382446289,52.019775390625,52.3681716918945,3888619,39.3672752380371
2013-11-07,52.3681716918945,52.5047073364258,51.0193023681641,51.0946311950684,2640982,38.4099006652832
2013-11-08,51.0946311950684,51.5042381286621,50.9086647033691,51.4924659729004,2891614,38.7089729309082
2013-11-11,51.5536727905273,51.7325782775879,51.478343963623,51.5654411315918,1434125,38.7638244628906
2013-11-12,51.3606414794922,51.6101684570312,51.1181716918945,51.278247833252,2678364,38.5479316711426
2013-11-13,51.188793182373,52.5094146728516,51.1417121887207,52.4976463317871,2641406,39.4645957946777
2013-11-14,52.4952926635742,52.8907737731934,52.1092262268066,52.8507537841797,1830888,39.730052947998
2013-11-15,52.7612991333008,53.1049919128418,52.5353126525879,53.0979270935059,1879740,39.9158515930176
2013-11-18,53.0838050842285,53.4015998840332,52.7142181396484,52.8342742919922,1946009,39.7176628112793
2013-11-19,52.7636528015137,53.0367240905762,52.5188331604004,52.7919006347656,1491048,39.6858100891113
2013-11-20,52.9661026000977,53.323917388916,52.7306976318359,52.9048957824707,1349165,39.7707443237305
2013-11-21,53.0696792602539,53.0696792602539,52.5659141540527,52.8554611206055,1530979,39.733585357666
2013-11-22,53.1732597351074,54.7104530334473,52.8695869445801,54.6374778747559,3669847,41.0731925964355
2013-11-25,54.8705253601074,55.2095108032227,54.7316398620605,54.9435043334961,3336804,41.3032531738281
2013-11-26,54.8469886779785,55.4731636047363,54.771656036377,55.1789093017578,1818144,41.4802207946777
2013-11-27,55.4096031188965,55.6967964172363,55.1129951477051,55.3036727905273,1711094,41.5740013122559
2013-11-29,55.3201522827148,55.8333320617676,55.1341819763184,55.2212791442871,1050106,41.5120697021484
2013-12-02,55.6002807617188,56.0852165222168,55.2518844604492,55.4943504333496,2423059,41.7173538208008
2013-12-03,55.4778709411621,55.5484924316406,54.9246711730957,55.0941619873047,2371234,41.4165077209473
2013-12-04,55.0353126525879,55.202449798584,54.5080032348633,54.9788131713867,1772266,41.3297920227051
2013-12-05,54.9646873474121,55.4284362792969,54.6963272094727,54.8493423461914,2396297,41.2324829101562
2013-12-06,57.2693023681641,57.2693023681641,54.7528266906738,54.9835205078125,1673287,41.5204429626465
2013-12-09,55,55.1506576538086,54.628059387207,54.8352165222168,1968098,41.4084587097168
2013-12-10,54.7810745239258,54.8822975158691,53.804141998291,54.4373817443848,2777767,41.1080284118652
2013-12-11,54.5692100524902,54.7763633728027,53.8323936462402,53.9548034667969,2497824,40.7436065673828
2013-12-12,54.0254249572754,54.8705253601074,53.8935966491699,54.6704330444336,3115483,41.2840156555176
2013-12-13,55.0847473144531,55.2989654541016,54.4256134033203,55.1977386474609,3238250,41.6822128295898
2013-12-16,55.3130874633789,55.484935760498,55.0047073364258,55.2471733093262,1995286,41.719554901123
2013-12-17,55.3813552856445,55.5532035827637,55.0517883300781,55.3366279602051,1551794,41.7870864868164
2013-12-18,55.5155372619629,56.4100761413574,55,56.3418083190918,1912025,42.5461578369141
2013-12-19,56.2900199890137,56.5984001159668,56.0310745239258,56.1393585205078,1843207,42.3932685852051
2013-12-20,56.3323936462402,57.8601684570312,56.0240097045898,57.8601684570312,24428974,43.6927223205566
