"Fecha","LMT.Open","LMT.High","LMT.Low","LMT.Close","LMT.Volume","LMT.Adjusted"
2013-11-01,133.539993286133,136.839996337891,133.429992675781,134.550003051758,2135000,102.055061340332
2013-11-04,135,136,134.910003662109,135.740005493164,833400,102.957664489746
2013-11-05,135.330001831055,136.360000610352,135.050003051758,135.470001220703,885700,102.752868652344
2013-11-06,135.529998779297,136.929992675781,135.529998779297,136.869995117188,921900,103.81477355957
2013-11-07,136.889999389648,138.149993896484,136.089996337891,136.199996948242,1285400,103.30655670166
2013-11-08,136.169998168945,138.149993896484,136.009994506836,138.110000610352,1281400,104.755310058594
2013-11-11,137.919998168945,137.919998168945,136.300003051758,137.149993896484,1029900,104.027114868164
2013-11-12,137.149993896484,137.240005493164,136.399993896484,137.229995727539,1485100,104.087814331055
2013-11-13,136.539993286133,137.380004882812,135.539993286133,137.259994506836,1667500,104.110572814941
2013-11-14,137.740005493164,138.399993896484,137,138.289993286133,886200,104.891807556152
2013-11-15,137.929992675781,138.039993286133,136.389999389648,137.449996948242,2043000,104.254653930664
2013-11-18,137.619995117188,138.850006103516,137.619995117188,137.850006103516,897700,104.558082580566
2013-11-19,138.110000610352,139.350006103516,137.720001220703,138.970001220703,1047000,105.407562255859
2013-11-20,138.839996337891,138.839996337891,136.990005493164,137.190002441406,858600,104.05744934082
2013-11-21,137.630004882812,139.009994506836,137.259994506836,138.669998168945,3642300,105.180061340332
2013-11-22,139.070007324219,140.940002441406,138.770004272461,140.880004882812,4836800,106.856285095215
2013-11-25,141.160003662109,142.130004882812,140.800003051758,141.759994506836,6402400,107.523765563965
2013-11-26,141.5,143.419998168945,141.309997558594,143.059997558594,2432600,108.509819030762
2013-11-27,142.089996337891,144.429992675781,142.089996337891,143.940002441406,1896400,110.201820373535
2013-11-29,143.869995117188,144.270004272461,141.240005493164,141.669998168945,1553300,108.463851928711
2013-12-02,141.850006103516,142.5,139.429992675781,139.699996948242,1676600,106.955589294434
2013-12-03,139.309997558594,139.699996948242,137.699996948242,138.770004272461,1987300,106.243606567383
2013-12-04,138.570007324219,138.679992675781,135.389999389648,136.229995727539,2163400,104.298965454102
2013-12-05,136.259994506836,137.559997558594,136.009994506836,136.660003662109,1190800,104.62818145752
2013-12-06,137.899993896484,138.5,137.220001220703,138.190002441406,1416600,105.79956817627
2013-12-09,138.5,139.289993286133,138.289993286133,138.929992675781,1389100,106.366111755371
2013-12-10,138.710006713867,139.860000610352,138.399993896484,139.309997558594,1197900,106.657043457031
2013-12-11,139.5,139.5,137.240005493164,137.460006713867,1163200,105.240661621094
