"Fecha","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
2013-11-01,171.902481079102,172.4091796875,171.013381958008,171.347991943359,3812147,113.281745910645
2013-11-04,171.988525390625,172.84895324707,171.453155517578,172.342254638672,3643532,113.939094543457
2013-11-05,171.64436340332,171.892929077148,169.894836425781,170.028686523438,6377253,112.409561157227
2013-11-06,170.086044311523,171.845123291016,169.961761474609,171.309753417969,4770492,113.864707946777
2013-11-07,171.701721191406,173.412994384766,171.701721191406,172.084136962891,5459597,114.379425048828
2013-11-08,170.965576171875,172.160614013672,169.550674438477,172.074569702148,6563650,114.373046875
2013-11-11,172.265777587891,175.325042724609,172.122375488281,174.837478637695,5462526,116.20947265625
2013-11-12,174.502868652344,175.956024169922,174.244735717773,175.019119262695,4454391,116.330207824707
2013-11-13,174.254302978516,175.478012084961,173.604202270508,175.478012084961,4920802,116.635231018066
2013-11-14,172.543014526367,175.143402099609,171.759078979492,174.19694519043,6612289,115.783767700195
2013-11-15,174.359466552734,175.219879150391,173.193115234375,175.133850097656,5414201,116.406463623047
2013-11-18,175.449325561523,176.854690551758,175.210327148438,176.357559204102,5590765,117.21981048584
2013-11-19,176.510513305664,178.011474609375,176.051620483398,177.103256225586,4787542,117.715484619141
2013-11-20,177.074569702148,178.049713134766,176.529632568359,177.045883178711,3813507,117.677352905273
2013-11-21,177.380493164062,177.581268310547,175.344161987305,176.032501220703,4664637,117.003791809082
2013-11-22,175.430206298828,176.854690551758,172.00764465332,173.326965332031,7960269,115.20548248291
2013-11-25,172.323135375977,172.801147460938,170,171.070739746094,7491347,113.705841064453
2013-11-26,170.812622070312,171.070739746094,169.512420654297,169.512420654297,6020776,112.670059204102
2013-11-27,170.009567260742,172.256210327148,170,171.099426269531,4807939,113.724914550781
2013-11-29,171.328872680664,172.810699462891,171.128112792969,171.778198242188,3002543,114.176071166992
2013-12-02,171.56787109375,171.692153930664,169.330780029297,169.674957275391,4769760,112.778106689453
2013-12-03,169.216064453125,170.391967773438,167.915863037109,168.336517333984,6133744,111.888465881348
2013-12-04,167.657745361328,169.694076538086,167.456985473633,168.011474609375,5509700,111.672470092773
2013-12-05,168.403442382812,169.082214355469,167.571701049805,168.336517333984,4586605,111.888465881348
2013-12-06,168.929260253906,170.172088623047,168.269592285156,169.856597900391,4957831,112.898834228516
2013-12-09,170.162521362305,170.315490722656,169.05354309082,169.655838012695,3971244,112.765396118164
2013-12-10,169.120452880859,169.856597900391,168.317398071289,169.330780029297,4317679,112.549346923828
2013-12-11,169.216064453125,169.942642211914,167.399612426758,167.495223999023,4278558,111.329315185547
2013-12-12,167.361373901367,168.068832397461,165.678771972656,165.745697021484,5932494,110.166412353516
2013-12-13,165.889099121094,166.711288452148,165.133850097656,165.200759887695,4376882,109.804252624512
2013-12-16,165.602294921875,170.506698608398,165.133850097656,170.028686523438,7862782,113.013236999512
2013-12-17,169.56022644043,169.684509277344,167.418731689453,168.03059387207,5723607,111.685127258301
2013-12-18,168.690246582031,170.879547119141,167.160614013672,170.841293334961,5959794,113.553337097168
2013-12-19,170.057357788086,172.600387573242,170.057357788086,172.294448852539,6199642,114.519241333008
2013-12-20,172.198852539062,173.996170043945,172.103256225586,172.103256225586,8005561,114.392112731934
2013-12-23,173.087951660156,174.885284423828,172.667297363281,174.216064453125,4267575,115.796447753906
2013-12-24,173.957931518555,175.430206298828,173.910140991211,175.162521362305,1687826,116.425521850586
2013-12-26,175.487579345703,177.399612426758,175.43977355957,177.198852539062,3478682,117.779029846191
2013-12-27,177.667297363281,178.298278808594,176.443588256836,176.940719604492,3537154,117.607452392578
2013-12-30,177.170166015625,178.489486694336,176.548751831055,178.21223449707,3157456,118.452583312988
2013-12-31,178.288711547852,179.531555175781,178.107070922852,179.321228027344,3786206,119.189682006836
2014-01-02,178.97705078125,179.158706665039,177.055450439453,177.370941162109,4755639,117.893409729004
2014-01-03,177.657745361328,179.110900878906,177.15104675293,178.43212890625,4250107,118.598754882812
2014-01-06,178.919692993164,179.120452880859,177.15104675293,177.820266723633,4254919,118.192047119141
2014-01-08,181.003829956055,181.089859008789,179.024856567383,179.703628540039,4815470,119.443862915039
2014-01-09,180.707458496094,181.166351318359,178.346084594727,179.139572143555,4520080,119.068946838379
2014-01-10,180.028686523438,180.277252197266,178.087951660156,179.024856567383,4207430,118.992706298828
2014-01-13,178.068832397461,178.728485107422,175.774383544922,176.061187744141,6050796,117.022850036621
2014-01-14,176.921600341797,178.231353759766,175.793502807617,177.743789672852,4831683,118.141212463379
2014-01-15,177.648178100586,180.353729248047,177.332702636719,179.483749389648,5038059,119.297721862793
2014-01-16,179.282989501953,180.678771972656,178.585083007812,180.458892822266,4989734,119.945877075195
2014-01-21,181.864242553711,182.017211914062,178.575531005859,180.143402099609,11585810,119.736221313477
2014-01-22,173.307846069336,175.430206298828,171.768646240234,174.23518371582,14430721,115.809143066406
2014-01-23,173.451248168945,175.640533447266,172.762908935547,174.694076538086,7294699,116.114181518555
2014-01-24,173.279159545898,174.770553588867,171.739959716797,171.739959716797,7207568,114.150634765625
2014-01-27,171.711288452148,171.749526977539,169.847030639648,170.076477050781,5448196,113.044998168945
2014-01-28,170.219879150391,170.602294921875,168.412994384766,169.072662353516,5578632,112.377784729004
2014-01-29,168.240921020508,170.678771972656,168.154876708984,168.642440795898,5199561,112.091812133789
2014-01-30,169.37858581543,170.038238525391,168.604202270508,169.56022644043,5076970,112.701820373535
2014-01-31,168.365203857422,170.019119262695,167.629058837891,168.910140991211,5432296,112.269752502441
2014-02-03,168.279159545898,168.279159545898,165.124282836914,165.296371459961,7517393,109.867790222168
2014-02-04,165.898666381836,166.108993530273,164.780120849609,165.238998413086,4549891,109.829658508301
2014-02-05,164.617584228516,167.275329589844,164.617584228516,166.577438354492,4929066,110.719245910645
2014-02-06,166.319305419922,167.160614013672,166.147232055664,166.988525390625,4489641,111.600997924805
2014-02-07,167.915863037109,169.751434326172,167.370941162109,169.455062866211,4908773,113.249389648438
2014-02-10,169.187377929688,169.837478637695,168.499038696289,169.349899291992,3703258,113.179138183594
2014-02-11,169.034423828125,172.456985473633,169.024856567383,171.797317504883,4861076,114.814765930176
2014-02-12,171.625244140625,173.279159545898,171.376678466797,172.313583374023,4166218,115.159820556641
2014-02-13,170.382415771484,174.340347290039,170.038238525391,173.843215942383,4688172,116.182106018066
2014-02-14,173.288711547852,176.319305419922,173.03059387207,175.611862182617,4874255,117.364112854004
2014-02-18,175.124282836914,175.908218383789,174.302108764648,175.133850097656,4639219,117.044631958008
2014-02-19,174.703628540039,177.485656738281,174.388137817383,174.904403686523,4886389,116.89128112793
2014-02-20,174.913955688477,176.730407714844,174.751434326172,176.156784057617,5196737,117.72827911377
2014-02-21,176.147232055664,177.543014526367,174.588912963867,174.751434326172,5961468,116.789077758789
2014-02-24,174.780120849609,177.017211914062,174.780120849609,175.382415771484,4806684,117.210777282715
2014-02-25,175.449325561523,176.481842041016,174.837478637695,175.172088623047,4081806,117.070190429688
2014-02-26,175.850860595703,177.131927490234,175.487579345703,175.965576171875,3912772,117.60050201416
2014-02-27,175.745697021484,177.7724609375,175.726577758789,177.122375488281,4003879,118.373573303223
2014-02-28,177.2275390625,177.934997558594,175.573608398438,177.026763916016,4882623,118.309707641602
2014-03-03,175.267684936523,176.520080566406,174.780120849609,176.156784057617,4131805,117.72827911377
2014-03-04,177.638626098633,178.929260253906,177.514343261719,178.240921020508,4950718,119.121170043945
2014-03-05,178.365203857422,179.684509277344,178.202682495117,178.910140991211,3645519,119.568367004395
2014-03-06,179.130020141602,180.105163574219,178.680694580078,179.388137817383,3992896,119.887832641602
