"Fecha","NOW.Open","NOW.High","NOW.Low","NOW.Close","NOW.Volume","NOW.Adjusted"
2013-11-01,54.2200012207031,54.5099983215332,53.0099983215332,53.810001373291,1217900,53.810001373291
2013-11-04,54.1399993896484,54.4099998474121,53.7099990844727,54.1599998474121,1058500,54.1599998474121
2013-11-05,54.1599998474121,56.3600006103516,53.9199981689453,55.3600006103516,1294700,55.3600006103516
2013-11-06,55.0299987792969,55.3499984741211,51.7999992370605,53.7299995422363,2555600,53.7299995422363
2013-11-07,54.1399993896484,54.4199981689453,51.5200004577637,51.7900009155273,3767000,51.7900009155273
2013-11-08,51.5299987792969,52.9900016784668,51.2000007629395,51.8600006103516,1963000,51.8600006103516
2013-11-11,51.8199996948242,52.4900016784668,51.7099990844727,51.9599990844727,1141200,51.9599990844727
2013-11-12,52,52.810001373291,51.5,52.3499984741211,1389300,52.3499984741211
2013-11-13,52,53.5699996948242,51.5400009155273,53.5400009155273,1145000,53.5400009155273
2013-11-14,53.3699989318848,53.8600006103516,52.4099998474121,52.6199989318848,1126300,52.6199989318848
2013-11-15,53.0499992370605,53.4900016784668,52.6300010681152,53.0999984741211,765800,53.0999984741211
2013-11-18,53.2700004577637,53.6800003051758,51.4300003051758,51.6599998474121,1130100,51.6599998474121
2013-11-19,52.0099983215332,52.75,51.0800018310547,51.8499984741211,2327400,51.8499984741211
2013-11-20,51.8400001525879,52.5200004577637,50.5400009155273,51.1500015258789,1457000,51.1500015258789
2013-11-21,51.6399993896484,52.8899993896484,51.1399993896484,52.8400001525879,1227300,52.8400001525879
2013-11-22,53.25,55.8199996948242,52.8400001525879,55.4199981689453,2571300,55.4199981689453
2013-11-25,55.4900016784668,55.5,52.1699981689453,52.6100006103516,1833000,52.6100006103516
2013-11-26,53.2200012207031,55.060001373291,52.6399993896484,54.5,7598300,54.5
2013-11-27,54.4500007629395,54.4599990844727,53.4000015258789,53.7599983215332,740600,53.7599983215332
2013-11-29,53.9599990844727,54.439998626709,52.4199981689453,53.1100006103516,589900,53.1100006103516
2013-12-02,53.2000007629395,53.25,51.9000015258789,52.3400001525879,1120600,52.3400001525879
2013-12-03,52.060001373291,52.5299987792969,51.7200012207031,51.9799995422363,638300,51.9799995422363
2013-12-04,51.5200004577637,53.3199996948242,51.5200004577637,53.2000007629395,1354000,53.2000007629395
2013-12-05,52.9599990844727,54.060001373291,52.4900016784668,53.4900016784668,1093800,53.4900016784668
2013-12-06,54.1399993896484,54.2900009155273,52.5299987792969,52.7099990844727,861400,52.7099990844727
2013-12-09,52.9799995422363,53,51.2200012207031,51.6300010681152,1604900,51.6300010681152
2013-12-10,50.9000015258789,51.3499984741211,50.7400016784668,50.8600006103516,1300200,50.8600006103516
2013-12-11,50.9900016784668,51.1800003051758,49.310001373291,49.3499984741211,1813900,49.3499984741211
2013-12-12,49.3499984741211,49.5900001525879,48.2200012207031,49,2265500,49
2013-12-13,49.4900016784668,50.8400001525879,49.25,50.5299987792969,1928600,50.5299987792969
2013-12-16,51.0200004577637,51.9900016784668,50.6199989318848,51.3699989318848,1842300,51.3699989318848
2013-12-17,51.0999984741211,51.6100006103516,50.7799987792969,51.4300003051758,1238300,51.4300003051758
2013-12-18,51.5299987792969,51.8800010681152,50.1599998474121,51.0099983215332,1104800,51.0099983215332
2013-12-19,50.8300018310547,51.5499992370605,50.1500015258789,50.8400001525879,1157500,50.8400001525879
2013-12-20,51.2299995422363,54.2700004577637,51.1100006103516,54.2099990844727,3200900,54.2099990844727
2013-12-23,54.75,55.8400001525879,54.6300010681152,55.2400016784668,1538100,55.2400016784668
2013-12-24,54.8400001525879,55.2200012207031,54.439998626709,55.0499992370605,435200,55.0499992370605
2013-12-26,54.939998626709,55.1300010681152,54.5299987792969,55.0699996948242,449900,55.0699996948242
2013-12-27,55.2099990844727,55.6300010681152,55.0200004577637,55.5,606300,55.5
2013-12-30,55.5299987792969,55.6699981689453,55.2299995422363,55.5099983215332,748300,55.5099983215332
2013-12-31,55.3899993896484,56.0400009155273,55.3899993896484,56.0099983215332,422900,56.0099983215332
2014-01-02,55.5699996948242,56.7099990844727,55.1500015258789,55.689998626709,917300,55.689998626709
2014-01-03,54.6699981689453,55.7000007629395,54.3600006103516,55.1800003051758,668100,55.1800003051758
2014-01-06,55.0999984741211,56.4700012207031,55.0999984741211,55.7299995422363,1143800,55.7299995422363
2014-01-07,56.0699996948242,58.8499984741211,56.0400009155273,57.7799987792969,2306200,57.7799987792969
2014-01-08,58.2599983215332,59.0800018310547,57.5499992370605,57.8899993896484,1544800,57.8899993896484
2014-01-09,58.9000015258789,59.0800018310547,57.4500007629395,57.6599998474121,1800100,57.6599998474121
2014-01-10,58.0200004577637,59.5,57.5099983215332,59.3800010681152,1290800,59.3800010681152
