"Fecha","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
2013-11-01,18.7150001525879,18.7428569793701,18.4228572845459,18.5725002288818,274890000,16.2091674804688
2013-11-04,18.6107139587402,18.8150005340576,18.5289287567139,18.8125,244627600,16.418628692627
2013-11-05,18.7350006103516,18.8889293670654,18.6785717010498,18.7660713195801,265213200,16.3781089782715
2013-11-06,18.7196426391602,18.7450008392334,18.5071430206299,18.6042861938477,223375600,16.3317070007324
2013-11-07,18.5564289093018,18.6853561401367,18.2992858886719,18.3032131195068,262620400,16.0674114227295
2013-11-08,18.377857208252,18.6117858886719,18.3067855834961,18.5914287567139,279316800,16.3204174041748
2013-11-11,18.5710716247559,18.6310710906982,18.3717861175537,18.5375003814697,227452400,16.2730827331543
2013-11-12,18.4882144927979,18.7114295959473,18.4642868041992,18.5717868804932,204276800,16.3031787872314
2013-11-13,18.5,18.6517868041992,18.4628562927246,18.5939292907715,197220800,16.3226089477539
2013-11-14,18.6717853546143,18.9028568267822,18.6382141113281,18.8628578186035,282419200,16.5586910247803
2013-11-15,18.8064289093018,18.8960704803467,18.7317867279053,18.7496433258057,317920400,16.4593086242676
2013-11-18,18.7496433258057,18.8282146453857,18.5071430206299,18.5224990844727,244944000,16.2599143981934
2013-11-19,18.5367851257324,18.6921424865723,18.4989280700684,18.5553569793701,208938800,16.2887573242188
2013-11-20,18.5439281463623,18.5864295959473,18.3689289093018,18.3928565979004,193916800,16.1461067199707
2013-11-21,18.4857139587402,18.6146430969238,18.3453578948975,18.6121425628662,262026800,16.3386039733887
2013-11-22,18.5542850494385,18.6485710144043,18.518928527832,18.5642852783203,223725600,16.2966003417969
2013-11-25,18.6078567504883,18.7810707092285,18.6071434020996,18.7049999237061,229311600,16.4201145172119
2013-11-26,18.7185707092285,19.1478576660156,18.7142868041992,19.0499992370605,401382800,16.7229747772217
2013-11-27,19.1539287567139,19.5,19.0499992370605,19.498571395874,363448400,17.1167583465576
