"Fecha","EPAM.Open","EPAM.High","EPAM.Low","EPAM.Close","EPAM.Volume","EPAM.Adjusted"
2013-11-01,37.3300018310547,37.4000015258789,35.9799995422363,36.5900001525879,487900,36.5900001525879
2013-11-04,36.5999984741211,36.8899993896484,36.4599990844727,36.6100006103516,227700,36.6100006103516
2013-11-05,36.5099983215332,36.75,36.25,36.3400001525879,221600,36.3400001525879
2013-11-06,36.439998626709,36.6199989318848,36,36.2700004577637,177600,36.2700004577637
2013-11-07,36.4500007629395,36.560001373291,34.5999984741211,35,319400,35
2013-11-08,34.1599998474121,36.8699989318848,33,35.7200012207031,474300,35.7200012207031
2013-11-11,35.8300018310547,36.1399993896484,35.0400009155273,35.5999984741211,371500,35.5999984741211
2013-11-12,35.4099998474121,35.8600006103516,35.2099990844727,35.4000015258789,225500,35.4000015258789
2013-11-13,35.0499992370605,35.5999984741211,34.7000007629395,35.1399993896484,333200,35.1399993896484
2013-11-14,35.2000007629395,35.9799995422363,34.5499992370605,35.5900001525879,339500,35.5900001525879
2013-11-15,35.5299987792969,36.1800003051758,35.1300010681152,35.7799987792969,152700,35.7799987792969
2013-11-18,35.9799995422363,36.0099983215332,35,35.2299995422363,217000,35.2299995422363
2013-11-19,35.2900009155273,35.7299995422363,34.9599990844727,35.1500015258789,150900,35.1500015258789
2013-11-20,35.310001373291,35.4599990844727,34.8899993896484,35.1500015258789,178200,35.1500015258789
2013-11-21,35.2200012207031,35.9500007629395,35.0900001525879,35.8499984741211,158900,35.8499984741211
2013-11-22,35.7900009155273,36.4799995422363,34.8499984741211,35.0999984741211,5154900,35.0999984741211
2013-11-25,35.1300010681152,35.1699981689453,34.5,34.939998626709,368200,34.939998626709
2013-11-26,34.9300003051758,35.2900009155273,34.689998626709,35.2000007629395,330100,35.2000007629395
2013-11-27,35.1800003051758,35.2799987792969,34.9500007629395,35.2400016784668,247900,35.2400016784668
2013-11-29,35.4000015258789,35.7099990844727,35.2599983215332,35.4700012207031,250500,35.4700012207031
2013-12-02,35.4599990844727,36.1699981689453,35.2799987792969,35.4500007629395,582000,35.4500007629395
2013-12-03,35.3400001525879,35.7000007629395,34.8400001525879,34.9000015258789,195200,34.9000015258789
2013-12-04,34.75,35.0299987792969,33.9700012207031,34.5900001525879,153100,34.5900001525879
2013-12-05,34.6399993896484,35,34.310001373291,34.9099998474121,122000,34.9099998474121
2013-12-06,35.0999984741211,36.0200004577637,35.060001373291,35.7700004577637,216900,35.7700004577637
2013-12-09,35.9199981689453,36.2299995422363,34.9900016784668,35.2400016784668,381000,35.2400016784668
2013-12-10,35.0900001525879,35.3800010681152,34.4099998474121,34.4599990844727,240200,34.4599990844727
2013-12-11,34.4500007629395,34.5400009155273,33.3499984741211,33.3899993896484,259100,33.3899993896484
2013-12-12,33.3199996948242,33.689998626709,33.1500015258789,33.3400001525879,205300,33.3400001525879
2013-12-13,33.3800010681152,33.5499992370605,32.3600006103516,32.5499992370605,685900,32.5499992370605
2013-12-16,32.6399993896484,33.5900001525879,32.6399993896484,33.4300003051758,248700,33.4300003051758
2013-12-17,33.2900009155273,34.0800018310547,33.2799987792969,33.9700012207031,565500,33.9700012207031
2013-12-18,34.0999984741211,34.9099998474121,33.8699989318848,34.7999992370605,509700,34.7999992370605
2013-12-19,34.6399993896484,34.939998626709,34.5699996948242,34.75,294100,34.75
2013-12-20,34.8800010681152,35.3699989318848,34.75,35.0200004577637,424400,35.0200004577637
2013-12-23,35.2200012207031,35.2999992370605,34.7400016784668,34.75,187600,34.75
2013-12-24,34.7400016784668,34.9099998474121,34.7400016784668,34.8600006103516,120700,34.8600006103516
2013-12-26,34.939998626709,35.1800003051758,34.3899993896484,34.7700004577637,259700,34.7700004577637
2013-12-27,34.9300003051758,34.9500007629395,34.4700012207031,34.9300003051758,146700,34.9300003051758
