"Fecha","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
2013-11-01,526.780029296875,529.890014648438,524.900024414062,527.599975585938,367400,527.599975585938
2013-11-04,529.5,536.559997558594,526.580017089844,535.179992675781,364800,535.179992675781
2013-11-05,535.030029296875,543.679992675781,533.210021972656,543.049987792969,412700,543.049987792969
2013-11-06,543.210021972656,546.799987792969,537.760009765625,539.630004882812,465700,539.630004882812
2013-11-07,540.010009765625,540.010009765625,524.669982910156,525.02001953125,652900,525.02001953125
2013-11-08,527.799987792969,536.799987792969,525.489990234375,535.200012207031,428900,535.200012207031
2013-11-11,535.710021972656,537.239990234375,534,536.440002441406,164400,536.440002441406
2013-11-12,535.760009765625,537.72998046875,532,535.419982910156,226600,535.419982910156
2013-11-13,534.549987792969,538.380004882812,533.109985351562,537.580017089844,216800,537.580017089844
2013-11-14,534.299987792969,544.669982910156,534.299987792969,543.919982910156,255300,543.919982910156
2013-11-15,545.989990234375,549.5,544.880004882812,546.969970703125,309800,546.969970703125
2013-11-18,547.22998046875,550.280029296875,535.159973144531,537.510009765625,274200,537.510009765625
2013-11-19,539,541.809997558594,537.72998046875,538.159973144531,246000,538.159973144531
2013-11-20,536,542.510009765625,528.460021972656,531.659973144531,254400,531.659973144531
2013-11-21,534.900024414062,542,531.200012207031,539.219970703125,382100,539.219970703125
2013-11-22,544,544,536.47998046875,537.47998046875,221100,537.47998046875
2013-11-25,537.549987792969,540.940002441406,530.880004882812,532.309997558594,201500,532.309997558594
2013-11-26,532.159973144531,532.77001953125,525,525,392800,525
2013-11-27,526.210021972656,527.080017089844,523.119995117188,525,307800,525
2013-11-29,525.239990234375,529.719970703125,523.190002441406,523.859985351562,160100,523.859985351562
2013-12-02,521.5,526.599975585938,520.489990234375,524.5,238100,524.5
2013-12-03,523.330017089844,524.989990234375,521.260009765625,522.640014648438,229300,522.640014648438
2013-12-04,520.549987792969,522.630004882812,516.010009765625,518.109985351562,321300,518.109985351562
2013-12-05,518.200012207031,525,517.109985351562,521.010009765625,249100,521.010009765625
