"Fecha","MDT.Open","MDT.High","MDT.Low","MDT.Close","MDT.Volume","MDT.Adjusted"
2013-11-01,57.5499992370605,57.7599983215332,56.9599990844727,57.2599983215332,4723800,45.7798233032227
2013-11-04,56.4500007629395,57.4700012207031,56.4500007629395,57.2700004577637,8695700,45.7878303527832
2013-11-05,56.7999992370605,57.2299995422363,56.7599983215332,57.0999984741211,4104300,45.6519050598145
2013-11-06,57.6199989318848,58.0900001525879,57.3499984741211,57.4700012207031,4427800,45.9477157592773
2013-11-07,57.560001373291,57.810001373291,57.2599983215332,57.2999992370605,4102500,45.8117942810059
2013-11-08,57.2999992370605,58.0400009155273,57.1300010681152,58.0299987792969,3357500,46.3954544067383
2013-11-11,58.2000007629395,58.3400001525879,57.9700012207031,58.0900001525879,2849100,46.443416595459
2013-11-12,57.9900016784668,58.0200004577637,57.5499992370605,57.8899993896484,2612300,46.2835083007812
2013-11-13,57.6399993896484,58.2000007629395,57.2999992370605,58.189998626709,3398200,46.523365020752
2013-11-14,58.3400001525879,58.8499984741211,58,58.8400001525879,3611100,47.0430488586426
2013-11-15,58.75,58.8300018310547,58.0999984741211,58.5499992370605,5443600,46.8111763000488
2013-11-18,58.4300003051758,58.6199989318848,58.0800018310547,58.310001373291,3653000,46.6193008422852
2013-11-19,57.8499984741211,58.4700012207031,57.2999992370605,57.939998626709,4986800,46.3234786987305
2013-11-20,58.0400009155273,58.0800018310547,56.5200004577637,56.8899993896484,5823900,45.4840087890625
2013-11-21,57.3800010681152,57.4599990844727,57.0499992370605,57.0999984741211,3776300,45.6519050598145
2013-11-22,57.189998626709,57.6399993896484,56.8300018310547,57.5999984741211,3742200,46.0516471862793
2013-11-25,57.75,57.9700012207031,57.1399993896484,57.2799987792969,2647200,45.7958106994629
2013-11-26,57.3499984741211,57.4900016784668,56.9099998474121,57.3600006103516,3548500,45.8597793579102
2013-11-27,57.3699989318848,57.6399993896484,57.1399993896484,57.4500007629395,2239600,45.9317321777344
2013-11-29,57.4900016784668,57.5200004577637,57.1399993896484,57.3199996948242,2247200,45.8278007507324
2013-12-02,57.3199996948242,57.9900016784668,57.1500015258789,57.5299987792969,3952100,45.9956932067871
2013-12-03,57.3699989318848,57.7000007629395,57.0800018310547,57.6399993896484,4652900,46.0836334228516
2013-12-04,57.2700004577637,58.0200004577637,56.6599998474121,56.9300003051758,4469300,45.515983581543
2013-12-05,56.9500007629395,57.0699996948242,56.6599998474121,56.9099998474121,4352800,45.5000038146973
2013-12-06,57.5299987792969,58.1800003051758,57.4900016784668,58.1399993896484,3318200,46.4833793640137
2013-12-09,58.1699981689453,58.2000007629395,57.5999984741211,57.8699989318848,3579300,46.267520904541
2013-12-10,57.4000015258789,57.6500015258789,57.25,57.3800010681152,2740300,45.8757743835449
2013-12-11,57.3899993896484,57.4300003051758,56.2000007629395,56.2599983215332,4009900,44.9803085327148
2013-12-12,56.1100006103516,56.1800003051758,55.6100006103516,55.6500015258789,3496800,44.4926223754883
2013-12-13,55.9199981689453,56.1800003051758,55.560001373291,55.8899993896484,2536100,44.684497833252
2013-12-16,56.2400016784668,56.6199989318848,56.1300010681152,56.3400001525879,3156400,45.0442695617676
2013-12-17,57.310001373291,57.3800010681152,56.0499992370605,56.5900001525879,4638100,45.2441482543945
2013-12-18,56.810001373291,57.7700004577637,56.189998626709,57.7599983215332,4786000,46.179573059082
2013-12-19,57.4300003051758,57.5999984741211,57.0900001525879,57.1699981689453,4110000,45.7078704833984
2013-12-20,57.1300010681152,57.189998626709,56.8499984741211,56.8899993896484,6769400,45.4840087890625
2013-12-23,57.2999992370605,57.439998626709,57,57.4000015258789,3618800,45.8917503356934
2013-12-24,57.4099998474121,57.4700012207031,57.1300010681152,57.3699989318848,1249400,45.8677673339844
2013-12-26,57.5,57.5,57.2799987792969,57.4700012207031,1887300,45.9477157592773
2013-12-27,57.5699996948242,57.689998626709,57.2599983215332,57.4000015258789,1834800,45.8917503356934
2013-12-30,57.4700012207031,57.5699996948242,57.2900009155273,57.3699989318848,1882600,45.8677673339844
2013-12-31,57.2599983215332,57.4900016784668,57.1699981689453,57.3899993896484,3299700,46.1087989807129
2014-01-02,57.2099990844727,57.4599990844727,57.0400009155273,57.2400016784668,4219000,45.9882850646973
2014-01-03,58.2000007629395,58.5,57.7099990844727,58.3400001525879,12577400,46.8720512390137
2014-01-06,59.1500015258789,59.7700004577637,58.9000015258789,59.2200012207031,10538100,47.5790786743164
2014-01-07,59.7799987792969,60.1300010681152,59.5299987792969,59.8400001525879,6510600,48.0771903991699
2014-01-08,59.8600006103516,60.9300003051758,59.7400016784668,60.8400001525879,6725000,48.8806266784668
2014-01-09,58,59.7400016784668,57.9199981689453,59.3600006103516,8127900,47.6915626525879
2014-01-10,59.6699981689453,60.25,59.2900009155273,59.9500007629395,6548700,48.1655654907227
2014-01-13,59.7799987792969,59.9799995422363,59.1800003051758,59.25,4264000,47.6031684875488
2014-01-14,59.5,59.5499992370605,58.8800010681152,59.4099998474121,4546500,47.7317237854004
2014-01-15,59.5999984741211,59.7999992370605,59.1800003051758,59.3300018310547,4785100,47.6674461364746
2014-01-16,59.3800010681152,59.560001373291,58.9799995422363,59.1100006103516,4321400,47.4906997680664
2014-01-17,59.1100006103516,59.5900001525879,58.8899993896484,59.5099983215332,6485100,47.812068939209
2014-01-21,59.6500015258789,59.8899993896484,59.0299987792969,59.3699989318848,4484200,47.699592590332
2014-01-22,59.5,59.5299987792969,58.6599998474121,59.1500015258789,4085200,47.5228309631348
2014-01-23,59.0499992370605,59.2200012207031,58.5400009155273,58.7099990844727,4396000,47.169319152832
2014-01-24,58.4000015258789,58.5,57.1599998474121,57.1599998474121,5682400,45.9240112304688
2014-01-27,57.2999992370605,57.6300010681152,56.8600006103516,56.9599990844727,4194300,45.7633171081543
2014-01-28,57,57.5699996948242,57,57.0900001525879,4043300,45.8677673339844
2014-01-29,56.7599983215332,57.0900001525879,56.1300010681152,56.3600006103516,5511600,45.2812576293945
2014-01-30,56.6500015258789,57.310001373291,56.5400009155273,57.0099983215332,4705800,45.8034934997559
2014-01-31,56.4000015258789,56.939998626709,56.1100006103516,56.560001373291,4404000,45.4419479370117
2014-02-03,56.560001373291,56.5800018310547,54.6100006103516,54.7099990844727,7089700,43.9556007385254
2014-02-04,54.0800018310547,54.689998626709,53.3300018310547,53.5999984741211,15925000,43.0638046264648
2014-02-05,53.9199981689453,54.9700012207031,53.7299995422363,54.7299995422363,9615200,43.9716796875
2014-02-06,54.7400016784668,55.0699996948242,54.5800018310547,54.75,5124700,43.9877510070801
2014-02-07,55.5299987792969,55.7200012207031,55.0900001525879,55.5900001525879,4302300,44.6626319885254
2014-02-10,55.7000007629395,55.9700012207031,55.5999984741211,55.810001373291,3688000,44.8393859863281
2014-02-11,55.689998626709,56.5299987792969,55.6199989318848,56.4700012207031,3407600,45.3696365356445
