"Fecha","DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume","DIS.Adjusted"
2013-11-01,68.7099990844727,69.1800003051758,68.5,69.0100021362305,5008600,62.7364921569824
2013-11-04,69.4100036621094,69.5500030517578,68.4100036621094,68.8099975585938,4790200,62.5546836853027
2013-11-05,68.7699966430664,69.0599975585938,68.0599975585938,68.8499984741211,5140600,62.5910415649414
2013-11-06,69.1800003051758,69.620002746582,68.620002746582,69,6503200,62.7274131774902
2013-11-07,69.3399963378906,69.3399963378906,67.0899963378906,67.1500015258789,10496300,61.045581817627
2013-11-08,66.870002746582,69.4100036621094,66.7200012207031,68.5800018310547,16182800,62.3455963134766
2013-11-11,68.4800033569336,68.7399978637695,68.1900024414062,68.3399963378906,4954000,62.1274032592773
2013-11-12,68.3300018310547,68.4499969482422,67.4199981689453,67.7699966430664,6586700,61.6092109680176
2013-11-13,67.4300003051758,68.9899978637695,67.3000030517578,68.9700012207031,5681000,62.7001342773438
2013-11-14,69.1399993896484,70.1500015258789,69,70.0199966430664,7246600,63.6546783447266
2013-11-15,69.7699966430664,70.1699981689453,69.5500030517578,70,6184400,63.6365013122559
2013-11-18,70.0599975585938,70.0899963378906,69.3300018310547,69.5,4904400,63.1819534301758
2013-11-19,69.4899978637695,69.7200012207031,69.0400009155273,69.120002746582,4801700,62.8365020751953
2013-11-20,69.120002746582,69.9199981689453,69.0800018310547,69.2300033569336,4726800,62.9365005493164
2013-11-21,69.4599990844727,70.0100021362305,69.2699966430664,69.9400024414062,4498300,63.5819511413574
2013-11-22,69.9499969482422,70.3300018310547,69.8000030517578,70.1999969482422,4667500,63.8183097839355
2013-11-25,70.5400009155273,70.5800018310547,69.5999984741211,69.7399978637695,5830600,63.4001388549805
2013-11-26,69.9199981689453,71.6900024414062,69.9000015258789,71.1800003051758,8850000,64.7092208862305
2013-11-27,71.2099990844727,71.25,70.4599990844727,70.7699966430664,5446100,64.3365097045898
2013-11-29,71.0400009155273,71.2699966430664,70.3899993896484,70.5400009155273,4801000,64.1274108886719
2013-12-02,70.7900009155273,71.3099975585938,70.7600021362305,70.9100036621094,6774600,64.4637756347656
2013-12-03,70.2200012207031,70.4100036621094,69.379997253418,69.9000015258789,8304700,63.5455856323242
2013-12-04,69.4199981689453,70.4800033569336,69.3199996948242,69.9700012207031,4883800,63.6092300415039
2013-12-05,70.2900009155273,70.6800003051758,70.0800018310547,70.2300033569336,5587000,63.8455963134766
2013-12-06,70.9700012207031,71.4899978637695,70.7699966430664,71.4599990844727,5542000,64.9637603759766
2013-12-09,71.3600006103516,71.4800033569336,70.9199981689453,71.1100006103516,6477100,64.6455917358398
