"Fecha","GEHC.Open","GEHC.High","GEHC.Low","GEHC.Close","GEHC.Volume","GEHC.Adjusted"
2022-12-15,63,63,60,60,1318200,59.9277267456055
2022-12-16,60,60,55,56.7400016784668,2307500,56.6716537475586
2022-12-19,53,58.9900016784668,53,56.5,117200,56.431941986084
2022-12-20,58,58,56.7599983215332,57.2099990844727,22200,57.1410865783691
2022-12-21,59,66.2799987792969,55.5,56.9599990844727,290700,56.8913879394531
2022-12-22,58.4300003051758,61.0190010070801,57,57.5999984741211,3253200,57.5306167602539
2022-12-23,58.0900001525879,60.6459999084473,57,57.5,125800,57.430736541748
2022-12-27,57.9799995422363,58.9900016784668,57.375,57.4500007629395,26500,57.3807983398438
2022-12-28,57.9300003051758,58,57,57.5,514800,57.430736541748
2022-12-29,58.5,58.7799987792969,57.75,58,374800,57.9301376342773
2022-12-30,58.7400016784668,59,57.7299995422363,58.3800010681152,351100,58.3096809387207
2023-01-03,60.6800003051758,60.6800003051758,55.8699989318848,56,1794100,55.9325485229492
2023-01-04,54.1300010681152,60.7099990844727,53.5,60.4900016784668,33338500,60.4171409606934
2023-01-05,60.6399993896484,62.9799995422363,58.1399993896484,59,8850600,58.9289321899414
2023-01-06,59.6800003051758,59.939998626709,57.8699989318848,58.9500007629395,5902600,58.8789939880371
2023-01-09,58.7900009155273,59.9799995422363,57.7299995422363,58.0999984741211,5288900,58.0300178527832
2023-01-10,59.1500015258789,60.060001373291,58.0550003051758,60,6663000,59.9277267456055
2023-01-11,60.439998626709,66.379997253418,60.0750007629395,64.9899978637695,9219400,64.9117126464844
2023-01-12,66.0899963378906,66.5199966430664,63.6599998474121,65.6500015258789,5819800,65.570915222168
2023-01-13,65,65.5,63.7400016784668,65.4400024414062,3772100,65.3611755371094
2023-01-17,63.939998626709,65.7300033569336,63.2599983215332,63.3300018310547,3774600,63.2537155151367
2023-01-18,63.2000007629395,63.5,61.9900016784668,62.0800018310547,2610300,62.0052223205566
2023-01-19,61.3300018310547,64.5,61.2999992370605,63.939998626709,2585600,63.862979888916
2023-01-20,63.9599990844727,67.8199996948242,63.5400009155273,66.7699966430664,4001600,66.689567565918
2023-01-23,67.3499984741211,69.9100036621094,66.7779998779297,69.5199966430664,3724100,69.4362487792969
2023-01-24,69.0299987792969,70.629997253418,68.7099990844727,69.5999984741211,2591000,69.5161590576172
2023-01-25,68.4599990844727,69.6999969482422,66.9499969482422,68.7099990844727,2802100,68.6272354125977
2023-01-26,68.5100021362305,69.4499969482422,67.8000030517578,69.2200012207031,2075900,69.1366195678711
2023-01-27,68.8600006103516,70.5100021362305,68.3600006103516,70.0800018310547,2810600,69.9955902099609
2023-01-30,68.4100036621094,73.9499969482422,67.9199981689453,71.5,4259900,71.4138717651367
2023-01-31,71.0100021362305,71.1149978637695,68.5,69.5199966430664,3084300,69.4362487792969
2023-02-01,69,70.7399978637695,67.5299987792969,70.0100021362305,2698700,69.9256744384766
2023-02-02,69.5899963378906,71.8899993896484,69,70.6500015258789,2776000,70.5648956298828
2023-02-03,69.629997253418,70.629997253418,69.0999984741211,70.5500030517578,3074900,70.4650192260742
2023-02-06,69.9100036621094,72.3499984741211,69.5400009155273,71.8600006103516,2227400,71.7734375
