"Fecha","REGN.Open","REGN.High","REGN.Low","REGN.Close","REGN.Volume","REGN.Adjusted"
2013-11-01,290.809997558594,291.989990234375,284,285.790008544922,499000,285.790008544922
2013-11-04,285.940002441406,290.989990234375,280.720001220703,281.700012207031,800600,281.700012207031
2013-11-05,297.510009765625,305.670013427734,289.309997558594,302.320007324219,2034000,302.320007324219
2013-11-06,304,304.850006103516,287.940002441406,288.269989013672,1119200,288.269989013672
2013-11-07,290.279998779297,290.609985351562,271,276.989990234375,1416200,276.989990234375
2013-11-08,277.299987792969,287.619995117188,277.299987792969,283.070007324219,747200,283.070007324219
2013-11-11,283.859985351562,285.260009765625,274,279.200012207031,747900,279.200012207031
2013-11-12,276.920013427734,287.489990234375,276,286.890014648438,783900,286.890014648438
2013-11-13,282,282.989990234375,274.010009765625,277.200012207031,1461700,277.200012207031
2013-11-14,278.959991455078,297,273.760009765625,288.829986572266,1518300,288.829986572266
2013-11-15,290.489990234375,290.489990234375,276.290008544922,280,992200,280
2013-11-18,280,282.880004882812,272.920013427734,274.369995117188,537100,274.369995117188
2013-11-19,273.040008544922,276,268.010009765625,273.790008544922,1054100,273.790008544922
2013-11-20,274.920013427734,282.980010986328,273.260009765625,274.679992675781,552700,274.679992675781
2013-11-21,276,281.980010986328,275.079986572266,276.410003662109,538300,276.410003662109
2013-11-22,286,294.779998779297,280.630004882812,293.679992675781,1108800,293.679992675781
2013-11-25,296.959991455078,297.160003662109,289,294.100006103516,614300,294.100006103516
2013-11-26,295.850006103516,296.540008544922,292,295.119995117188,684700,295.119995117188
2013-11-27,295.040008544922,295.440002441406,288.959991455078,292.880004882812,482200,292.880004882812
2013-11-29,291.859985351562,297,291.859985351562,293.859985351562,327800,293.859985351562
2013-12-02,292.410003662109,297.589996337891,289.279998779297,296.690002441406,562700,296.690002441406
2013-12-03,294.359985351562,296.25,286.200012207031,287.5,747400,287.5
2013-12-04,285.329986572266,292.130004882812,284.519989013672,287.260009765625,602700,287.260009765625
2013-12-05,287.809997558594,289.649993896484,282.950012207031,283.200012207031,497100,283.200012207031
