"Fecha","MHK.Open","MHK.High","MHK.Low","MHK.Close","MHK.Volume","MHK.Adjusted"
2013-11-01,137,141.190002441406,136.630004882812,137.559997558594,1741400,137.559997558594
2013-11-04,137.940002441406,138.190002441406,136.470001220703,137.639999389648,743800,137.639999389648
2013-11-05,137.119995117188,137.639999389648,135.529998779297,135.800003051758,623800,135.800003051758
2013-11-06,136.100006103516,137.179992675781,134.559997558594,135.169998168945,564200,135.169998168945
2013-11-07,135.880004882812,136.839996337891,133.509994506836,133.619995117188,735100,133.619995117188
2013-11-08,133.410003662109,135.509994506836,132.059997558594,134.300003051758,719500,134.300003051758
2013-11-11,134.449996948242,136.330001831055,134.070007324219,135.210006713867,638100,135.210006713867
2013-11-12,134.899993896484,136.830001831055,134.100006103516,136.759994506836,881700,136.759994506836
2013-11-13,136.149993896484,139.889999389648,135.600006103516,139.600006103516,826200,139.600006103516
2013-11-14,139.509994506836,143.940002441406,139.339996337891,142.460006713867,735200,142.460006713867
2013-11-15,142.360000610352,144.889999389648,141.740005493164,144.679992675781,898500,144.679992675781
2013-11-18,144.839996337891,145.339996337891,140.509994506836,140.979995727539,818600,140.979995727539
2013-11-19,141.690002441406,143.25,139.320007324219,139.75,540500,139.75
2013-11-20,140.570007324219,141.979995727539,138.669998168945,139.369995117188,566600,139.369995117188
2013-11-21,139.220001220703,143.779998779297,139.059997558594,143.580001831055,598200,143.580001831055
2013-11-22,143.389999389648,144.669998168945,140.990005493164,142.320007324219,412700,142.320007324219
2013-11-25,142.710006713867,142.710006713867,140.509994506836,141.210006713867,318800,141.210006713867
2013-11-26,141.539993286133,143.070007324219,141.389999389648,142.220001220703,854300,142.220001220703
2013-11-27,142.820007324219,143.679992675781,140.880004882812,140.949996948242,464600,140.949996948242
2013-11-29,140.899993896484,142.080001831055,139.949996948242,140.020004272461,221700,140.020004272461
2013-12-02,140.339996337891,141.850006103516,136.889999389648,137.679992675781,827600,137.679992675781
2013-12-03,135.940002441406,138.949996948242,134.940002441406,137.559997558594,421500,137.559997558594
2013-12-04,136.990005493164,137.300003051758,134.160003662109,135.830001831055,859400,135.830001831055
2013-12-05,135.639999389648,137.580001831055,134.039993286133,137.470001220703,717000,137.470001220703
2013-12-06,139.789993286133,140.229995727539,137.289993286133,138.949996948242,702300,138.949996948242
2013-12-09,141.240005493164,145.050003051758,140.660003662109,143.270004272461,1037500,143.270004272461
2013-12-10,142.990005493164,144.559997558594,140.729995727539,141.020004272461,449600,141.020004272461
2013-12-11,140.860000610352,141.520004272461,138.169998168945,139.520004272461,815200,139.520004272461
2013-12-12,141.429992675781,141.869995117188,139.929992675781,140.639999389648,1341400,140.639999389648
2013-12-13,140.639999389648,141.809997558594,139.429992675781,139.639999389648,864800,139.639999389648
2013-12-16,140.380004882812,142.289993286133,140.199996948242,140.860000610352,567800,140.860000610352
2013-12-17,140.669998168945,140.889999389648,138.259994506836,139.800003051758,548100,139.800003051758
2013-12-18,140.669998168945,146.690002441406,140.300003051758,146.470001220703,1277400,146.470001220703
2013-12-19,145.529998779297,146,142.559997558594,143.5,843300,143.5
2013-12-20,143,144.389999389648,141.440002441406,141.440002441406,7984000,141.440002441406
2013-12-23,142.529998779297,145.809997558594,142,145.429992675781,1253300,145.429992675781
2013-12-24,145.830001831055,147.259994506836,145.630004882812,146.360000610352,338000,146.360000610352
2013-12-26,146.789993286133,147.330001831055,145.610000610352,146.330001831055,448100,146.330001831055
2013-12-27,146.520004272461,146.75,145.320007324219,146.75,491700,146.75
2013-12-30,146.539993286133,148,146.539993286133,147.470001220703,525600,147.470001220703
2013-12-31,147.910003662109,149.009994506836,147.25,148.899993896484,533600,148.899993896484
2014-01-02,148.720001220703,149.660003662109,147.779998779297,149.110000610352,677000,149.110000610352
2014-01-03,149.190002441406,150.259994506836,148.929992675781,149.449996948242,521300,149.449996948242
2014-01-06,149.869995117188,150.050003051758,146.800003051758,147.339996337891,470500,147.339996337891
2014-01-07,147.619995117188,147.910003662109,145.5,145.690002441406,798500,145.690002441406
