"Fecha","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
2013-11-01,127.419998168945,129.149993896484,127,128.850006103516,2493500,98.0982894897461
2013-11-04,129.080001831055,130.839996337891,129.050003051758,129.910003662109,2250600,98.9052886962891
2013-11-05,129.850006103516,132.550003051758,128.399993896484,131.720001220703,2123600,100.283332824707
2013-11-06,132.059997558594,132.75,130.710006713867,132.479995727539,1468000,100.86190032959
2013-11-07,132.440002441406,132.979995727539,128.759994506836,128.889999389648,2206800,98.1287155151367
2013-11-08,129.300003051758,130.940002441406,129.300003051758,130.699996948242,1379300,99.5067367553711
2013-11-11,130.889999389648,130.940002441406,130.020004272461,130.100006103516,868500,99.0499572753906
2013-11-12,132.389999389648,132.550003051758,129.800003051758,130.100006103516,1066900,99.0499572753906
2013-11-13,129.210006713867,131.690002441406,128.600006103516,131.550003051758,1131900,100.15389251709
2013-11-14,131.550003051758,132.910003662109,131.380004882812,132.490005493164,1092100,100.869560241699
2013-11-15,132.270004272461,132.860000610352,131.100006103516,132.039993286133,1388800,100.52693939209
2013-11-18,132.380004882812,133.860000610352,132.259994506836,132.589996337891,1425400,100.945663452148
2013-11-19,131.860000610352,132.490005493164,129.5,130,926900,99.4425582885742
2013-11-20,130.639999389648,131,128.300003051758,128.740005493164,908300,98.4787368774414
2013-11-21,128.990005493164,129.889999389648,128.860000610352,129.259994506836,687300,98.8765029907227
2013-11-22,129.009994506836,130.399993896484,128.699996948242,130.369995117188,695200,99.7255859375
2013-11-25,130.899993896484,131.610000610352,130.539993286133,130.800003051758,872100,100.054527282715
2013-11-26,130.800003051758,131.410003662109,130.5,130.979995727539,750200,100.192222595215
2013-11-27,131.509994506836,132.789993286133,131,132.630004882812,708300,101.45435333252
2013-11-29,132.990005493164,133.309997558594,132.169998168945,132.360000610352,377900,101.247817993164
2013-12-02,132.550003051758,134.050003051758,131.610000610352,132.979995727539,878400,101.722076416016
2013-12-03,132.289993286133,132.669998168945,129.190002441406,130.029998779297,1673600,99.4655227661133
